#1,253,536
#1,66,536
#1,21,536
#1,22,536
1,90.5,536,191.126
#2,55,544
#2,23,544
#2,21,544
#2,21,544
2,30,544,28.9137
#3,56,552
#3,52,552
#3,25,552
#3,30,552
3,40.75,552,26.884
#4,66,568
#4,41,568
#4,37,568
#4,27,568
4,42.75,568,28.7185
#5,73,568
#5,53,568
#5,31,568
#5,31,568
5,47,568,34.9857
#6,67,584
#6,31,584
#6,31,584
#6,31,584
6,40,584,31.1769
#7,97,584
#7,73,584
#7,36,584
#7,37,584
7,60.75,584,51.3882
#8,117,608
#8,83,608
#8,42,608
#8,42,608
8,71,608,62.7853
#9,122,608
#9,116,608
#9,85,608
#9,44,608
9,91.75,608,61.8769
#10,92,632
#10,63,632
#10,46,632
#10,46,632
10,61.75,632,37.5866
#12,135,632
#12,92,632
#12,72,632
#12,55,632
12,88.5,632,59.7411
#14,170,664
#14,118,664
#14,71,664
#14,62,664
14,105.25,664,86.016
#16,185,696
#16,94,696
#16,69,696
#16,70,696
16,104.5,696,95.0842
#19,215,696
#19,190,696
#19,121,696
#19,78,696
19,151,696,108.839
#22,247,736
#22,226,736
#22,160,736
#22,93,736
22,181.5,736,120.686
#26,305,776
#26,202,776
#26,101,776
#26,97,776
26,176.25,776,170.83
#31,382,832
#31,365,832
#31,188,832
#31,135,832
31,267.5,832,215.622
#37,402,896
#37,323,896
#37,148,896
#37,147,896
37,255,896,222.14
#44,676,968
#44,468,968
#44,231,968
#44,215,968
44,397.5,968,378.894
#52,642,1056
#52,433,1056
#52,259,1056
#52,215,1056
52,387.25,1056,336.316
#62,785,1152
#62,535,1152
#62,299,1152
#62,245,1152
62,466,1152,428.079
#74,835,1272
#74,606,1272
#74,339,1272
#74,303,1272
74,520.75,1272,431.82
#88,825,1408
#88,646,1408
#88,397,1408
#88,355,1408
88,555.75,1408,382.286
#105,1548,1568
#105,941,1568
#105,704,1568
#105,590,1568
105,945.75,1568,740.087
#126,1470,1752
#126,832,1752
#126,580,1752
#126,552,1752
126,858.5,1752,739.012
#151,2206,1960
#151,1493,1960
#151,938,1960
#151,789,1960
151,1356.5,1960,1112.42
#181,2446,2208
#181,1755,2208
#181,1177,2208
#181,984,2208
181,1590.5,2208,1139.19
#217,2568,2840
#217,1804,2840
#217,1448,2840
#217,1172,2840
217,1748,2840,1047.53
#260,2928,3232
#260,2209,3232
#260,1620,3232
#260,1264,3232
260,2005.25,3232,1261.29
#312,3791,3688
#312,2841,3688
#312,2062,3688
#312,1667,3688
312,2590.25,3688,1623.61
#374,5130,4224
#374,3987,4224
#374,3258,4224
#374,2647,4224
374,3755.5,4224,1849.09
#448,6311,4856
#448,4940,4856
#448,4148,4856
#448,3440,4856
448,4709.75,4856,2131.86
#537,6623,5592
#537,5500,5592
#537,4895,5592
#537,4304,5592
537,5330.5,5592,1715.42
#644,8859,6440
#644,7828,6440
#644,6946,6440
#644,6243,6440
644,7469,6440,1958.98
#772,8817,8600
#772,7627,8600
#772,6882,8600
#772,6462,8600
772,7447,8600,1788.5
#926,11609,9952
#926,10553,9952
#926,9640,9952
#926,9199,9952
926,10250.2,9952,1848.08
#1111,16022,11528
#1111,14688,11528
#1111,13695,11528
#1111,13122,11528
1111,14381.8,11528,2200.64
#1333,18893,13376
#1333,17290,13376
#1333,16499,13376
#1333,16245,13376
1333,17231.8,13376,2067.3
#1599,23381,15528
#1599,22835,15528
#1599,22150,15528
#1599,21367,15528
1599,22433.2,15528,1508.89
#1918,22790,20968
#1918,22395,20968
#1918,21631,20968
#1918,21452,20968
1918,22067,20968,1094.82
#2301,30142,24384
#2301,29867,24384
#2301,29412,24384
#2301,28788,24384
2301,29552.2,24384,1025
#2761,38604,28376
#2761,37810,28376
#2761,37087,28376
#2761,37343,28376
2761,37711,28376,1154.14
#3313,47369,33024
#3313,47512,33024
#3313,46299,33024
#3313,46086,33024
3313,46816.5,33024,1261.12
#3975,59192,38456
#3975,57960,38456
#3975,57205,38456
#3975,56873,38456
3975,57807.5,38456,1782.24
#4770,77761,44792
#4770,76273,44792
#4770,75380,44792
#4770,74303,44792
4770,75929.2,44792,2533.74
#5724,80005,60800
#5724,80388,60800
#5724,80439,60800
#5724,78678,60800
5724,79877.5,60800,1425.11
#6868,107386,70856
#6868,107572,70856
#6868,108210,70856
#6868,105846,70856
6868,107254,70856,1736.36
#8241,132251,82592
#8241,131809,82592
#8241,134126,82592
#8241,129157,82592
8241,131836,82592,3548.82
#9889,160600,96280
#9889,163184,96280
#9889,161031,96280
#9889,171069,96280
9889,163971,96280,8426.64
#11866,192650,112248
#11866,192471,112248
#11866,192293,112248
#11866,195620,112248
11866,193258,112248,2738.49
#14239,231689,130880
#14239,231433,130880
#14239,231396,130880
#14239,252230,130880
14239,236687,130880,17948.9
#17086,265372,177976
#17086,264910,177976
#17086,264617,177976
#17086,264914,177976
17086,264953,177976,540.21
#20503,328226,207560
#20503,330344,207560
#20503,326674,207560
#20503,327056,207560
20503,328075,207560,2858.73
#24603,406698,242080
#24603,408323,242080
#24603,408711,242080
#24603,418450,242080
24603,410546,242080,9251.45
#29523,508220,282344
#29523,510811,282344
#29523,521376,282344
#29523,522655,282344
29523,515766,282344,12665.9
#35427,665334,329320
#35427,669050,329320
#35427,650427,329320
#35427,645596,329320
35427,657602,329320,19658.7
#42512,690801,448072
#42512,706897,448072
#42512,690884,448072
#42512,691431,448072
42512,695003,448072,13742.2
