#1,279,32
#1,56,32
#1,27,32
#1,24,32
1,96.5,32,212.21
#2,42,32
#2,29,32
#2,28,32
#2,28,32
2,31.75,32,11.8638
#3,47,64
#3,36,64
#3,34,64
#3,34,64
3,37.75,64,10.8051
#4,67,64
#4,57,64
#4,41,64
#4,37,64
4,50.5,64,24.2281
#5,72,64
#5,43,64
#5,39,64
#5,39,64
5,48.25,64,27.6179
#6,49,64
#6,46,64
#6,43,64
#6,40,64
6,44.5,64,6.7082
#7,53,128
#7,50,128
#7,41,128
#7,43,128
7,46.75,128,9.83616
#8,60,128
#8,50,128
#8,49,128
#8,47,128
8,51.5,128,10.0499
#9,84,128
#9,64,128
#9,51,128
#9,52,128
9,62.75,128,26.5848
#10,76,128
#10,54,128
#10,55,128
#10,53,128
10,59.5,128,19.105
#12,71,128
#12,70,128
#12,61,128
#12,62,128
12,66,128,9.05539
#14,79,128
#14,74,128
#14,69,128
#14,67,128
14,72.25,128,9.31397
#16,99,256
#16,82,256
#16,73,256
#16,71,256
16,81.25,256,22.1077
#19,92,256
#19,87,256
#19,87,256
#19,90,256
19,89,256,4.24264
#22,157,256
#22,124,256
#22,101,256
#22,98,256
22,120,256,47.2229
#26,130,512
#26,129,512
#26,127,512
#26,109,512
26,123.75,512,17.1683
#31,172,512
#31,156,512
#31,148,512
#31,129,512
31,151.25,512,30.9637
#37,172,512
#37,174,512
#37,179,512
#37,147,512
37,168,512,24.779
#44,280,512
#44,191,512
#44,172,512
#44,169,512
44,203,512,90.4986
#52,201,1024
#52,224,1024
#52,208,1024
#52,199,1024
52,208,1024,19.6469
#62,236,1024
#62,229,1024
#62,230,1024
#62,225,1024
62,230,1024,7.87401
#74,357,1024
#74,342,1024
#74,325,1024
#74,300,1024
74,331,1024,42.3556
#88,385,1024
#88,385,1024
#88,360,1024
#88,323,1024
88,363.25,1024,50.7617
#105,441,2048
#105,414,2048
#105,392,2048
#105,383,2048
105,407.5,2048,44.7772
#126,509,2048
#126,504,2048
#126,484,2048
#126,473,2048
126,492.5,2048,29.2746
#151,597,2048
#151,605,2048
#151,563,2048
#151,553,2048
151,579.5,2048,43.9431
#181,829,2048
#181,791,2048
#181,695,2048
#181,633,2048
181,737,2048,154.79
#217,910,4096
#217,886,4096
#217,847,4096
#217,766,4096
217,852.25,4096,109.274
#260,1077,4096
#260,1074,4096
#260,975,4096
#260,914,4096
260,1010,4096,137.935
#312,1249,4096
#312,1231,4096
#312,1124,4096
#312,1079,4096
312,1170.75,4096,142.677
#374,2067,4096
#374,1938,4096
#374,1571,4096
#374,1374,4096
374,1737.5,4096,555.54
#448,1749,8192
#448,1723,8192
#448,1636,8192
#448,1558,8192
448,1666.5,8192,150.669
#537,2090,8192
#537,2093,8192
#537,1931,8192
#537,1912,8192
537,2006.5,8192,170.543
#644,2770,8192
#644,2644,8192
#644,2389,8192
#644,2294,8192
644,2524.25,8192,382.153
#772,3091,16384
#772,3024,16384
#772,2908,16384
#772,2701,16384
