#1,100,9
#1,149,9
#1,65,9
#1,58,9
#1,57,9
1,85.8,9,70.602
#2,80,27
#2,66,27
#2,66,27
#2,66,27
#2,67,27
2,69,27,11.0272
#3,82,27
#3,70,27
#3,68,27
#3,67,27
#3,71,27
3,71.6,27,10.7778
#4,79,63
#4,88,63
#4,80,63
#4,73,63
#4,76,63
4,79.2,63,10.0717
#5,95,63
#5,83,63
#5,87,63
#5,80,63
#5,78,63
5,84.6,63,12.0399
#6,101,63
#6,88,63
#6,91,63
#6,81,63
#6,80,63
6,88.2,63,15.2525
#7,98,63
#7,98,63
#7,93,63
#7,89,63
#7,87,63
7,93,63,9.03327
#8,118,135
#8,101,135
#8,94,135
#8,87,135
#8,88,135
8,97.6,135,22.7192
#9,103,135
#9,102,135
#9,96,135
#9,94,135
#9,92,135
9,97.4,135,8.72697
#10,103,135
#10,108,135
#10,95,135
#10,100,135
#10,96,135
10,100.4,135,9.5163
#11,104,135
#11,109,135
#11,99,135
#11,101,135
#11,104,135
11,103.4,135,6.76461
#12,112,135
#12,115,135
#12,112,135
#12,112,135
#12,108,135
12,111.8,135,4.45421
#13,158,135
#13,130,135
#13,114,135
#13,113,135
#13,112,135
13,125.4,135,35.1818
#14,164,135
#14,166,135
#14,115,135
#14,115,135
#14,116,135
14,135.2,135,48.6851
#15,117,279
#15,141,279
#15,125,279
#15,125,279
#15,122,279
15,126,279,16.0997
#16,123,279
#16,151,279
#16,125,279
#16,125,279
#16,128,279
16,130.4,279,20.8461
#17,135,279
#17,154,279
#17,136,279
#17,133,279
#17,138,279
17,139.2,279,15.1473
#18,136,279
#18,156,279
#18,145,279
#18,142,279
#18,142,279
18,144.2,279,13.1697
#19,134,279
#19,161,279
#19,150,279
#19,140,279
#19,140,279
19,145,279,19.0158
#20,143,279
#20,164,279
#20,155,279
#20,143,279
#20,148,279
20,150.6,279,16.03
#21,142,279
#21,170,279
#21,164,279
#21,149,279
#21,148,279
21,154.6,279,21.1509
#22,154,279
#22,168,279
#22,161,279
#22,148,279
#22,152,279
22,156.6,279,14.176
#23,170,279
#23,177,279
#23,161,279
#23,162,279
#23,160,279
23,166,279,13.0843
#24,174,279
#24,179,279
#24,173,279
#24,158,279
#24,262,279
24,189.2,279,74.1393
#25,273,279
#25,314,279
#25,295,279
#25,333,279
#25,256,279
25,294.2,279,55.1855
#26,482,279
#26,199,279
#26,220,279
#26,177,279
#26,177,279
26,251,279,233.2
#27,172,279
#27,189,279
#27,183,279
#27,184,279
#27,186,279
27,182.8,279,11.5516
#28,183,279
#28,317,279
#28,332,279
#28,322,279
#28,343,279
28,299.4,279,117.756
#29,259,567
#29,344,567
#29,412,567
#29,342,567
#29,254,567
29,322.2,567,118.581
#30,181,567
#30,203,567
#30,193,567
#30,193,567
#30,195,567
30,193,567,14.0855
#31,196,567
#31,205,567
#31,195,567
#31,192,567
#31,197,567
31,197,567,8.67179
#32,375,567
#32,340,567
#32,378,567
#32,352,567
#32,322,567
32,353.4,567,42.3245
#33,210,567
#33,224,567
#33,214,567
#33,210,567
#33,206,567
33,212.8,567,12.2898
#34,358,567
#34,430,567
#34,389,567
#34,375,567
#34,332,567
34,376.8,567,65.3777
#35,400,567
#35,370,567
#35,423,567
#35,330,567
#35,347,567
35,374,567,67.8705
#36,443,567
#36,496,567
#36,373,567
#36,440,567
#36,387,567
36,427.8,567,88.0854
#37,411,567
#37,364,567
#37,449,567
#37,359,567
#37,381,567
37,392.8,567,66.9376
#38,377,567
#38,292,567
#38,240,567
#38,235,567
#38,232,567
38,275.2,567,110.876
#39,224,567
#39,251,567
#39,239,567
#39,232,567
#39,228,567
39,234.8,567,18.9905
#40,254,567
#40,272,567
#40,256,567
#40,235,567
#40,237,567
40,250.8,567,27.2294
#41,370,567
#41,442,567
#41,276,567
#41,240,567
#41,240,567
41,313.6,567,159.788
#42,237,567
#42,265,567
#42,252,567
#42,245,567
#42,243,567
42,248.4,567,19.1666
#43,362,567
#43,510,567
#43,275,567
#43,265,567
#43,250,567
43,332.4,567,194
#44,267,567
#44,269,567
#44,264,567
#44,259,567
#44,254,567
44,262.6,567,10.9252
#45,457,567
#45,420,567
