#1,383,9
#1,34,9
#1,24,9
#1,25,9
1,116.5,9,307.826
#2,40,27
#2,27,27
#2,26,27
#2,26,27
2,29.75,27,11.8638
#3,42,27
#3,36,27
#3,29,27
#3,29,27
3,34,27,10.8628
#4,43,63
#4,34,63
#4,31,63
#4,29,63
4,34.25,63,10.7121
#5,47,63
#5,33,63
#5,32,63
#5,32,63
5,36,63,12.7279
#6,37,63
#6,39,63
#6,36,63
#6,35,63
6,36.75,63,2.95804
#7,42,63
#7,38,63
#7,37,63
#7,36,63
7,38.25,63,4.55522
#8,41,135
#8,39,135
#8,39,135
#8,40,135
8,39.75,135,1.65831
#9,45,135
#9,46,135
#9,42,135
#9,41,135
9,43.5,135,4.12311
#10,47,135
#10,48,135
#10,43,135
#10,44,135
10,45.5,135,4.12311
#12,55,135
#12,58,135
#12,52,135
#12,52,135
12,54.25,135,4.97494
#14,61,135
#14,63,135
#14,54,135
#14,52,135
14,57.5,135,9.21954
#16,70,279
#16,65,279
#16,62,279
#16,60,279
16,64.25,279,7.53326
#19,76,279
#19,74,279
#19,65,279
#19,66,279
19,70.25,279,9.63068
#22,82,279
#22,76,279
#22,72,279
#22,77,279
22,76.75,279,7.1239
#26,93,279
#26,88,279
#26,84,279
#26,84,279
26,87.25,279,7.39932
#31,102,567
#31,103,567
#31,96,567
#31,96,567
31,99.25,567,6.53835
#37,144,567
#37,113,567
#37,111,567
#37,113,567
37,120.25,567,27.4727
#44,158,567
#44,146,567
#44,128,567
#44,125,567
44,139.25,567,26.9583
#52,153,567
#52,148,567
#52,147,567
#52,143,567
52,147.75,567,7.1239
#62,235,1143
#62,227,1143
#62,194,1143
#62,177,1143
62,208.25,1143,47.3999
#74,209,1143
#74,216,1143
#74,198,1143
#74,193,1143
74,204,1143,18.0555
#88,242,1143
#88,235,1143
#88,231,1143
#88,230,1143
88,234.5,1143,9.43398
#105,404,1143
#105,363,1143
#105,293,1143
#105,287,1143
105,336.75,1143,97.9834
#126,324,2295
#126,327,2295
#126,326,2295
#126,324,2295
126,325.25,2295,2.59808
#151,385,2295
#151,380,2295
#151,383,2295
#151,380,2295
151,382,2295,4.24264
#181,520,2295
#181,515,2295
#181,492,2295
#181,487,2295
181,503.5,2295,28.4429
#217,906,2295
#217,836,2295
#217,704,2295
#217,651,2295
217,774.25,2295,203.216
#260,664,4599
#260,659,4599
#260,647,4599
#260,649,4599
260,654.75,4599,14.0268
#312,810,4599
#312,819,4599
#312,819,4599
#312,826,4599
312,818.5,4599,11.3578
#374,925,4599
#374,915,4599
#374,919,4599
#374,911,4599
374,917.5,4599,10.3441
#448,1377,4599
#448,1377,4599
#448,1216,4599
#448,1123,4599
448,1273.25,4599,217.671
#537,1340,9207
#537,1378,9207
#537,1338,9207
#537,1341,9207
537,1349.25,9207,33.2679
#644,1686,9207
#644,1695,9207
#644,1607,9207
#644,1586,9207
644,1643.5,9207,95.3782
#772,2089,9207
#772,2079,9207
#772,2004,9207
#772,1957,9207
772,2032.25,9207,108.935
#926,2254,18423
#926,2277,18423
#926,2234,18423
#926,2254,18423
926,2254.75,18423,30.4426
#1111,2737,18423
#1111,2742,18423
#1111,2717,18423
#1111,2691,18423
1111,2721.75,18423,40.1342
#1333,3268,18423
#1333,3304,18423
#1333,3283,18423
#1333,3270,18423
1333,3281.25,18423,28.6836
#1599,4812,18423
#1599,4565,18423
#1599,4303,18423
#1599,4137,18423
1599,4454.25,18423,513.59
#1918,4676,36855
#1918,4875,36855
#1918,4763,36855
#1918,4759,36855
1918,4768.25,36855,141.488
#2301,5823,36855
#2301,5971,36855
#2301,5787,36855
#2301,5780,36855
2301,5840.25,36855,154.463
#2761,7443,36855
#2761,7657,36855
#2761,7346,36855
#2761,7227,36855
2761,7418.25,36855,315.295
#3313,10520,36855
#3313,9992,36855
#3313,9260,36855
#3313,8840,36855
3313,9653,36855,1296.93
#3975,10518,73719
#3975,10766,73719
#3975,10662,73719
#3975,10623,73719
3975,10642.2,73719,177.518
#4770,12952,73719
#4770,13267,73719
#4770,12959,73719
#4770,12923,73719
4770,13025.2,73719,280.451
#5724,16010,73719
#5724,16134,73719
#5724,15785,73719
#5724,15697,73719
5724,15906.5,73719,348.024
#6868,23696,73719
#6868,22849,73719
#6868,21168,73719
#6868,20383,73719
6868,22024,73719,2627.13
#8241,25126,147447
#8241,25596,147447
#8241,28061,147447
#8241,25457,147447
8241,26060,147447,2335.65
