#1,287,256
#1,55,256
#1,28,256
#1,28,256
1,99.5,256,217.626
#2,58,256
#2,41,256
#2,36,256
#2,31,256
2,41.5,256,20.3224
#3,43,256
#3,40,256
#3,37,256
#3,35,256
3,38.75,256,6.06218
#4,46,256
#4,46,256
#4,42,256
#4,41,256
4,43.75,256,4.55522
#5,66,256
#5,50,256
#5,44,256
#5,45,256
5,51.25,256,17.6281
#6,73,256
#6,60,256
#6,54,256
#6,49,256
6,59,256,17.9444
#7,90,256
#7,77,256
#7,60,256
#7,57,256
7,71,256,26.7208
#8,72,256
#8,85,256
#8,66,256
#8,68,256
8,72.75,256,14.7902
#9,76,256
#9,76,256
#9,73,256
#9,74,256
9,74.75,256,2.59808
#10,91,256
#10,89,256
#10,84,256
#10,77,256
10,85.25,256,10.8051
#12,112,256
#12,135,256
#12,104,256
#12,104,256
12,113.75,256,25.3919
#14,99,384
#14,107,384
#14,108,384
#14,107,384
14,105.25,384,7.26292
#16,145,384
#16,108,384
#16,106,384
#16,109,384
16,117,384,32.4037
#19,204,384
#19,182,384
#19,134,384
#19,125,384
19,161.25,384,65.6868
#22,165,384
#22,174,384
#22,172,384
#22,167,384
22,169.5,384,7.28011
#26,228,640
#26,205,640
#26,186,640
#26,175,640
26,198.5,640,40.2616
#31,216,640
#31,238,640
#31,205,640
#31,198,640
31,214.25,640,30.2779
#37,277,640
#37,273,640
#37,239,640
#37,232,640
37,255.25,640,39.9093
#44,277,896
#44,264,896
#44,260,896
#44,250,896
44,262.75,896,19.3585
#52,359,1152
#52,379,1152
#52,332,1152
#52,321,1152
52,347.75,1152,45.4615
#62,472,1152
#62,440,1152
#62,389,1152
#62,365,1152
62,416.5,1152,83.9107
#74,518,1408
#74,469,1408
#74,421,1408
#74,394,1408
74,450.5,1408,94.6626
#88,547,1536
#88,560,1536
#88,511,1536
#88,459,1536
88,519.25,1536,78.2863
#105,625,1792
#105,603,1792
#105,562,1792
#105,530,1792
105,580,1792,73.3348
#126,780,1920
#126,781,1920
#126,728,1920
#126,670,1920
126,739.75,1920,91.2401
#151,1299,2176
#151,1205,2176
#151,914,2176
#151,812,2176
151,1057.5,2176,401.175
#181,1406,2432
#181,1366,2432
#181,1086,2432
#181,1038,2432
