#1,261,256
#1,67,256
#1,31,256
#1,30,256
#1,30,256
1,83.8,256,179.463
#2,53,256
#2,37,256
#2,34,256
#2,34,256
#2,36,256
2,38.8,256,14.3889
#3,44,256
#3,47,256
#3,42,256
#3,39,256
#3,39,256
3,42.2,256,6.11882
#4,48,256
#4,52,256
#4,41,256
#4,43,256
#4,43,256
4,45.4,256,8.05978
#5,64,256
#5,53,256
#5,54,256
#5,54,256
#5,55,256
5,56,256,8.09938
#6,60,256
#6,58,256
#6,55,256
#6,53,256
#6,55,256
6,56.2,256,4.96387
#7,71,256
#7,64,256
#7,77,256
#7,61,256
#7,61,256
7,66.8,256,12.5475
#8,113,256
#8,106,256
#8,98,256
#8,65,256
#8,68,256
8,90,256,39.5778
#9,92,256
#9,86,256
#9,84,256
#9,82,256
#9,69,256
9,82.6,256,15.1578
#10,87,256
#10,87,256
#10,81,256
#10,83,256
#10,81,256
10,83.8,256,5.42586
#11,122,256
#11,106,256
#11,103,256
#11,96,256
#11,96,256
11,104.6,256,19.083
#12,95,256
#12,97,256
#12,94,256
#12,96,256
#12,95,256
12,95.4,256,2.03961
#13,124,384
#13,109,384
#13,94,384
#13,96,384
#13,95,384
13,103.6,384,23.1378
#14,143,384
#14,137,384
#14,115,384
#14,113,384
#14,113,384
14,124.2,384,26.1197
#15,117,384
#15,123,384
#15,123,384
#15,125,384
#15,125,384
15,122.6,384,5.87878
#16,136,384
#16,130,384
#16,121,384
#16,123,384
#16,121,384
16,126.2,384,11.8254
#17,137,384
#17,143,384
#17,144,384
#17,146,384
#17,142,384
17,142.4,384,6.01332
#18,139,384
#18,141,384
#18,126,384
#18,126,384
#18,121,384
18,130.6,384,15.8291
#19,186,384
#19,167,384
#19,149,384
#19,140,384
#19,141,384
19,156.6,384,35.2045
#20,176,384
#20,163,384
#20,153,384
#20,146,384
#20,147,384
20,157,384,22.5211
#21,189,384
#21,177,384
#21,173,384
#21,151,384
#21,149,384
21,167.8,384,30.9425
#22,200,384
#22,222,384
#22,165,384
#22,164,384
#22,156,384
22,181.4,384,50.6849
#23,150,384
#23,153,384
#23,152,384
#23,151,384
#23,151,384
23,151.4,384,2.03961
#24,168,384
#24,165,384
#24,164,384
#24,168,384
#24,164,384
24,165.8,384,3.66606
#25,231,384
#25,212,384
#25,190,384
#25,173,384
#25,172,384
25,195.6,384,45.7926
#26,211,640
#26,168,640
#26,162,640
#26,167,640
#26,167,640
26,175,640,36.2436
#27,207,640
#27,209,640
#27,205,640
#27,191,640
#27,162,640
27,194.8,640,35.1545
#28,225,640
#28,226,640
#28,199,640
#28,174,640
#28,169,640
28,198.6,640,48.4083
#29,211,640
#29,238,640
#29,238,640
#29,191,640
#29,173,640
29,210.2,640,51.3716
#30,227,640
#30,233,640
#30,214,640
#30,206,640
#30,195,640
30,215,640,27.5681
#31,247,640
#31,244,640
#31,232,640
#31,184,640
#31,194,640
31,220.2,640,52.3129
#32,211,640
#32,224,640
#32,212,640
#32,207,640
#32,191,640
32,209,640,21.2791
#33,262,640
#33,262,640
#33,252,640
#33,210,640
#33,198,640
33,236.8,640,54.5879
#34,260,640
#34,262,640
#34,260,640
#34,218,640
#34,220,640
34,244,640,40.8705
#35,263,640
#35,245,640
#35,232,640
#35,218,640
#35,215,640
35,234.6,640,35.5663
#36,295,640
#36,288,640
#36,252,640
#36,250,640
#36,225,640
36,262,640,51.9846
#37,382,640
#37,294,640
#37,250,640
#37,246,640
#37,232,640
37,280.8,640,109.387
#38,310,640
#38,301,640
#38,258,640
#38,236,640
#38,220,640
38,265,640,70.6314
#39,270,896
#39,290,896
#39,271,896
#39,256,896
#39,247,896
39,266.8,896,29.323
#40,302,896
#40,272,896
#40,263,896
#40,241,896
#40,252,896
40,266,896,41.5885
#42,284,896
#42,278,896
#42,264,896
#42,268,896
#42,260,896
42,270.8,896,17.8168
