#1,257,256
#1,49,256
#1,28,256
#1,29,256
#1,29,256
1,78.4,256,179.295
#2,55,256
#2,34,256
#2,33,256
#2,33,256
#2,34,256
2,37.8,256,17.2232
#3,50,256
#3,49,256
#3,38,256
#3,38,256
#3,39,256
3,42.8,256,10.9836
#4,54,256
#4,49,256
#4,44,256
#4,43,256
#4,43,256
4,46.6,256,8.63481
#5,59,256
#5,58,256
#5,50,256
#5,48,256
#5,49,256
5,52.8,256,9.41488
#6,89,256
#6,102,256
#6,89,256
#6,59,256
#6,60,256
6,79.8,256,34.4883
#7,94,256
#7,85,256
#7,65,256
#7,61,256
#7,60,256
7,73,256,27.7417
#8,80,256
#8,75,256
#8,71,256
#8,70,256
#8,82,256
8,75.6,256,9.5163
#9,94,256
#9,93,256
#9,71,256
#9,71,256
#9,70,256
9,79.8,256,22.3929
#10,97,256
#10,98,256
#10,95,256
#10,92,256
#10,98,256
10,96,256,4.5607
#11,91,256
#11,90,256
#11,85,256
#11,86,256
#11,84,256
11,87.2,256,5.57136
#12,108,256
#12,96,256
#12,84,256
#12,84,256
#12,87,256
12,91.8,256,18.4347
#13,96,384
#13,111,384
#13,125,384
#13,108,384
#13,104,384
13,108.8,384,19.0746
#14,113,384
#14,98,384
#14,97,384
#14,116,384
#14,100,384
14,104.8,384,16.0698
#15,114,384
#15,106,384
#15,105,384
#15,104,384
#15,98,384
15,105.4,384,10.245
#16,131,384
#16,110,384
#16,111,384
#16,109,384
#16,105,384
16,113.2,384,18.2603
#17,117,384
#17,116,384
#17,134,384
#17,112,384
#17,113,384
17,118.4,384,16.03
#18,172,384
#18,144,384
#18,117,384
#18,116,384
#18,116,384
18,133,384,44.5062
#19,155,384
#19,149,384
#19,139,384
#19,154,384
#19,136,384
19,146.6,384,15.5229
#20,150,384
#20,147,384
#20,138,384
#20,139,384
#20,139,384
20,142.6,384,9.84683
#21,136,384
#21,130,384
#21,131,384
#21,147,384
#21,132,384
21,135.2,384,12.4836
#22,229,384
#22,198,384
#22,177,384
#22,150,384
#22,137,384
22,178.2,384,66.132
#23,174,384
#23,168,384
#23,154,384
#23,172,384
#23,152,384
23,164,384,18.4174
#24,182,384
#24,164,384
#24,156,384
#24,159,384
#24,154,384
24,163,384,20.1594
#25,192,384
#25,190,384
#25,177,384
#25,171,384
#25,161,384
25,178.2,384,23.3032
#26,215,640
#26,166,640
#26,151,640
#26,168,640
#26,153,640
26,170.6,640,46.4172
#27,163,640
#27,156,640
#27,169,640
#27,156,640
#27,156,640
27,160,640,10.5071
#28,178,640
#28,172,640
#28,189,640
#28,171,640
#28,171,640
28,176.2,640,13.8217
#29,166,640
#29,163,640
#29,162,640
#29,181,640
#29,163,640
29,167,640,14.2548
#30,186,640
#30,192,640
#30,187,640
#30,173,640
#30,172,640
30,182,640,16.0499
#31,235,640
#31,242,640
#31,244,640
#31,198,640
#31,171,640
31,218,640,57.6194
#32,223,640
#32,231,640
#32,241,640
#32,193,640
#32,177,640
32,213,640,48.1996
#33,240,640
#33,229,640
#33,225,640
#33,186,640
#33,185,640
33,213,640,45.9739
#34,240,640
#34,254,640
#34,212,640
#34,208,640
#34,194,640
34,221.6,640,44.0654
#35,294,640
#35,279,640
#35,209,640
#35,188,640
#35,188,640
35,231.6,640,91.447
#36,257,640
#36,279,640
#36,245,640
#36,218,640
#36,192,640
36,238.2,640,60.7078
#37,311,640
#37,260,640
#37,212,640
#37,211,640
#37,210,640
37,240.8,640,79.8138
#38,252,896
#38,238,896
#38,214,896
#38,210,896
#38,214,896
38,225.6,896,33.0236
#39,253,896
#39,245,896
#39,243,896
#39,202,896
#39,204,896
39,229.4,896,43.6458
#40,425,896
#40,293,896
#40,244,896
#40,231,896
#40,226,896
40,283.8,896,148.956
#42,280,896
#42,250,896
#42,237,896
#42,237,896
#42,231,896
42,247,896,35.259
#44,356,896
#44,271,896
#44,264,896
#44,265,896
#44,229,896
44,277,896,84.3516
#46,396,896
#46,325,896
#46,285,896
#46,250,896
#46,251,896
46,301.4,896,109.388
#48,360,896
#48,353,896
#48,287,896
#48,296,896
#48,264,896
48,312,896,75.7364
#50,448,896
#50,375,896
#50,298,896
#50,286,896
#50,272,896
50,335.8,896,132.981
#52,308,1152
#52,297,1152
#52,294,1152
#52,288,1152
#52,278,1152
52,293,1152,19.8394
#54,356,1152
#54,362,1152
#54,311,1152
#54,303,1152
#54,304,1152
54,327.2,1152,52.3588
#56,334,1152
#56,342,1152
#56,296,1152
#56,300,1152
#56,295,1152
56,313.4,1152,40.6271
#58,413,1152
#58,365,1152
#58,325,1152
#58,326,1152
#58,325,1152
58,350.8,1152,69.379
#60,448,1152
#60,410,1152
#60,364,1152
#60,360,1152
#60,366,1152
60,389.6,1152,68.7907
#63,402,1152
#63,389,1152
#63,371,1152
#63,355,1152
#63,353,1152
63,374,1152,38.1576
#66,467,1408
#66,441,1408
#66,385,1408
#66,353,1408
#66,353,1408
66,399.8,1408,93.0067
#69,493,1408
#69,476,1408
#69,421,1408
#69,422,1408
#69,425,1408
69,447.4,1408,61.587
#72,511,1408
#72,480,1408
#72,438,1408
#72,395,1408
#72,382,1408
72,441.2,1408,98.0889
#75,554,1408
#75,524,1408
#75,453,1408
#75,440,1408
#75,424,1408
75,479,1408,101.477
#78,490,1536
#78,478,1536
#78,465,1536
#78,432,1536
#78,432,1536
78,459.4,1536,47.4569
#81,671,1536
#81,637,1536
#81,449,1536
#81,416,1536
#81,415,1536
81,517.6,1536,225.11
#85,572,1536
#85,538,1536
#85,502,1536
#85,434,1536
#85,433,1536
85,495.8,1536,110.955
#89,517,1664
#89,515,1664
#89,483,1664
#89,485,1664
#89,482,1664
89,496.4,1664,32.0899
#93,536,1664
#93,510,1664
#93,471,1664
#93,472,1664
#93,464,1664
93,490.6,1664,55.6791
#97,775,1664
#97,751,1664
#97,598,1664
#97,561,1664
#97,541,1664
97,645.2,1664,196.401
#101,693,1792
#101,655,1792
#101,538,1792
#101,543,1792
#101,510,1792
101,587.8,1792,144.562
#106,714,1792
#106,718,1792
#106,634,1792
#106,580,1792
#106,576,1792
106,644.4,1792,123.92
#111,777,1792
#111,716,1792
#111,619,1792
#111,573,1792
#111,574,1792
111,651.8,1792,162.812
#116,804,1920
#116,737,1920
#116,653,1920
#116,639,1920
#116,638,1920
116,694.2,1920,132.033
#121,886,1920
#121,887,1920
#121,701,1920
#121,666,1920
#121,623,1920
121,752.6,1920,224.174
#127,872,2176
#127,846,2176
#127,694,2176
#127,680,2176
#127,656,2176
127,749.6,2176,181.044
#133,911,2176
#133,884,2176
#133,748,2176
#133,737,2176
#133,714,2176
133,798.8,2176,163.557
#139,984,2176
#139,922,2176
#139,796,2176
#139,756,2176
#139,749,2176
139,841.4,2176,189.152
#145,911,2176
