#1,550,256
#1,74,256
#1,33,256
#1,32,256
#1,32,256
1,144.2,256,407.082
#2,50,256
#2,55,256
#2,39,256
#2,39,256
#2,38,256
2,44.2,256,13.937
#3,42,256
#3,46,256
#3,47,256
#3,42,256
#3,43,256
3,44,256,4.19524
#4,55,256
#4,52,256
#4,46,256
#4,47,256
#4,47,256
4,49.4,256,6.99714
#5,60,256
#5,50,256
#5,51,256
#5,67,256
#5,52,256
5,56,256,13.0843
#6,85,256
#6,65,256
#6,55,256
#6,56,256
#6,57,256
6,63.6,256,22.5424
#7,76,256
#7,70,256
#7,68,256
#7,68,256
#7,67,256
7,69.8,256,6.49923
#8,82,256
#8,76,256
#8,74,256
#8,73,256
#8,73,256
8,75.6,256,6.76461
#9,111,256
#9,111,256
#9,70,256
#9,71,256
#9,71,256
9,86.8,256,39.5252
#10,99,256
#10,104,256
#10,84,256
#10,84,256
#10,82,256
10,90.6,256,18.1373
#11,89,256
#11,90,256
#11,89,256
#11,88,256
#11,101,256
11,91.4,256,9.68297
#12,144,256
#12,140,256
#12,89,256
#12,89,256
#12,88,256
12,110,256,52.3221
#13,115,256
#13,118,256
#13,112,256
#13,114,256
#13,111,256
13,114,256,4.89898
#14,105,384
#14,103,384
#14,102,384
#14,104,384
#14,104,384
14,103.6,384,2.03961
#15,119,384
#15,119,384
#15,109,384
#15,110,384
#15,104,384
15,112.2,384,11.8254
#16,126,384
#16,110,384
#16,124,384
#16,109,384
#16,110,384
16,115.8,384,15.0944
#17,135,384
#17,153,384
#17,147,384
#17,140,384
#17,159,384
17,146.8,384,17.2696
#18,137,384
#18,138,384
#18,121,384
#18,121,384
#18,123,384
18,128,384,15.5949
#19,144,384
#19,163,384
#19,166,384
#19,124,384
#19,129,384
19,145.2,384,34.2088
#20,186,384
#20,176,384
#20,177,384
#20,176,384
#20,143,384
20,171.6,384,29.573
#21,157,384
#21,157,384
#21,176,384
#21,139,384
#21,138,384
21,153.4,384,28.0171
#22,177,384
#22,167,384
#22,158,384
#22,144,384
#22,144,384
22,158,384,25.8302
#23,190,384
#23,197,384
#23,177,384
#23,175,384
#23,162,384
23,180.2,384,24.4426
#24,171,384
#24,160,384
#24,157,384
#24,161,384
#24,158,384
24,161.4,384,10.008
#25,201,384
#25,216,384
#25,213,384
#25,175,384
#25,172,384
25,195.4,384,37.1935
#26,244,384
#26,231,384
#26,196,384
#26,193,384
#26,180,384
26,208.8,384,48.7836
#27,221,384
#27,206,384
#27,200,384
#27,191,384
#27,201,384
27,203.8,384,19.7342
#28,246,640
#28,206,640
#28,197,640
#28,173,640
#28,178,640
28,200,640,51.9538
#29,209,640
#29,209,640
#29,198,640
#29,203,640
#29,189,640
29,201.6,640,15.0519
#30,186,640
#30,188,640
#30,198,640
#30,185,640
#30,186,640
30,188.6,640,9.6
#31,218,640
#31,236,640
#31,224,640
#31,202,640
#31,217,640
31,219.4,640,22.04
#32,226,640
#32,244,640
#32,217,640
#32,205,640
#32,206,640
32,219.6,640,28.861
#33,202,640
#33,200,640
#33,222,640
#33,201,640
#33,198,640
33,204.6,640,17.6
#34,261,640
#34,239,640
#34,229,640
#34,212,640
#34,218,640
34,231.8,640,34.5809
#35,344,640
#35,294,640
#35,263,640
#35,227,640
#35,212,640
35,268,640,95.0537
#36,314,640
#36,276,640
#36,250,640
#36,223,640
#36,215,640
36,255.6,640,72.4939
#37,263,640
#37,273,640
#37,282,640
#37,231,640
#37,221,640
37,254,640,47.6991
#38,230,640
#38,242,640
#38,244,640
#38,243,640
#38,224,640
38,236.6,640,16.179
#39,279,640
#39,289,640
#39,279,640
#39,257,640
#39,262,640
39,273.2,640,23.7453
#40,325,640
#40,306,640
#40,258,640
#40,258,640
#40,253,640
40,280,640,59.3161
#42,270,896
#42,264,896
#42,268,896
#42,267,896
#42,251,896
42,264,896,13.5647
#44,262,896
#44,273,896
#44,288,896
#44,263,896
#44,261,896
44,269.4,896,20.4978
#46,335,896
#46,327,896
#46,310,896
#46,281,896
#46,280,896
46,306.6,896,45.5825
#48,400,896
#48,367,896
#48,344,896
#48,326,896
#48,307,896
48,348.8,896,64.763
#50,396,896
#50,381,896
#50,326,896
#50,304,896
#50,306,896
50,342.6,896,77.1036
#52,434,896
#52,415,896
#52,356,896
#52,339,896
#52,342,896
52,377.2,896,79.0078
#54,478,896
#54,461,896
#54,380,896
#54,328,896
#54,337,896
54,396.8,896,124.28
#56,312,1152
#56,337,1152
#56,338,1152
#56,353,1152
#56,326,1152
56,333.2,1152,27.2881
#58,468,1152
#58,457,1152
#58,364,1152
#58,337,1152
#58,337,1152
58,392.6,1152,116.046
#60,436,1152
#60,445,1152
#60,415,1152
#60,381,1152
#60,358,1152
60,407,1152,65.8847
#63,472,1152
#63,453,1152
#63,432,1152
#63,386,1152
#63,370,1152
63,422.6,1152,77.7648
#66,597,1152
#66,604,1152
#66,410,1152
#66,394,1152
#66,395,1152
66,480,1152,197.152
#69,608,1408
#69,530,1408
#69,435,1408
#69,420,1408
#69,407,1408
69,480,1408,154.5
#72,539,1408
#72,513,1408
#72,430,1408
#72,430,1408
#72,424,1408
72,467.2,1408,97.5164
#75,673,1408
#75,598,1408
#75,530,1408
#75,483,1408
#75,482,1408
75,553.2,1408,146.683
#78,582,1408
#78,569,1408
#78,522,1408
#78,502,1408
#78,511,1408
78,537.2,1408,64.3416
#81,686,1408
#81,640,1408
#81,502,1408
#81,490,1408
#81,478,1408
81,559.2,1408,172.652
#85,759,1664
#85,772,1664
#85,602,1664
#85,581,1664
#85,543,1664
85,651.4,1664,190.303
#89,769,1664
#89,673,1664
#89,579,1664
#89,581,1664
#89,578,1664
89,636,1664,151.515
#93,770,1664
#93,723,1664
#93,595,1664
#93,584,1664
#93,556,1664
93,645.6,1664,169.35
#97,930,1920
#97,849,1920
#97,656,1920
#97,616,1920
#97,619,1920
97,734,1920,260.575
#101,788,1920
#101,761,1920
#101,663,1920
#101,604,1920
#101,586,1920
101,680.4,1920,162.789
#106,1219,1920
#106,1011,1920
#106,782,1920
#106,696,1920
#106,656,1920
106,872.8,1920,424.696
#111,861,2176
#111,825,2176
#111,680,2176
#111,678,2176
#111,653,2176
111,739.4,2176,171.761
#116,887,2176
#116,863,2176
#116,733,2176
#116,690,2176
#116,688,2176
116,772.2,2176,171.597
#121,1022,2176
#121,966,2176
#121,783,2176
#121,738,2176
#121,732,2176
121,848.2,2176,243.279
#127,1073,2432
#127,1027,2432
#127,819,2432
#127,765,2432
#127,752,2432
127,887.2,2432,271.188
#133,1172,2432
#133,1087,2432
#133,908,2432
#133,859,2432
#133,816,2432
133,968.4,2432,274.753
#139,1351,2688
#139,1105,2688
#139,888,2688
#139,879,2688
#139,830,2688
139,1010.6,2688,389.614
#145,1348,2688
#145,1134,2688
#145,955,2688
#145,916,2688
#145,883,2688
145,1047.2,2688,347.207
#152,1169,2944
#152,1108,2944
#152,945,2944
#152,888,2944
#152,891,2944
152,1000.2,2944,232.68
#159,1359,2944
#159,1185,2944
#159,976,2944
#159,964,2944
#159,963,2944
159,1089.4,2944,317.975
#166,1488,3200
#166,1286,3200
#166,1067,3200
#166,1035,3200
#166,1005,3200
166,1176.2,3200,369.266
#174,1912,3200
#174,1505,3200
#174,1285,3200
#174,1219,3200
#174,1205,3200
174,1425.2,3200,532.169
#182,1800,3456
#182,1587,3456
#182,1249,3456
#182,1235,3456
#182,1217,3456
182,1417.6,3456,470.689
#191,2063,3712
#191,1636,3712
#191,1289,3712
#191,1229,3712
#191,1227,3712
191,1488.8,3712,649.51
#200,1546,3712
#200,1473,3712
#200,1345,3712
#200,1293,3712
#200,1268,3712
200,1385,3712,214.323
#210,1874,3968
#210,1718,3968
#210,1420,3968
#210,1393,3968
#210,1362,3968
210,1553.4,3968,409.912
#220,1915,4224
#220,1672,4224
#220,1431,4224
#220,1352,4224
#220,1329,4224
220,1539.8,4224,447.03
#231,2130,4480
#231,2057,4480
#231,1584,4480
#231,1527,4480
#231,1481,4480
231,1755.8,4480,557.227
#242,2347,4480
#242,1978,4480
#242,1590,4480
#242,1517,4480
#242,1467,4480
242,1779.8,4480,671.673
#254,2136,4736
#254,1952,4736
#254,1684,4736
#254,1647,4736
#254,1611,4736
254,1806,4736,408.319
#266,2385,4992
#266,2055,4992
#266,1766,4992
#266,1706,4992
#266,1669,4992
266,1916.2,4992,541.768
#279,2729,5248
#279,2708,5248
#279,2063,5248
#279,1746,5248
#279,1716,5248
279,2192.4,5248,892.976
#292,2591,5376
#292,2213,5376
#292,1831,5376
#292,1729,5376
#292,1701,5376
292,2013,5376,684.227
#306,2900,5504
#306,2366,5504
#306,1975,5504
#306,1899,5504
#306,1806,5504
306,2189.2,5504,806.689
#321,3088,5632
#321,2482,5632
#321,2032,5632
#321,1903,5632
#321,1824,5632
321,2265.8,5632,939.885
#337,3221,5760
#337,2761,5760
#337,2219,5760
#337,2116,5760
#337,2061,5760
337,2475.6,5760,896.269
#353,3487,5888
#353,3138,5888
#353,2454,5888
#353,2257,5888
#353,2172,5888
353,2701.6,5888,1037.98
#370,3380,6144
#370,2809,6144
#370,2343,6144
#370,2210,6144
#370,2186,6144
370,2585.6,6144,912.399
#388,4118,6272
#388,3273,6272
#388,2714,6272
#388,2514,6272
#388,2440,6272
388,3011.8,6272,1250.71
#407,3943,6400
#407,3335,6400
#407,2726,6400
#407,2468,6400
#407,2391,6400
407,2972.6,6400,1175.31
#427,4240,6656
#427,3555,6656
#427,2884,6656
#427,2630,6656
#427,2623,6656
427,3186.4,6656,1253.6
#448,4325,6784
#448,3571,6784
#448,2917,6784
#448,2721,6784
#448,2658,6784
448,3238.4,6784,1264.65
#470,4814,7040
#470,3945,7040
#470,3123,7040
#470,2896,7040
#470,2848,7040
470,3525.2,7040,1510.89
#493,4631,7296
#493,3907,7296
#493,3404,7296
#493,3181,7296
