#1,236,296
#1,53,296
#1,24,296
#1,24,296
#1,24,296
#1,24,296
1,64.1667,296,155.145
#2,48,296
#2,25,296
#2,28,296
#2,26,296
#2,26,296
#2,25,296
2,29.6667,296,16.5193
#3,56,296
#3,46,296
#3,27,296
#3,29,296
#3,27,296
#3,26,296
3,35.1667,296,23.1924
#4,67,296
#4,54,296
#4,30,296
#4,30,296
#4,31,296
#4,29,296
4,40.1667,296,29.7415
#5,78,296
#5,56,296
#5,33,296
#5,33,296
#5,33,296
#5,34,296
5,44.5,296,34.2685
#6,73,296
#6,51,296
#6,39,296
#6,38,296
#6,38,296
#6,37,296
6,46,296,25.9743
#7,76,296
#7,58,296
#7,82,296
#7,45,296
#7,43,296
#7,45,296
7,58.1667,296,31.2285
#8,106,296
#8,57,296
#8,49,296
#8,49,296
#8,48,296
#8,49,296
8,59.6667,296,41.8834
#9,87,296
#9,86,296
#9,56,296
#9,56,296
#9,56,296
#9,57,296
9,66.3333,296,28.5346
#10,106,296
#10,85,296
#10,63,296
#10,63,296
#10,63,296
#10,64,296
10,74,296,32.7414
#11,110,296
#11,101,296
#11,71,296
#11,69,296
#11,70,296
#11,69,296
11,81.6667,296,34.1305
#12,111,296
#12,91,296
#12,79,296
#12,78,296
#12,79,296
#12,77,296
12,85.8333,296,24.3972
#13,135,424
#13,114,424
#13,93,424
#13,73,424
#13,67,424
#13,68,424
13,91.6667,424,50.9597
#14,167,424
#14,141,424
#14,72,424
#14,72,424
#14,73,424
#14,73,424
14,99.6667,424,78.2957
#15,179,424
#15,150,424
#15,96,424
#15,92,424
#15,93,424
#15,80,424
15,115,424,72.6636
#16,207,424
#16,152,424
#16,109,424
#16,96,424
#16,86,424
#16,84,424
16,122.333,424,88.3528
#17,230,424
#17,163,424
#17,117,424
#17,117,424
#17,105,424
#17,104,424
17,139.333,424,90.2047
#18,269,424
#18,195,424
#18,129,424
#18,113,424
#18,114,424
#18,102,424
18,153.667,424,119.765
#19,282,424
#19,196,424
#19,121,424
#19,105,424
#19,104,424
#19,106,424
19,152.333,424,132.729
#20,244,424
#20,181,424
#20,147,424
#20,132,424
#20,124,424
#20,111,424
20,156.5,424,89.7162
#21,377,424
#21,256,424
#21,153,424
#21,134,424
#21,125,424
#21,127,424
21,195.333,424,185.927
#22,313,424
#22,210,424
#22,151,424
#22,143,424
#22,140,424
#22,129,424
22,181,424,129.084
#23,344,424
#23,206,424
#23,145,424
#23,146,424
#23,145,424
#23,135,424
23,186.833,424,148.15
#24,352,424
#24,209,424
#24,151,424
#24,153,424
#24,152,424
#24,144,424
24,193.5,424,148.282
#25,397,680
#25,190,680
#25,122,680
#25,123,680
#25,125,680
#25,123,680
25,180,680,200.127
#26,382,680
#26,268,680
#26,199,680
#26,155,680
#26,152,680
#26,138,680
26,215.667,680,172.142
#27,411,680
#27,223,680
#27,140,680
#27,138,680
#27,140,680
#27,139,680
27,198.5,680,199.669
#28,498,680
#28,254,680
#28,166,680
#28,144,680
#28,145,680
#28,144,680
28,225.167,680,256.09
#29,422,680
#29,294,680
#29,171,680
#29,170,680
#29,166,680
#29,169,680
29,232,680,192.932
#30,410,680
#30,297,680
#30,192,680
#30,180,680
#30,183,680
#30,162,680
30,237.333,680,177.658
#31,462,680
#31,301,680
#31,189,680
#31,165,680
#31,162,680
#31,165,680
31,240.667,680,220.511
#32,474,680
#32,488,680
#32,252,680
#32,188,680
#32,177,680
#32,178,680
32,292.833,680,271.014
#33,575,680
#33,391,680
#33,234,680
#33,214,680
#33,210,680
#33,312,680
33,322.667,680,259.254
#34,599,680
#34,468,680
#34,355,680
#34,366,680
#34,433,680
#34,184,680
34,400.833,680,251.856
#35,523,680
#35,378,680
#35,253,680
#35,237,680
#35,215,680
#35,199,680
35,300.833,680,230.091
#36,574,680
#36,282,680
#36,224,680
#36,216,680
#36,217,680
#36,216,680
36,288.167,680,259.919
#37,566,936
#37,414,936
#37,256,936
#37,233,936
#37,205,936
#37,182,936
37,309.333,936,273.987
#38,593,936
#38,392,936
#38,256,936
#38,209,936
#38,209,936
#38,199,936
38,309.667,936,285.717
#39,588,936
#39,465,936
#39,272,936
#39,245,936
#39,216,936
#39,202,936
39,331.333,936,288.383
#40,610,936
#40,468,936
#40,293,936
#40,258,936
#40,262,936
#40,240,936
40,355.167,936,274.373
#42,715,936
#42,557,936
#42,336,936
#42,284,936
#42,280,936
#42,243,936
42,402.5,936,346.831
#44,670,936
#44,489,936
#44,322,936
#44,274,936
#44,261,936
#44,252,936
44,378,936,306.705
#46,878,936
#46,638,936
#46,407,936
#46,325,936
#46,325,936
#46,322,936
46,482.5,936,417.671
#48,758,936
#48,559,936
#48,368,936
#48,303,936
#48,303,936
#48,303,936
48,432.333,936,342.951
#50,731,1192
#50,491,1192
#50,331,1192
#50,324,1192
#50,325,1192
#50,278,1192
50,413.333,1192,313.923
#52,827,1192
#52,498,1192
#52,330,1192
#52,309,1192
#52,305,1192
#52,304,1192
52,428.833,1192,381.547
#54,927,1192
#54,610,1192
#54,344,1192
#54,299,1192
#54,296,1192
#54,296,1192
54,462,1192,471.688
#56,906,1192
#56,677,1192
#56,427,1192
#56,353,1192
#56,326,1192
#56,315,1192
56,500.667,1192,437.875
#58,965,1192
#58,774,1192
#58,462,1192
#58,551,1192
#58,611,1192
#58,569,1192
58,655.333,1192,334.323
#60,1186,1192
#60,959,1192
