#1,399,288
#1,95,288
#1,42,288
#1,48,288
#1,50,288
1,126.8,288,274.813
#2,87,288
#2,50,288
#2,52,288
#2,54,288
#2,52,288
2,59,288,28.1141
#3,98,288
#3,92,288
#3,54,288
#3,53,288
#3,54,288
3,70.2,288,40.6822
#4,139,288
#4,82,288
#4,60,288
#4,59,288
#4,58,288
4,79.6,288,62.0271
#5,121,288
#5,82,288
#5,66,288
#5,68,288
#5,67,288
5,80.8,288,41.8645
#6,123,288
#6,94,288
#6,74,288
#6,74,288
#6,75,288
6,88,288,38.1785
#7,136,288
#7,95,288
#7,78,288
#7,77,288
#7,78,288
7,92.8,288,45.2442
#8,157,288
#8,117,288
#8,87,288
#8,86,288
#8,85,288
8,106.4,288,56.0229
#9,164,288
#9,149,288
#9,96,288
#9,97,288
#9,96,288
9,120.4,288,59.714
#10,165,288
#10,132,288
#10,109,288
#10,107,288
#10,108,288
10,124.2,288,44.8535
#11,194,288
#11,134,288
#11,137,288
#11,125,288
#11,125,288
11,143,288,51.8922
#12,195,288
#12,180,288
#12,133,288
#12,137,288
#12,134,288
12,155.8,288,52.6938
#13,295,416
#13,218,416
#13,145,416
#13,118,416
#13,118,416
13,178.8,416,137.331
#14,315,416
#14,240,416
#14,128,416
#14,132,416
#14,128,416
14,188.6,416,152.754
#15,394,416
#15,210,416
#15,141,416
#15,153,416
#15,151,416
15,209.8,416,190.466
#16,332,416
#16,211,416
#16,186,416
#16,177,416
#16,181,416
16,217.4,416,117.02
#17,369,416
#17,251,416
#17,180,416
#17,179,416
#17,159,416
17,227.6,416,154.597
#18,336,416
#18,196,416
#18,167,416
#18,169,416
#18,162,416
18,206,416,132.139
#19,503,416
#19,321,416
#19,223,416
#19,220,416
#19,219,416
19,297.2,416,220.001
#20,496,416
#20,337,416
#20,195,416
#20,200,416
#20,194,416
20,284.4,416,238.041
#22,638,416
#22,288,416
#22,221,416
#22,212,416
#22,214,416
22,314.6,416,328.272
#24,635,416
#24,358,416
#24,293,416
#24,275,416
#24,283,416
24,368.8,416,272.595
#26,568,672
#26,425,672
#26,247,672
#26,222,672
#26,234,672
26,339.2,672,272.785
#28,750,672
#28,502,672
#28,362,672
#28,263,672
#28,251,672
28,425.6,672,370.989
#30,904,672
#30,660,672
#30,371,672
#30,329,672
#30,290,672
30,510.8,672,471.775
#33,807,672
#33,494,672
#33,360,672
#33,308,672
#33,309,672
33,455.6,672,376.694
#36,986,672
#36,610,672
#36,454,672
#36,394,672
#36,384,672
36,565.6,672,450.411
#39,1090,928
#39,888,928
#39,457,928
#39,409,928
#39,397,928
39,648.2,928,572.41
#42,1270,928
#42,647,928
#42,481,928
#42,433,928
#42,415,928
42,649.2,928,642.047
#46,1250,928
#46,713,928
#46,521,928
#46,455,928
#46,471,928
46,682,928,597.03
#50,1447,1184
#50,1072,1184
#50,657,1184
#50,596,1184
#50,531,1184
50,860.6,1184,697.801
#55,1677,1184
#55,1150,1184
#55,660,1184
#55,647,1184
#55,639,1184
55,954.6,1184,820.27
#60,1520,1184
#60,1150,1184
#60,615,1184
#60,602,1184
#60,615,1184
60,900.4,1184,747.344
#66,1870,1312
#66,1419,1312
#66,922,1312
#66,757,1312
#66,695,1312
66,1132.6,1312,895.636
#72,2084,1312
#72,1499,1312
#72,1021,1312
#72,925,1312
#72,780,1312
72,1261.8,1312,953.237
#79,2201,1568
#79,1528,1568
#79,961,1568
#79,829,1568
#79,794,1568
79,1262.6,1568,1076.88
#86,2330,1568
#86,1642,1568
#86,1114,1568
#86,926,1568
#86,860,1568
86,1374.4,1568,1102.09
#94,2618,1568
#94,1911,1568
