#1,100,9
#1,60,9
#1,44,9
#1,45,9
#1,44,9
1,58.6,9,43.1481
#2,78,27
#2,53,27
#2,49,27
#2,49,27
#2,51,27
2,56,27,22.1991
#3,81,27
#3,51,27
#3,52,27
#3,52,27
#3,52,27
3,57.6,27,23.4128
#4,77,63
#4,54,63
#4,54,63
#4,55,63
#4,54,63
4,58.8,63,18.2165
#5,60,63
#5,58,63
#5,56,63
#5,58,63
#5,58,63
5,58,63,2.52982
#6,62,63
#6,71,63
#6,60,63
#6,62,63
#6,63,63
6,63.6,63,7.65245
#7,79,63
#7,69,63
#7,65,63
#7,64,63
#7,65,63
7,68.4,63,11.1427
#8,131,135
#8,76,135
#8,65,135
#8,64,135
#8,64,135
8,80,135,51.7996
#9,89,135
#9,118,135
#9,69,135
#9,67,135
#9,68,135
9,82.2,135,39.3426
#10,140,135
#10,100,135
#10,72,135
#10,70,135
#10,70,135
10,90.4,135,54.5762
#11,86,135
#11,134,135
#11,76,135
#11,75,135
#11,75,135
11,89.2,135,45.5614
#12,90,135
#12,97,135
#12,80,135
#12,81,135
#12,80,135
12,85.6,135,13.6587
#13,102,135
#13,97,135
#13,92,135
#13,83,135
#13,83,135
13,91.4,135,15.105
#14,167,135
#14,114,135
#14,87,135
#14,87,135
#14,87,135
14,108.4,135,62.2203
#15,188,279
#15,113,279
#15,102,279
#15,97,279
#15,96,279
15,119.2,279,69.8501
#16,120,279
#16,125,279
#16,105,279
#16,103,279
#16,106,279
16,111.8,279,17.8617
#17,110,279
#17,120,279
#17,100,279
#17,100,279
#17,100,279
17,106,279,16
#18,120,279
#18,128,279
#18,110,279
#18,113,279
#18,113,279
18,116.8,279,12.9861
#19,124,279
#19,127,279
#19,110,279
#19,114,279
#19,112,279
19,117.4,279,13.6
#20,111,279
#20,128,279
#20,114,279
#20,118,279
#20,117,279
20,117.6,279,11.4961
#21,147,279
#21,170,279
#21,156,279
#21,145,279
#21,144,279
21,152.4,279,19.5387
#22,118,279
#22,172,279
#22,136,279
#22,132,279
#22,121,279
22,135.8,279,38.5829
#23,119,279
#23,140,279
#23,133,279
#23,130,279
#23,133,279
23,131,279,13.6821
#24,138,279
#24,151,279
#24,139,279
#24,127,279
#24,126,279
24,136.2,279,18.3041
#25,211,279
#25,165,279
#25,157,279
#25,136,279
#25,136,279
25,161,279,55.0055
#26,144,279
#26,164,279
#26,157,279
#26,146,279
#26,135,279
26,149.2,279,20.3725
#27,142,279
#27,155,279
#27,146,279
#27,144,279
#27,139,279
27,145.2,279,10.837
#28,220,279
#28,209,279
#28,174,279
#28,149,279
#28,149,279
28,180.2,279,59.3215
#29,157,567
#29,185,567
#29,182,567
#29,141,567
#29,142,567
29,161.4,567,37.8756
#30,161,567
#30,175,567
#30,147,567
#30,147,567
#30,147,567
30,155.4,567,22.4
#31,146,567
#31,167,567
#31,151,567
#31,145,567
#31,145,567
31,150.8,567,16.8
#32,283,567
#32,279,567
#32,301,567
#32,258,567
#32,237,567
32,271.6,567,44.1017
#33,278,567
#33,293,567
#33,306,567
#33,176,567
#33,156,567
33,241.8,567,125.682
#34,238,567
#34,233,567
#34,195,567
#34,160,567
#34,161,567
34,197.4,567,67.2024
#35,173,567
#35,207,567
#35,185,567
#35,177,567
#35,161,567
35,180.6,567,30.6098
#36,161,567
#36,193,567
#36,183,567
#36,171,567
#36,167,567
36,175,567,23.0478
#37,164,567
#37,190,567
#37,181,567
#37,182,567
#37,167,567
37,176.8,567,19.5714
#38,169,567
#38,202,567
#38,190,567
#38,176,567
#38,174,567
38,182.2,567,24.2124
#39,169,567
#39,197,567
#39,187,567
#39,183,567
#39,173,567
39,181.8,567,20.016
#40,178,567
#40,204,567
#40,196,567
#40,190,567
#40,182,567
40,190,567,18.7617
#41,179,567
#41,215,567
#41,197,567
#41,189,567
#41,183,567
41,192.6,567,25.4747
#42,181,567
#42,214,567
#42,196,567
#42,188,567
#42,184,567
42,192.6,567,23.6508
#43,182,567
#43,210,567
#43,204,567
#43,197,567
#43,185,567
43,195.6,567,21.4886
#44,185,567
#44,223,567
#44,210,567
#44,203,567
#44,198,567
44,203.8,567,25.2159
#45,192,567
#45,223,567
#45,207,567
#45,201,567
#45,196,567
45,203.8,567,21.6666
#46,199,567
#46,222,567
#46,209,567
#46,203,567
#46,198,567
46,206.2,567,17.5909
#47,280,567
#47,243,567
#47,233,567
#47,205,567
#47,205,567
47,233.2,567,55.6906
#48,239,567
#48,265,567
#48,223,567
#48,225,567
#48,223,567
48,235,567,32.2986
#49,202,567
#49,273,567
#49,230,567
#49,231,567
#49,211,567
49,229.4,567,48.9342
#50,228,567
#50,255,567
#50,233,567
#50,216,567
#50,216,567
50,229.6,567,28.6943
#51,212,567
#51,263,567
#51,244,567
#51,235,567
#51,222,567
51,235.2,567,35.3587
#52,278,567
#52,276,567
#52,232,567
#52,221,567
#52,221,567
52,245.6,567,51.9169
#53,413,567
#53,323,567
#53,287,567
#53,251,567
#53,228,567
53,300.4,567,129.773
#54,434,567
#54,370,567
#54,286,567
#54,236,567
#54,236,567
54,312.4,567,156.141
#55,328,567
#55,323,567
#55,275,567
#55,270,567
#55,260,567
55,291.2,567,56.9266
#56,326,567
#56,338,567
#56,273,567
#56,265,567
#56,240,567
56,288.4,567,74.8396
#57,346,1143
#57,434,1143
#57,373,1143
#57,430,1143
#57,349,1143
57,386.4,1143,76.8229
#58,350,1143
#58,476,1143
#58,404,1143
#58,454,1143
#58,487,1143
58,434.2,1143,101.701
#59,427,1143
#59,464,1143
#59,468,1143
#59,440,1143
#59,373,1143
59,434.4,1143,68.476
#60,414,1143
#60,465,1143
#60,558,1143
#60,517,1143
#60,421,1143
60,475,1143,110.959
#61,437,1143
#61,469,1143
#61,489,1143
#61,403,1143
#61,428,1143
61,445.2,1143,60.8526
#62,373,1143
#62,443,1143
#62,474,1143
#62,442,1143
#62,515,1143
62,449.4,1143,93.1287
#63,259,1143
#63,278,1143
#63,285,1143
#63,272,1143
#63,265,1143
63,271.8,1143,18.3913
#64,324,1143
#64,307,1143
#64,285,1143
#64,264,1143
#64,269,1143
64,289.8,1143,45.4911
#65,255,1143
#65,312,1143
#65,311,1143
#65,307,1143
#65,273,1143
65,291.6,1143,46.6064
#66,337,1143
#66,322,1143
#66,296,1143
#66,271,1143
#66,275,1143
66,300.2,1143,51.6511
#67,266,1143
#67,309,1143
#67,304,1143
#67,288,1143
#67,272,1143
67,287.8,1143,33.9034
#68,487,1143
#68,458,1143
#68,534,1143
#68,556,1143
#68,463,1143
68,499.6,1143,77.9395
#69,308,1143
#69,299,1143
#69,288,1143
#69,279,1143
#69,278,1143
69,290.4,1143,23.2069
#70,307,1143
#70,312,1143
#70,302,1143
#70,303,1143
#70,305,1143
70,305.8,1143,7.08802
#71,313,1143
#71,321,1143
#71,292,1143
#71,290,1143
#71,290,1143
71,301.2,1143,26.3332
#72,310,1143
#72,326,1143
#72,318,1143
#72,313,1143
