#1,247,9
#1,153,9
#1,86,9
#1,39,9
1,131.25,9,156.297
#2,113,27
#2,75,27
#2,73,27
#2,69,27
2,82.5,27,35.4824
#3,105,27
#3,75,27
#3,74,27
#3,75,27
3,82.25,27,26.2821
#4,157,63
#4,141,63
#4,130,63
#4,118,63
4,136.5,63,28.7228
#5,141,63
#5,142,63
#5,127,63
#5,128,63
5,134.5,63,14.0357
#6,148,63
#6,147,63
#6,140,63
#6,146,63
6,145.25,63,6.22495
#7,156,63
#7,142,63
#7,143,63
#7,162,63
7,150.75,63,17.0514
#8,225,135
#8,214,135
#8,215,135
#8,214,135
8,217,135,9.27362
#9,231,135
#9,224,135
#9,222,135
#9,220,135
9,224.25,135,8.29156
#10,228,135
#10,229,135
#10,229,135
#10,229,135
10,228.75,135,0.866025
#12,320,135
#12,275,135
#12,256,135
#12,252,135
12,275.75,135,53.9699
#14,304,135
#14,268,135
#14,264,135
#14,262,135
14,274.5,135,34.3366
#16,378,279
#16,377,279
#16,374,279
#16,360,279
16,372.25,279,14.4482
#19,451,279
#19,394,279
#19,408,279
#19,400,279
19,413.25,279,44.7074
#22,452,279
#22,437,279
#22,434,279
#22,437,279
22,440,279,14.0712
#26,493,279
#26,460,279
#26,447,279
#26,534,279
26,483.5,279,67.2681
#31,735,567
#31,716,567
#31,628,567
#31,629,567
31,677,567,97.9285
#37,717,567
#37,707,567
#37,669,567
#37,665,567
37,689.5,567,45.6399
#44,852,567
#44,812,567
#44,833,567
#44,758,567
44,813.75,567,70.3189
#52,915,567
#52,859,567
#52,837,567
#52,844,567
52,863.75,567,61.276
#62,1320,1143
#62,1240,1143
#62,1194,1143
#62,1187,1143
62,1235.25,1143,105.994
#74,1487,1143
#74,1437,1143
#74,1282,1143
#74,1267,1143
74,1368.25,1143,191.099
#88,1538,1143
#88,1466,1143
#88,1336,1143
#88,1341,1143
88,1420.25,1143,171.28
#105,1820,1143
#105,1710,1143
#105,1552,1143
#105,1544,1143
105,1656.5,1143,230.588
#126,2500,2295
#126,2381,2295
#126,2270,2295
#126,2229,2295
126,2345,2295,210.718
#151,2858,2295
#151,2772,2295
#151,2496,2295
#151,2445,2295
151,2642.75,2295,351.68
#181,2934,2295
#181,2796,2295
#181,2691,2295
#181,2663,2295
181,2771,2295,212.739
#217,3317,2295
#217,3162,2295
#217,3031,2295
#217,2968,2295
217,3119.5,2295,267.576
#260,4873,4599
#260,4796,4599
#260,4567,4599
#260,4540,4599
260,4694,4599,286.862
#312,5557,4599
#312,5181,4599
#312,4933,4599
#312,4844,4599
312,5128.75,4599,552.747
#374,6122,4599
#374,5829,4599
#374,5366,4599
#374,5333,4599
374,5662.5,4599,659.807
#448,6486,4599
#448,6227,4599
#448,5804,4599
#448,5739,4599
448,6064,4599,614.718
#537,9813,9207
#537,9435,9207
#537,9022,9207
#537,8799,9207
537,9267.25,9207,778.067
#644,11222,9207
#644,10483,9207
#644,9951,9207
#644,9694,9207
644,10337.5,9207,1169.18
#772,12509,9207
#772,12205,9207
#772,11542,9207
#772,11247,9207
772,11875.8,9207,1008.03
#926,18618,18423
#926,17783,18423
#926,17043,18423
#926,16534,18423
926,17494.5,18423,1572.23
#1111,20259,18423
#1111,19099,18423
#1111,18605,18423
#1111,18178,18423
1111,19035.2,18423,1556.16
#1333,21110,18423
#1333,20300,18423
#1333,19723,18423
#1333,19328,18423
1333,20115.2,18423,1340.63
#1599,23741,18423
#1599,23159,18423
#1599,22344,18423
#1599,21757,18423
1599,22750.2,18423,1516.66
#1918,35638,36855
#1918,34566,36855
#1918,33683,36855
#1918,33081,36855
1918,34242,36855,1927.22
#2301,39147,36855
#2301,38257,36855
#2301,36909,36855
#2301,36337,36855
2301,37662.5,36855,2209.5
#2761,42733,36855
#2761,41443,36855
#2761,40188,36855
#2761,39635,36855
2761,40999.8,36855,2392.09
#3313,48522,36855
#3313,47164,36855
#3313,46031,36855
#3313,45104,36855
3313,46705.2,36855,2555.32
#3975,76858,73719
#3975,75155,73719
#3975,73358,73719
#3975,72458,73719
3975,74457.2,73719,3384.64
#4770,82437,73719
#4770,80569,73719
#4770,78972,73719
#4770,102020,73719
4770,85999.5,73719,18660.8
#5724,94815,73719
#5724,93141,73719
#5724,91009,73719
#5724,90133,73719
5724,92274.5,73719,3659.57
#6868,101760,73719
#6868,100012,73719
#6868,98319,73719
#6868,97250,73719
6868,99335.2,73719,3423.22
#8241,173174,147447
#8241,158995,147447
#8241,157370,147447
#8241,156467,147447
8241,161502,147447,13599.5
#9889,193299,147447
#9889,191635,147447
#9889,190310,147447
#9889,189482,147447
9889,191182,147447,2887.44
#11866,200111,147447
#11866,196525,147447
#11866,195264,147447
#11866,194153,147447
11866,196513,147447,4480.55
#14239,214497,147447
#14239,212872,147447
#14239,211604,147447
#14239,211168,147447
14239,212535,147447,2588.14
#17086,408398,294903
#17086,397093,294903
#17086,394519,294903
#17086,392823,294903
17086,398208,294903,12152.6
#20503,404180,294903
#20503,403513,294903
#20503,402247,294903
#20503,429827,294903
20503,409942,294903,23003.5
#24603,417064,294903
#24603,412596,294903
#24603,405783,294903
#24603,417422,294903
24603,413216,294903,9387.83
#29523,652091,589815
#29523,822404,589815
#29523,833641,589815
#29523,808164,589815
29523,779075,589815,147736
#35427,831643,589815
#35427,702080,589815
#35427,752771,589815
#35427,923504,589815
35427,802500,589815,167477
#42512,1002489,589815
#42512,806977,589815
#42512,802320,589815
#42512,788878,589815
42512,850166,589815,176389
#51014,1156877,589815
#51014,1118337,589815
#51014,1109037,589815
#51014,1074816,589815
51014,1.11477e+06,589815,58437.3
#61216,1471233,1179639
#61216,1360565,1179639
#61216,1340962,1179639
#61216,1337294,1179639
61216,1.37751e+06,1179639,109655
#73459,1792285,1179639
#73459,1483620,1179639
#73459,1496667,1179639
#73459,1479159,1179639
73459,1.56293e+06,1179639,265146
#88150,2248155,1179639
#88150,2240308,1179639
#88150,2186120,1179639
#88150,2167307,1179639
88150,2.21047e+06,1179639,69039.4
#105780,2174695,1179639
#105780,1849150,1179639
#105780,1838979,1179639
#105780,1886381,1179639
105780,1.9373e+06,1179639,276381
#126936,3161323,2359287
#126936,2916780,2359287
#126936,2891752,2359287
#126936,2879849,2359287
126936,2.96243e+06,2359287,231208
#152323,4029989,2359287
#152323,4027219,2359287
#152323,3992181,2359287
#152323,3980668,2359287
152323,4.00751e+06,2359287,43002.6
#182787,4211661,2359287
#182787,3567498,2359287
#182787,3521007,2359287
#182787,3547796,2359287
182787,3.71199e+06,2359287,577913
#219344,4381560,2359287
#219344,4157398,2359287
#219344,4047096,2359287
#219344,3998926,2359287
219344,4.14624e+06,2359287,295010
#263212,6952496,4718583
#263212,8205782,4718583
#263212,8020285,4718583
#263212,8166053,4718583
263212,7.83615e+06,4718583,1.02967e+06
#315854,8664666,4718583
#315854,7098233,4718583
#315854,7012431,4718583
#315854,7117219,4718583
315854,7.47314e+06,4718583,1.37812e+06
#379024,9324371,4718583
#379024,7820215,4718583
#379024,8003621,4718583
#379024,7928792,4718583
379024,8.26925e+06,4718583,1.22531e+06
#454828,11029917,4718583
#454828,11020354,4718583
#454828,11083976,4718583
#454828,11167031,4718583
454828,1.10753e+07,4718583,116484
#545793,14965714,9437175
#545793,13928948,9437175
#545793,13853038,9437175
#545793,13925717,9437175
545793,1.41684e+07,9437175,922711
#654951,18605935,9437175
#654951,15655326,9437175
#654951,15676051,9437175
#654951,15739824,9437175
654951,1.64193e+07,9437175,2.5257e+06
#785941,21465176,9437175
#785941,21966216,9437175
#785941,21616088,9437175
#785941,21891091,9437175
785941,2.17346e+07,9437175,405918
#943129,28855629,18874359
#943129,27131683,18874359
