#1,1107,256
#1,340,256
#1,228,256
#1,133,256
1,452,256,770.393
#2,213,256
#2,176,256
#2,247,256
#2,266,256
2,225.5,256,68.6222
#3,286,256
#3,289,256
#3,352,256
#3,175,256
3,275.5,256,127.456
#4,413,256
#4,203,256
#4,136,256
#4,124,256
4,219,256,231.961
#5,202,256
#5,139,256
#5,217,256
#5,127,256
5,171.25,256,77.6965
#6,170,256
#6,169,256
#6,221,256
#6,362,256
6,230.5,256,157.56
#7,261,256
#7,197,256
#7,159,256
#7,234,256
7,212.75,256,76.9204
#8,187,256
#8,171,256
#8,170,256
#8,170,256
8,174.5,256,14.4568
#9,217,256
#9,196,256
#9,182,256
#9,184,256
9,194.75,256,27.8343
#10,212,256
#10,213,256
#10,253,256
#10,192,256
10,217.5,256,44.2832
#12,259,256
#12,214,256
#12,216,256
#12,204,256
12,223.25,256,42.27
#14,675,384
#14,553,384
#14,392,384
#14,365,384
14,496.25,384,251.529
#16,436,384
#16,393,384
#16,372,384
#16,379,384
16,395,384,49.6991
#19,522,384
#19,425,384
#19,385,384
#19,380,384
19,428,384,114.009
#22,466,384
#22,430,384
#22,531,384
#22,740,384
22,541.75,384,240.093
#26,1052,640
#26,1072,640
#26,732,640
#26,707,640
26,890.75,640,343.247
#31,991,640
#31,790,640
#31,802,640
#31,734,640
31,829.25,640,193.698
#37,1067,640
#37,835,640
#37,27457,640
#37,822,640
37,7545.25,640,22992.9
#44,3864,896
#44,1879,896
#44,1535,896
#44,1324,896
44,2150.5,896,2017.85
#52,2492,1152
#52,2393,1152
#52,2132,1152
#52,1981,1152
52,2249.5,1152,406.567
#62,2535,1152
#62,2203,1152
#62,2089,1152
#62,2032,1152
62,2214.75,1152,389.755
#74,3456,1408
#74,3312,1408
#74,4293,1408
#74,4047,1408
74,3777,1408,811.432
#88,4646,1536
#88,4168,1536
#88,3797,1536
#88,3684,1536
88,4073.75,1536,751.564
#105,7001,1792
#105,6415,1792
#105,5881,1792
#105,5710,1792
105,6251.75,1792,1009.44
#126,8686,1920
#126,8111,1920
#126,7321,1920
#126,7167,1920
126,7821.25,1920,1228.84
#151,12772,2176
#151,11303,2176
#151,10544,2176
#151,10165,2176
151,11196,2176,1995.82
#181,15389,2432
#181,14964,2432
#181,14045,2432
#181,13560,2432
181,14489.5,2432,1447.69
#217,21379,2816
#217,20589,2816
#217,19738,2816
#217,19383,2816
217,20272.2,2816,1549.65
#260,44494,3328
#260,31534,3328
#260,29875,3328
#260,29233,3328
260,33784,3328,12480.3
#312,46442,3840
#312,45457,3840
#312,44035,3840
#312,42838,3840
312,44693,3840,2741.66
#374,63390,4352
#374,61958,4352
#374,60350,4352
#374,58829,4352
374,61131.8,4352,3419.97
#448,94091,5120
#448,92228,5120
#448,90279,5120
#448,89232,5120
448,91457.5,5120,3724.34
#537,103675,6144
#537,101932,6144
#537,100091,6144
#537,119310,6144
537,106252,6144,15289.6
#644,144810,7168
#644,143435,7168
#644,141243,7168
#644,140109,7168
644,142399,7168,3669.69
#772,175021,8448
#772,172848,8448
#772,171601,8448
#772,170217,8448
772,172422,8448,3531.62
#926,247660,10112
#926,245565,10112
#926,245377,10112
#926,249451,10112
926,247013,10112,3337.01
#1111,279332,11648
#1111,295753,11648
#1111,283649,11648
#1111,282820,11648
1111,285388,11648,12398.7
#1333,371189,13952
#1333,353076,13952
#1333,351283,13952
#1333,350251,13952
1333,356450,13952,17139.1
#1599,470599,16768
#1599,499340,16768
#1599,493024,16768
#1599,495152,16768
1599,489529,16768,22325.6
#1918,643286,19968
#1918,641121,19968
#1918,643053,19968
#1918,642913,19968
1918,642593,19968,1720.77
#2301,763050,23808
#2301,758279,23808
#2301,756099,23808
#2301,755895,23808
2301,758331,23808,5760.87
#2761,952987,28416
#2761,956277,28416
#2761,948710,28416
#2761,948243,28416
2761,951554,28416,6588.72
#3313,1182069,33920
#3313,1177403,33920
#3313,1177630,33920
#3313,1180972,33920
3313,1.17952e+06,33920,4081.6
#3975,1389872,40320
#3975,1376316,40320
#3975,1378556,40320
#3975,1382684,40320
3975,1.38186e+06,40320,10321
#4770,1700134,47872
#4770,1705191,47872
#4770,1717099,47872
#4770,1732644,47872
4770,1.71377e+06,47872,25037
#5724,2112925,58368
#5724,2111740,58368
#5724,2110605,58368
#5724,2110153,58368
5724,2.11136e+06,58368,2149.52
#6868,2620576,69120
#6868,2607053,69120
#6868,2611188,69120
#6868,2687836,69120
6868,2.63166e+06,69120,65598.8
#8241,3273302,84096
#8241,3268920,84096
#8241,3094021,84096
#8241,3072009,84096
8241,3.17706e+06,84096,188764
#9889,3649293,99456
#9889,3647672,99456
#9889,3645517,99456
#9889,3739492,99456
9889,3.67049e+06,99456,79717.6
#11866,4699466,120960
#11866,4633314,120960
#11866,4632663,120960
#11866,4631519,120960
11866,4.64924e+06,120960,58009.6
#14239,5566058,142976
#14239,5552314,142976
#14239,5552981,142976
#14239,5553199,142976
14239,5.55614e+06,142976,11473.2
#17086,6848473,173440
#17086,6849719,173440
#17086,6855904,173440
#17086,6846504,173440
17086,6.85015e+06,173440,7028.51
#20503,8063205,204672
#20503,8059383,204672
#20503,8057473,204672
#20503,8064869,204672
20503,8.06123e+06,204672,5888.07
#24603,9974374,248320
#24603,9911787,248320
#24603,9916696,248320
#24603,9918938,248320
24603,9.93045e+06,248320,50983.6
#29523,11583860,292992
#29523,11439353,292992
#29523,12029099,292992
#29523,12661272,292992
29523,1.19284e+07,292992,951376
#35427,15705577,355200
#35427,15709244,355200
#35427,15704108,355200
#35427,15832133,355200
35427,1.57378e+07,355200,109030
#42512,19268661,430592
#42512,19270333,430592
#42512,19260277,430592
#42512,19331069,430592
42512,1.92826e+07,430592,56500.7
#51014,22862231,507904
#51014,22965860,507904
#51014,22920369,507904
#51014,22914763,507904
51014,2.29158e+07,507904,73468.3
#61216,26282024,615680
#61216,25784710,615680
#61216,25669914,615680
#61216,26614562,615680
61216,2.60878e+07,615680,762688
#73459,31879409,746496
#73459,30643177,746496
#73459,30599150,746496
#73459,30466695,746496
73459,3.08971e+07,746496,1.14168e+06
#88150,36319123,880128
#88150,36354841,880128
#88150,36151610,880128
#88150,36146770,880128
88150,3.62431e+07,880128,189514
#105780,43718268,1066624
#105780,43782544,1066624
#105780,43492393,1066624
#105780,43416795,1066624
105780,4.36025e+07,1066624,304020
#126936,52171231,1257600
#126936,51895857,1257600
#126936,51736214,1257600
#126936,51536155,1257600
126936,5.18349e+07,1257600,464566
#152323,63044894,1523840
#152323,62967030,1523840
#152323,62898923,1523840
#152323,62816792,1523840
152323,6.29319e+07,1523840,168342
#182787,76063356,1846272
#182787,76223396,1846272
#182787,75989292,1846272
#182787,76218901,1846272
182787,7.61237e+07,1846272,201766
#219344,90005045,2176512
#219344,90413218,2176512
#219344,90064651,2176512
#219344,89760718,2176512
219344,9.00609e+07,2176512,466231
#263212,108590315,2636928
#263212,111739579,2636928
#263212,109677629,2636928
#263212,109070789,2636928
263212,1.0977e+08,2636928,2.40173e+06
#315854,132221906,3195008
#315854,132000327,3195008
#315854,132184873,3195008
#315854,132143261,3195008
315854,1.32138e+08,3195008,167983
#379024,156352311,3766272
#379024,156412155,3766272
#379024,155717783,3766272
#379024,156038229,3766272
379024,1.5613e+08,3766272,554417
#454828,191412859,4562944
#454828,191999721,4562944
#454828,192216944,4562944
#454828,191950845,4562944
454828,1.91895e+08,4562944,591771
#545793,242196072,5528064
#545793,243259069,5528064
#545793,239360106,5528064
#545793,238877673,5528064
545793,2.40923e+08,5528064,3.70188e+06
#654951,286841744,6516096
#654951,289029275,6516096
#654951,289187230,6516096
#654951,288385594,6516096
654951,2.88361e+08,6516096,1.85418e+06
#785941,354499400,7894016
#785941,355164714,7894016
#785941,355035412,7894016
#785941,354968512,7894016
785941,3.54917e+08,7894016,502421
#943129,435662549,9563264
#943129,438392133,9563264
#943129,435240143,9563264
#943129,435631801,9563264
943129,4.36232e+08,9563264,2.51684e+06
#1131754,521034158,11272448
#1131754,527841583,11272448
#1131754,523401328,11272448
#1131754,524528398,11272448
1131754,5.24201e+08,11272448,4.90198e+06
#1358104,641492937,13656064
#1358104,648222683,13656064
#1358104,647934819,13656064
#1358104,647473969,13656064
1358104,6.46281e+08,13656064,5.55464e+06
#1629724,803111644,16543616
#1629724,805114783,16543616
#1629724,803359738,16543616
#1629724,803522996,16543616
1629724,8.03777e+08,16543616,1.57194e+06
#1955668,958684972,19499904
#1955668,964332172,19499904
#1955668,963819129,19499904
#1955668,962400118,19499904
1955668,9.62309e+08,19499904,4.41765e+06
#2346801,1183424880,23623040
#2346801,1193788777,23623040
#2346801,1189368157,23623040
#2346801,1267029468,23623040
2346801,1.2084e+09,23623040,6.80946e+07
#2816161,1439642781,27844352
#2816161,1443619911,27844352
#2816161,1442005329,27844352
#2816161,1441675491,27844352
2816161,1.44174e+09,27844352,2.82964e+06
#3379393,1760011382,33731584
#3379393,1770465336,33731584
#3379393,1772124174,33731584
#3379393,1768327036,33731584
3379393,1.76773e+09,33731584,9.31259e+06
#4055271,2173228593,40863744
#4055271,2166100996,40863744
#4055271,2175058458,40863744
#4055271,2175555892,40863744
4055271,2.17249e+09,40863744,7.57374e+06
#4866325,2663229958,48165632
#4866325,2662774598,48165632
#4866325,2624124824,48165632
#4866325,2614156772,48165632
4866325,2.64107e+09,48165632,4.44254e+07
#5839590,3202458091,58349184
#5839590,3204405766,58349184
#5839590,3211326937,58349184
#5839590,3203218166,58349184
5839590,3.20535e+09,58349184,7.03727e+06
#7007508,3897718446,70685824
#7007508,4003191450,70685824
#7007508,3927305085,70685824
#7007508,3921393869,70685824
7007508,3.9374e+09,70685824,7.9128e+07
#8409009,4696225449,83315968
#8409009,4736717342,83315968
#8409009,4774758648,83315968
#8409009,4740803663,83315968
8409009,4.73713e+09,83315968,5.57025e+07
