#1,1050,256
#1,189,256
#1,232,256
#1,103,256
#1,70,256
1,328.8,256,730.483
#2,1223,256
#2,88,256
#2,106,256
#2,114,256
#2,112,256
2,328.6,256,894.588
#3,122,256
#3,106,256
#3,95,256
#3,95,256
#3,94,256
3,102.4,256,21.4886
#4,158,256
#4,169,256
#4,103,256
#4,105,256
#4,105,256
4,128,256,58.4055
#5,125,256
#5,112,256
#5,112,256
#5,111,256
#5,113,256
5,114.6,256,10.4766
#6,122,256
#6,121,256
#6,1131,256
#6,122,256
#6,118,256
6,322.8,256,808.205
#7,130,256
#7,129,256
#7,128,256
#7,135,256
#7,128,256
7,130,256,5.21536
#8,212,256
#8,171,256
#8,1328,256
#8,137,256
#8,139,256
8,397.4,256,932.191
#9,159,256
#9,173,256
#9,155,256
#9,157,256
#9,146,256
9,158,256,17.4356
#10,165,256
#10,155,256
#10,158,256
#10,1063,256
#10,157,256
10,339.6,256,723.431
#11,195,256
#11,183,256
#11,164,256
#11,167,256
#11,168,256
11,175.4,256,23.6169
#12,208,256
#12,187,256
#12,188,256
#12,180,256
#12,257,256
12,204,256,56.1854
#13,502,384
#13,366,384
#13,386,384
#13,329,384
#13,1329,384
13,582.4,384,755.507
#14,451,384
#14,364,384
#14,336,384
#14,383,384
#14,1328,384
14,572.4,384,759.398
#15,439,384
#15,412,384
#15,369,384
#15,410,384
#15,1256,384
15,577.2,384,680.272
#16,397,384
#16,354,384
#16,393,384
#16,441,384
#16,1308,384
16,578.6,384,731.48
#17,387,384
#17,380,384
#17,370,384
#17,369,384
#17,367,384
17,374.6,384,15.3154
#18,442,384
#18,368,384
#18,2068,384
#18,654,384
#18,496,384
18,805.6,384,1276.3
#19,495,384
#19,626,384
#19,530,384
#19,413,384
#19,421,384
19,497,384,156.374
#20,516,384
#20,471,384
#20,429,384
#20,406,384
#20,477,384
20,459.8,384,77.06
#21,505,384
#21,469,384
#21,438,384
#21,444,384
#21,427,384
21,456.6,384,55.6934
#22,519,384
#22,450,384
#22,484,384
#22,446,384
#22,446,384
22,469,384,57.5778
#23,596,384
#23,543,384
#23,497,384
#23,467,384
#23,468,384
23,514.2,384,98.7068
#24,517,384
#24,465,384
#24,460,384
#24,466,384
#24,467,384
24,475,384,42.2753
#25,771,384
#25,490,384
#25,494,384
#25,484,384
#25,486,384
25,545,384,226.104
#26,1060,640
#26,1064,640
#26,945,640
#26,844,640
#26,2275,640
26,1237.6,640,1050.11
#27,1063,640
#27,939,640
#27,852,640
#27,803,640
#27,721,640
27,875.6,640,234.721
#28,871,640
#28,751,640
#28,786,640
#28,749,640
#28,748,640
28,781,640,94.3949
#29,964,640
#29,796,640
#29,741,640
