#1,1452,256
#1,387,256
#1,102,256
#1,155,256
1,524,256,1092.79
#2,267,256
#2,258,256
#2,283,256
#2,319,256
2,281.75,256,46.5913
#3,493,256
#3,253,256
#3,193,256
#3,168,256
3,276.75,256,257.233
#4,323,256
#4,322,256
#4,260,256
#4,176,256
4,270.25,256,120.203
#5,479,256
#5,303,256
#5,194,256
#5,206,256
5,295.5,256,228.125
#6,248,256
#6,200,256
#6,161,256
#6,185,256
6,198.5,256,63.5689
#7,172,256
#7,427,256
#7,231,256
#7,148,256
7,244.5,256,219.219
#8,186,256
#8,178,256
#8,158,256
#8,163,256
8,171.25,256,22.5111
#9,200,256
#9,165,256
#9,161,256
#9,157,256
9,170.75,256,34.2454
#10,277,256
#10,252,256
#10,243,256
#10,214,256
10,246.5,256,45.0444
#12,256,256
#12,223,256
#12,234,256
#12,209,256
12,230.5,256,34.3657
#14,1780,384
#14,1037,384
#14,906,384
#14,645,384
14,1092,384,843.074
#16,997,384
#16,715,384
#16,635,384
#16,638,384
16,746.25,384,296.558
#19,935,384
#19,731,384
#19,764,384
#19,916,384
19,836.5,384,180.025
#22,1053,384
#22,837,384
#22,717,384
#22,712,384
22,829.75,384,276.533
#26,2266,640
#26,1656,640
#26,1302,640
#26,1240,640
26,1616,640,814.906
#31,1976,640
#31,1566,640
#31,1556,640
#31,1248,640
31,1586.5,640,517.342
#37,1840,640
#37,1425,640
#37,1246,640
#37,1517,640
37,1507,640,431.085
#44,5816,896
#44,3016,896
#44,2414,896
#44,14667,896
44,6478.25,896,9797.93
#52,4873,1152
#52,4086,1152
#52,3136,1152
#52,2934,1152
52,3757.25,1152,1554.56
#62,4961,1152
#62,3726,1152
#62,3225,1152
#62,3014,1152
62,3731.5,1152,1510.98
#74,29862,1408
#74,6460,1408
#74,5204,1408
#74,4669,1408
74,11548.8,1408,21186.3
#88,8582,1536
#88,19396,1536
#88,5632,1536
#88,5228,1536
88,9709.5,1536,11480.8
#105,12405,1792
#105,11287,1792
#105,10027,1792
#105,8905,1792
105,10656,1792,2630.36
#126,14137,1920
#126,12292,1920
#126,10941,1920
#126,10123,1920
126,11873.2,1920,3038.48
#151,16708,2176
#151,15071,2176
#151,13354,2176
#151,11938,2176
151,14267.8,2176,3586.46
#181,21892,2688
#181,20331,2688
#181,18886,2688
#181,17618,2688
181,19681.8,2688,3193.59
#217,24736,2944
#217,23569,2944
#217,22004,2944
#217,20693,2944
217,22750.5,2944,3066.39
#260,33938,3584
#260,32092,3584
#260,30111,3584
#260,28597,3584
260,31184.5,3584,4031.49
#312,36657,3968
#312,35506,3968
#312,34189,3968
#312,32267,3968
312,34654.8,3968,3263.73
#374,47204,4736
#374,45919,4736
#374,43620,4736
#374,56360,4736
374,48275.8,4736,9681.63
#448,55351,5248
#448,53665,5248
#448,51290,5248
#448,49824,5248
448,52532.5,5248,4255.15
#537,69870,6400
#537,68523,6400
#537,66653,6400
#537,64307,6400
537,67338.2,6400,4179.88
#644,86762,7808
#644,84402,7808
#644,82888,7808
#644,81655,7808
644,83926.8,7808,3808.46
#772,103757,8576
#772,101953,8576
#772,99660,8576
#772,98269,8576
772,100910,8576,4210.78
#926,125978,10368
#926,124480,10368
#926,122960,10368
#926,121307,10368
926,123681,10368,3474.24
#1111,156233,12544
#1111,154549,12544
#1111,152860,12544
#1111,152250,12544
1111,153973,12544,3105.94
#1333,191876,15232
#1333,192333,15232
#1333,188409,15232
#1333,195660,15232
1333,192070,15232,5137.88
#1599,242729,18432
#1599,247818,18432
#1599,243410,18432
#1599,242642,18432
1599,244150,18432,4277.28
#1918,277864,20224
#1918,282227,20224
#1918,267277,20224
#1918,267613,20224
1918,273745,20224,12974.9
#2301,324347,24448
#2301,322701,24448
