#1,1161,256
#1,502,256
#1,266,256
#1,159,256
1,522,256,778.477
#2,201,256
#2,248,256
#2,179,256
#2,325,256
2,238.25,256,111.887
#3,295,256
#3,287,256
#3,285,256
#3,181,256
3,262,256,93.8296
#4,343,256
#4,327,256
#4,294,256
#4,213,256
4,294.25,256,100.253
#5,484,256
#5,265,256
#5,273,256
#5,142,256
5,291,256,245.866
#6,349,256
#6,233,256
#6,174,256
#6,181,256
6,234.25,256,140.124
#7,270,256
#7,174,256
#7,168,256
#7,163,256
7,193.75,256,88.3898
#8,184,256
#8,182,256
#8,187,256
#8,180,256
8,183.25,256,5.17204
#9,192,256
#9,189,256
#9,296,256
#9,204,256
9,220.25,256,88.1859
#10,222,256
#10,204,256
#10,205,256
#10,233,256
10,216,256,24.2899
#12,249,256
#12,543,256
#12,281,256
#12,222,256
12,323.75,256,256.591
#14,1683,384
#14,1109,384
#14,795,384
#14,708,384
14,1073.75,384,764.135
#16,1093,384
#16,904,384
#16,676,384
#16,679,384
16,838,384,347.715
#19,991,384
#19,815,384
#19,729,384
#19,757,384
19,823,384,203.666
#22,1018,384
#22,1034,384
#22,790,384
#22,908,384
22,937.5,384,196.008
#26,1326,384
#26,1026,384
#26,847,384
#26,793,384
26,998,384,416.166
#31,2344,640
#31,1849,640
#31,1400,640
#31,1278,640
31,1717.75,640,838.904
#37,2270,640
#37,1778,640
#37,1431,640
#37,1356,640
37,1708.75,640,722.063
#44,6215,896
#44,3291,896
#44,2504,896
#44,2239,896
44,3562.25,896,3159.36
#52,3788,896
#52,2809,896
#52,2325,896
#52,2261,896
52,2795.75,896,1221.6
#62,5347,1152
#62,4249,1152
#62,3422,1152
#62,3159,1152
62,4044.25,1152,1705.86
#74,7107,1408
#74,5694,1408
#74,4688,1408
#74,4165,1408
74,5413.5,1408,2243.15
#88,8887,1664
#88,7671,1664
#88,6440,1664
#88,5786,1664
88,7196,1664,2375.87
#105,11415,1920
#105,9995,1920
#105,8785,1920
#105,7759,1920
105,9488.5,1920,2730.21
#126,14915,2432
#126,13388,2432
#126,11385,2432
#126,10658,2432
126,12586.5,2432,3350.68
#151,20606,2944
#151,18494,2944
#151,16459,2944
#151,14909,2944
151,17617,2944,4286.9
#181,25948,3456
#181,23613,3456
#181,21456,3456
#181,20009,3456
181,22756.5,3456,4489.91
#217,31621,3968
#217,42906,3968
#217,28068,3968
#217,27739,3968
217,32583.5,3968,12302
#260,50411,4992
#260,48419,4992
#260,45410,4992
#260,43994,4992
260,47058.5,4992,5019.85
#312,60583,5504
#312,59002,5504
#312,55719,5504
#312,53782,5504
312,57271.5,5504,5342.99
#374,84363,6144
#374,81095,6144
#374,78629,6144
#374,76771,6144
374,80214.5,6144,5688.31
#448,118057,6784
#448,101616,6784
#448,99728,6784
#448,98635,6784
448,104509,6784,15788.6
#537,139815,7680
#537,138900,7680
#537,136161,7680
#537,140158,7680
537,138758,7680,3137.17
#644,210109,8704
#644,194605,8704
#644,192188,8704
#644,222421,8704
644,204831,8704,24529.2
#772,305988,9856
#772,269128,9856
#772,267694,9856
#772,266141,9856
772,277238,9856,33265.1
#926,362076,11392
#926,360668,11392
#926,359801,11392
#926,359272,11392
926,360454,11392,2121.37
#1111,492005,13056
#1111,486859,13056
#1111,485285,13056
#1111,522837,13056
1111,496746,13056,30534
#1333,707639,15360
#1333,692593,15360
#1333,656059,15360
#1333,743850,15360
1333,700035,15360,62982.9
#1599,814459,17664
#1599,840367,17664
#1599,848266,17664
#1599,854005,17664
1599,839274,17664,30246.3
#1918,1049428,20736
#1918,1076314,20736
#1918,1042506,20736
#1918,1061924,20736
1918,1.05754e+06,20736,25758.7
#2301,1256117,24320
#2301,1329502,24320
#2301,1293459,24320
#2301,1271623,24320
2301,1.28768e+06,24320,55104.7
#2761,1663236,28928
#2761,1669085,28928
#2761,1664719,28928
#2761,1667839,28928
2761,1.66622e+06,28928,4688.99
#3313,2029589,33920
#3313,2054513,33920
#3313,2047325,33920
#3313,2050558,33920
3313,2.0455e+06,33920,19060.6
#3975,2567382,40320
#3975,2573239,40320
