#1,952,256
#1,220,256
#1,293,256
#1,100,256
#1,287,256
1,370.4,256,597.957
#2,162,256
#2,494,256
#2,225,256
#2,123,256
#2,121,256
2,225,256,279.356
#3,192,256
#3,151,256
#3,281,256
#3,168,256
#3,142,256
3,186.8,256,100.171
#4,154,256
#4,171,256
#4,137,256
#4,217,256
#4,213,256
4,178.4,256,63.5685
#5,201,256
#5,244,256
#5,217,256
#5,459,256
#5,200,256
5,264.2,256,197.38
#6,225,256
#6,175,256
#6,161,256
#6,156,256
#6,153,256
6,174,256,53.1865
#7,188,256
#7,169,256
#7,175,256
#7,152,256
#7,220,256
7,180.8,256,45.5263
#8,242,256
#8,213,256
#8,190,256
#8,184,256
#8,252,256
8,216.2,256,54.2645
#9,224,256
#9,274,256
#9,324,256
#9,406,256
#9,226,256
9,290.8,256,136.578
#10,237,256
#10,199,256
#10,193,256
#10,193,256
#10,191,256
10,202.6,256,34.8161
#11,223,256
#11,216,256
#11,198,256
#11,241,256
#11,217,256
11,219,256,27.6261
#12,232,256
#12,209,256
#12,208,256
#12,209,256
#12,213,256
12,214.2,256,18.1284
#13,522,384
#13,496,384
#13,505,384
#13,357,384
#13,353,384
13,446.6,384,150.533
#14,419,384
#14,353,384
#14,345,384
#14,343,384
#14,341,384
14,360.2,384,59.3619
#15,558,384
#15,371,384
#15,352,384
#15,360,384
#15,361,384
15,400.4,384,158.061
#16,402,384
#16,362,384
#16,367,384
#16,448,384
#16,370,384
16,389.8,384,64.6269
#17,375,384
#17,377,384
#17,369,384
#17,386,384
#17,366,384
17,374.6,384,13.891
#18,399,384
#18,464,384
#18,396,384
#18,384,384
#18,385,384
18,405.6,384,59.5799
#19,412,384
#19,403,384
#19,384,384
#19,393,384
#19,481,384
19,414.6,384,69.0113
#20,414,384
#20,392,384
#20,395,384
#20,395,384
#20,392,384
20,397.6,384,16.6181
#21,425,384
#21,411,384
#21,487,384
#21,408,384
#21,413,384
21,428.8,384,59.335
#22,473,384
#22,462,384
#22,416,384
#22,426,384
#22,448,384
22,445,384,42.7458
#23,752,384
#23,622,384
#23,444,384
#23,413,384
#23,391,384
23,524.4,384,279.996
#24,587,384
#24,482,384
#24,472,384
#24,452,384
#24,419,384
24,482.4,384,113.113
#25,876,640
#25,798,640
#25,747,640
#25,726,640
#25,911,640
25,811.6,640,143.424
#26,816,640
#26,735,640
#26,738,640
#26,700,640
#26,698,640
26,737.4,640,85.4878
#27,792,640
#27,672,640
#27,648,640
#27,650,640
#27,650,640
27,682.4,640,111.007
#28,750,640
#28,680,640
#28,679,640
#28,642,640
#28,734,640
28,697,640,79.0746
#29,814,640
#29,840,640
#29,775,640
#29,800,640
#29,761,640
29,798,640,56.0143
#30,778,640
#30,711,640
#30,697,640
#30,681,640
#30,704,640
30,714.2,640,66.8299
#31,826,640
#31,802,640
#31,690,640
#31,690,640
#31,676,640
31,736.8,640,127.389
#32,791,640
#32,790,640
