#1,107,9
#1,130,9
#1,55,9
#1,50,9
#1,54,9
1,79.2,9,65.8896
#2,116,27
#2,63,27
#2,56,27
#2,54,27
#2,55,27
2,68.8,27,47.6218
#3,129,27
#3,66,27
#3,63,27
#3,66,27
#3,62,27
3,77.2,27,51.8984
#4,108,63
#4,82,63
#4,65,63
#4,65,63
#4,65,63
4,77,63,33.6809
#5,99,63
#5,85,63
#5,70,63
#5,73,63
#5,70,63
5,79.4,63,22.5069
#6,90,63
#6,85,63
#6,74,63
#6,72,63
#6,69,63
6,78,63,16.1493
#7,77,63
#7,84,63
#7,83,63
#7,82,63
#7,83,63
7,81.8,63,4.96387
#8,90,135
#8,100,135
#8,82,135
#8,81,135
#8,82,135
8,87,135,14.5327
#9,108,135
#9,90,135
#9,83,135
#9,86,135
#9,83,135
9,90,135,18.719
#10,186,135
#10,145,135
#10,99,135
#10,99,135
#10,99,135
10,125.6,135,70.1267
#11,169,135
#11,160,135
#11,96,135
#11,95,135
#11,96,135
11,123.2,135,67.6863
#12,117,135
#12,119,135
#12,97,135
#12,96,135
#12,99,135
12,105.6,135,20.3804
#13,122,135
#13,125,135
#13,108,135
#13,111,135
#13,112,135
13,115.6,135,13.3026
#14,138,135
#14,143,135
#14,128,135
#14,126,135
#14,126,135
14,132.2,135,13.9943
#15,144,279
#15,148,279
#15,153,279
#15,116,279
#15,120,279
15,136.2,279,30.3684
#16,144,279
#16,159,279
#16,135,279
#16,123,279
#16,122,279
16,136.6,279,27.6724
#17,163,279
#17,176,279
#17,173,279
#17,125,279
#17,126,279
17,152.6,279,45.0884
#18,128,279
#18,159,279
#18,162,279
#18,165,279
#18,129,279
18,148.6,279,33.0478
#19,213,279
#19,234,279
#19,200,279
#19,194,279
#19,154,279
19,199,279,52.7029
#20,190,279
#20,218,279
#20,196,279
#20,175,279
#20,177,279
20,191.2,279,31.0715
#21,226,279
#21,244,279
#21,244,279
#21,161,279
#21,142,279
21,203.4,279,86.6035
#22,175,279
#22,189,279
#22,172,279
#22,149,279
#22,148,279
22,166.6,279,31.7137
#23,199,279
#23,220,279
#23,222,279
#23,169,279
#23,166,279
23,195.2,279,48.0566
#24,206,279
#24,248,279
#24,237,279
#24,189,279
#24,158,279
24,207.6,279,65.1472
#25,288,279
#25,259,279
#25,225,279
#25,193,279
#25,179,279
25,228.8,279,80.9583
#26,412,279
#26,298,279
#26,254,279
#26,229,279
#26,187,279
26,276,279,153.867
#27,368,279
#27,325,279
#27,241,279
#27,181,279
#27,182,279
27,259.4,279,151.19
#28,489,279
#28,258,279
#28,243,279
#28,207,279
#28,204,279
28,280.2,279,212.864
#29,255,567
#29,278,567
#29,224,567
#29,198,567
#29,178,567
29,226.6,567,72.8571
#30,303,567
#30,235,567
#30,230,567
#30,212,567
#30,208,567
30,237.6,567,68.546
#31,266,567
#31,295,567
#31,228,567
#31,197,567
#31,195,567
31,236.2,567,78.2141
#32,244,567
#32,224,567
#32,219,567
#32,193,567
#32,191,567
32,214.2,567,39.948
#33,346,567
#33,323,567
#33,274,567
#33,224,567
#33,200,567
33,273.4,567,111.568
#34,185,567
#34,247,567
#34,243,567
#34,243,567
#34,209,567
34,225.4,567,48.8852
#35,271,567
#35,248,567
#35,220,567
#35,204,567
#35,200,567
35,228.6,567,54.1937
#36,267,567
#36,229,567
#36,203,567
#36,208,567
#36,209,567
36,223.2,567,47.2677
#37,200,567
#37,239,567
#37,232,567
#37,237,567
#37,216,567
37,224.8,567,29.5946
#38,250,567
#38,254,567
#38,237,567
#38,216,567
#38,210,567
38,233.4,567,35.3633
#39,306,567
#39,303,567
#39,271,567
#39,255,567
#39,230,567
39,273,567,57.7304
#40,331,567
#40,496,567
#40,490,567
#40,414,567
#40,334,567
40,413,567,143.622
#41,470,567
#41,509,567
#41,395,567
#41,404,567
#41,373,567
41,430.2,567,101.944
#42,429,567
#42,460,567
#42,490,567
#42,359,567
#42,437,567
42,435,567,87.0218
#43,405,567
#43,529,567
#43,432,567
#43,449,567
#43,430,567
43,449,567,84.7868
#44,340,567
#44,337,567
#44,313,567
#44,262,567
#44,271,567
44,304.6,567,65.2209
#45,416,567
#45,371,567
#45,352,567
#45,254,567
#45,249,567
45,328.4,567,132.318
#46,282,567
#46,289,567
#46,294,567
#46,305,567
#46,276,567
46,289.2,567,19.976
#47,363,567
#47,361,567
#47,303,567
#47,262,567
#47,259,567
47,309.6,567,91.0525
#48,475,567
#48,400,567
#48,369,567
#48,302,567
#48,277,567
48,364.6,567,141.572
#49,591,567
#49,469,567
#49,350,567
#49,295,567
#49,284,567
49,397.8,567,233.579
#50,663,567
#50,623,567
#50,512,567
#50,505,567
#50,461,567
50,552.8,567,153.49
#51,1104,567
#51,879,567
#51,663,567
#51,523,567
#51,571,567
51,748,567,431.811
#52,700,567
#52,627,567
#52,509,567
#52,531,567
#52,503,567
52,574,567,154.402
#53,827,567
#53,551,567
#53,357,567
#53,360,567
#53,358,567
53,490.6,567,368.023
#54,638,567
#54,583,567
#54,707,567
#54,460,567
#54,483,567
54,574.2,567,185.78
#55,1169,567
#55,734,567
#55,531,567
#55,449,567
#55,449,567
55,666.4,567,544.085
#56,896,567
#56,570,567
#56,442,567
#56,408,567
#56,389,567
56,541,567,376.786
#57,432,1143
#57,442,1143
#57,425,1143
#57,303,1143
#57,305,1143
57,381.4,1143,126.861
#58,420,1143
#58,414,1143
#58,329,1143
#58,310,1143
#58,314,1143
58,357.4,1143,98.221
#59,403,1143
#59,411,1143
#59,371,1143
#59,355,1143
#59,355,1143
59,379,1143,47.4637
#60,343,1143
#60,380,1143
#60,376,1143
#60,337,1143
#60,328,1143
60,352.8,1143,42.3207
#61,481,1143
#61,443,1143
#61,420,1143
#61,323,1143
#61,327,1143
61,398.8,1143,126.683
#62,336,1143
#62,369,1143
#62,364,1143
#62,336,1143
#62,327,1143
62,346.4,1143,33.6238
#63,472,1143
#63,421,1143
#63,416,1143
#63,364,1143
#63,342,1143
63,403,1143,91.6341
#64,498,1143
#64,465,1143
#64,405,1143
#64,340,1143
#64,346,1143
64,410.8,1143,125.815
#65,389,1143
#65,379,1143
#65,378,1143
#65,385,1143
#65,363,1143
65,378.8,1143,17.7268
#66,411,1143
#66,397,1143
#66,387,1143
#66,375,1143
#66,341,1143
66,382.2,1143,47.5041
#67,530,1143
#67,622,1143
#67,593,1143
#67,612,1143
#67,512,1143
67,573.8,1143,88.944
#68,734,1143
#68,699,1143
#68,616,1143
#68,644,1143
#68,496,1143
68,637.8,1143,164.002
#69,870,1143
#69,829,1143
#69,743,1143
#69,676,1143
#69,371,1143
