#1,218,9
#1,32,9
#1,22,9
#1,21,9
1,73.25,9,167.364
#2,49,27
#2,26,27
#2,27,27
#2,27,27
2,32.25,27,19.3585
#3,38,27
#3,31,27
#3,27,27
#3,26,27
3,30.5,27,9.43398
#4,35,63
#4,39,63
#4,32,63
#4,27,63
4,33.25,63,8.76071
#5,36,63
#5,37,63
#5,36,63
#5,37,63
5,36.5,63,1
#6,43,63
#6,40,63
#6,33,63
#6,33,63
6,37.25,63,8.76071
#7,53,63
#7,39,63
#7,36,63
#7,35,63
7,40.75,63,14.4482
#8,64,135
#8,40,135
#8,40,135
#8,40,135
8,46,135,20.7846
#9,59,135
#9,45,135
#9,43,135
#9,42,135
9,47.25,135,13.7386
#10,61,135
#10,51,135
#10,44,135
#10,45,135
10,50.25,135,13.5185
#12,106,135
#12,80,135
#12,53,135
#12,52,135
12,72.75,135,44.4831
#14,95,135
#14,63,135
#14,57,135
#14,58,135
14,68.25,135,31.221
#16,90,279
#16,89,279
#16,80,279
#16,63,279
16,80.5,279,21.6564
#19,104,279
#19,103,279
#19,84,279
#19,69,279
19,90,279,29.0172
#22,104,279
#22,99,279
#22,87,279
#22,72,279
22,90.5,279,24.6779
#26,157,279
#26,147,279
#26,129,279
#26,81,279
26,128.5,279,58.4038
#31,129,567
#31,152,567
#31,144,567
#31,97,567
31,130.5,567,42.0595
#37,214,567
#37,204,567
#37,166,567
#37,124,567
37,177,567,70.9084
#44,164,567
#44,138,567
#44,134,567
#44,126,567
44,140.5,567,28.4781
#52,472,567
#52,456,567
#52,260,567
#52,187,567
52,343.75,567,246.237
#62,210,1143
#62,206,1143
#62,195,1143
#62,175,1143
62,196.5,1143,27.1477
#74,281,1143
#74,271,1143
#74,217,1143
#74,203,1143
74,243,1143,67.1118
#88,373,1143
#88,405,1143
#88,261,1143
#88,252,1143
88,322.75,1143,134.569
#105,448,1143
#105,406,1143
#105,305,1143
#105,282,1143
105,360.25,1143,137.727
#126,455,2295
#126,446,2295
#126,362,2295
#126,338,2295
126,400.25,2295,102.121
#151,608,2295
#151,551,2295
#151,440,2295
#151,415,2295
151,503.5,2295,158.243
#181,802,2295
#181,738,2295
#181,544,2295
#181,466,2295
181,637.5,2295,274.436
#217,2300,2295
#217,1858,2295
#217,1143,2295
#217,818,2295
217,1529.75,2295,1164.99
#260,869,4599
#260,837,4599
#260,707,4599
#260,672,4599
260,771.25,4599,166.903
#312,1359,4599
#312,1986,4599
#312,1243,4599
#312,1125,4599
312,1428.25,4599,664.95
#374,1703,4599
#374,1431,4599
#374,1039,4599
#374,933,4599
374,1276.5,4599,616.58
#448,5785,4599
#448,4482,4599
#448,3012,4599
#448,2335,4599
448,3903.5,4599,2670.14
#537,1823,9207
#537,1652,9207
#537,1462,9207
#537,1415,9207
537,1588,9207,324.231
#644,2679,9207
#644,2297,9207
#644,1757,9207
#644,1657,9207
644,2097.5,9207,829.411
#772,3806,9207
#772,2956,9207
#772,2237,9207
#772,2003,9207
772,2750.5,9207,1406.68
#926,2907,18423
#926,2685,18423
#926,2494,18423
#926,2419,18423
926,2626.25,18423,377.776
#1111,3558,18423
#1111,3555,18423
#1111,3209,18423
#1111,3032,18423
1111,3338.5,18423,453.613
#1333,5088,18423
#1333,4467,18423
#1333,3648,18423
#1333,3665,18423
1333,4217,18423,1204
#1599,10366,18423
#1599,9051,18423
#1599,6796,18423
#1599,5851,18423
1599,8016,18423,3573.42
#1918,5735,36855
#1918,5818,36855
#1918,5448,36855
#1918,5243,36855
1918,5561,36855,458.495
#2301,7677,36855
#2301,7645,36855
#2301,6711,36855
#2301,6442,36855
2301,7118.75,36855,1101.29
#2761,15885,36855
#2761,10616,36855
#2761,8875,36855
#2761,8303,36855
2761,10919.8,36855,5981.17
#3313,25983,36855
#3313,24675,36855
#3313,22130,36855
#3313,20673,36855
3313,23365.2,36855,4164.39
#3975,16597,73719
#3975,15114,73719
#3975,10999,73719
#3975,10667,73719
3975,13344.2,73719,5136.17
#4770,15035,73719
#4770,14798,73719
#4770,13784,73719
#4770,13387,73719
4770,14251,73719,1370.57
#5724,25282,73719
#5724,24718,73719
#5724,22498,73719
#5724,20380,73719
5724,23219.5,73719,3883.65
#6868,67362,73719
#6868,65857,73719
#6868,63370,73719
#6868,61205,73719
6868,64448.5,73719,4707
#8241,45032,147447
#8241,38252,147447
#8241,35189,147447
#8241,36534,147447
8241,38751.8,147447,7569.87
#9889,34912,147447
#9889,34351,147447
#9889,32696,147447
#9889,37723,147447
9889,34920.5,147447,3623.09
#11866,62480,147447
#11866,61889,147447
#11866,61731,147447
#11866,64197,147447
11866,62574.2,147447,1955.21
#14239,186784,147447
#14239,184814,147447
#14239,184753,147447
#14239,180327,147447
14239,184170,147447,4728.24
#17086,52689,294903
#17086,52960,294903
#17086,51647,294903
#17086,51280,294903
17086,52144,294903,1398.71
#20503,104725,294903
#20503,80409,294903
#20503,102308,294903
#20503,72963,294903
20503,90101.2,294903,27395.6
#24603,194942,294903
#24603,146648,294903
#24603,144398,294903
#24603,180233,294903
24603,166555,294903,43360.5
#29523,158644,589815
#29523,188492,589815
#29523,149970,589815
#29523,139236,589815
29523,159086,589815,36633.8
#35427,159944,589815
#35427,188984,589815
#35427,129125,589815
#35427,127122,589815
35427,151294,589815,50706.1
#42512,200910,589815
#42512,186994,589815
#42512,196047,589815
#42512,175910,589815
42512,189965,589815,19056.6
#51014,391034,589815
#51014,371138,589815
#51014,360888,589815
#51014,361806,589815
51014,371216,589815,24248.2
#61216,328957,1179639
#61216,284296,1179639
#61216,265521,1179639
#61216,400209,1179639
61216,319746,1179639,103712
#73459,343983,1179639
#73459,392672,1179639
#73459,286620,1179639
#73459,275598,1179639
73459,324718,1179639,94091
#88150,689389,1179639
#88150,698650,1179639
#88150,726749,1179639
#88150,906660,1179639
88150,755362,1179639,176857
#105780,992127,1179639
#105780,997661,1179639
#105780,1000493,1179639
#105780,1030059,1179639
105780,1.00508e+06,1179639,29458.7
#126936,683981,2359287
#126936,635561,2359287
#126936,534453,2359287
#126936,524854,2359287
126936,594712,2359287,134718
#152323,760013,2359287
#152323,730310,2359287
#152323,643502,2359287
#152323,669404,2359287
152323,700807,2359287,92982.7
#182787,1084023,2359287
#182787,1089385,2359287
#182787,1098003,2359287
#182787,1134778,2359287
182787,1.10155e+06,2359287,39646.7
#219344,2735922,2359287
#219344,2719719,2359287
#219344,2764271,2359287
#219344,2654144,2359287
219344,2.71851e+06,2359287,80880.7
#263212,1929754,4718583
#263212,2155346,4718583
#263212,2516534,4718583
#263212,1932655,4718583
263212,2.13357e+06,4718583,478585
#315854,2003952,4718583
#315854,2072677,4718583
#315854,2032091,4718583
#315854,2036692,4718583
315854,2.03635e+06,4718583,48862.4
#379024,2594164,4718583
#379024,2541391,4718583
#379024,2418594,4718583
#379024,2447982,4718583
379024,2.50053e+06,4718583,141109
#454828,7349264,4718583
#454828,7003223,4718583
#454828,8607289,4718583
#454828,7416066,4718583
454828,7.59396e+06,4718583,1.21133e+06
#545793,3499050,9437175
#545793,3208709,9437175
#545793,2653714,9437175
#545793,2507607,9437175
545793,2.96727e+06,9437175,806654
#654951,4437354,9437175
#654951,4095873,9437175
#654951,3821048,9437175
#654951,3678435,9437175
654951,4.00818e+06,9437175,579336
#785941,17307114,9437175
#785941,14487410,9437175
#785941,16106229,9437175
#785941,8838549,9437175
785941,1.41848e+07,9437175,6.48958e+06
#943129,7922349,18874359
#943129,6843004,18874359
#943129,6380149,18874359
#943129,6281468,18874359
943129,6.85674e+06,18874359,1.30146e+06
#1131754,9701850,18874359
#1131754,8537030,18874359
#1131754,8844267,18874359
#1131754,10210433,18874359
1131754,9.3234e+06,18874359,1.33342e+06
#1358104,15394011,18874359
#1358104,14497111,18874359
#1358104,13048968,18874359
#1358104,12005371,18874359
1358104,1.37364e+07,18874359,2.60679e+06
#1629724,18555861,18874359
#1629724,21365326,18874359
#1629724,22013591,18874359
#1629724,19171577,18874359
1629724,2.02766e+07,18874359,2.8956e+06
#1955668,15264648,37748727
#1955668,19891293,37748727
#1955668,14496305,37748727
#1955668,19852553,37748727
1955668,1.73762e+07,37748727,5.021e+06
#2346801,24636155,37748727
#2346801,21115980,37748727
#2346801,24007519,37748727
#2346801,23902290,37748727
2346801,2.34155e+07,37748727,2.7139e+06
#2816161,32641636,37748727
#2816161,33555054,37748727
#2816161,32208393,37748727
#2816161,31607043,37748727
2816161,3.2503e+07,37748727,1.41971e+06
#3379393,46407547,37748727
#3379393,46210449,37748727
#3379393,45697411,37748727
#3379393,46150560,37748727
3379393,4.61165e+07,37748727,519933
#4055271,53222810,75497463
#4055271,55161886,75497463
#4055271,54476669,75497463
#4055271,53602632,75497463
4055271,5.4116e+07,75497463,1.51172e+06
#4866325,65393876,75497463
#4866325,64990036,75497463
#4866325,65863246,75497463
#4866325,65443442,75497463
4866325,6.54226e+07,75497463,618498
#5839590,86473331,75497463
#5839590,87705664,75497463
#5839590,85218775,75497463
#5839590,85065128,75497463
5839590,8.61157e+07,75497463,2.13637e+06
#7007508,152498089,75497463
#7007508,147097562,75497463
#7007508,150182056,75497463
#7007508,160380866,75497463
7007508,1.5254e+08,75497463,9.83163e+06
#8409009,158991872,150994935
#8409009,151786523,150994935
#8409009,152432616,150994935
#8409009,155744347,150994935
8409009,1.54739e+08,150994935,5.75623e+06
