#1,228,256
#1,78,256
#1,25,256
#1,24,256
1,88.75,256,166.622
#2,62,256
#2,35,256
#2,27,256
#2,30,256
2,38.5,256,27.7308
#3,45,256
#3,45,256
#3,33,256
#3,35,256
3,39.5,256,11.0905
#4,59,256
#4,45,256
#4,41,256
#4,39,256
4,46,256,15.6205
#5,69,256
#5,56,256
#5,47,256
#5,43,256
5,53.75,256,19.9687
#6,64,256
#6,63,256
#6,56,256
#6,60,256
6,60.75,256,6.22495
#7,78,256
#7,63,256
#7,66,256
#7,62,256
7,67.25,256,12.7574
#8,74,256
#8,70,256
#8,65,256
#8,65,256
8,68.5,256,7.54983
#9,124,256
#9,83,256
#9,71,256
#9,70,256
9,87,256,43.9318
#10,103,256
#10,95,256
#10,82,256
#10,76,256
10,89,256,21.2132
#12,117,256
#12,121,256
#12,97,256
#12,87,256
12,105.5,256,28.0535
#14,136,384
#14,121,384
#14,101,384
#14,99,384
14,114.25,384,30.4426
#16,144,384
#16,120,384
#16,119,384
#16,118,384
16,125.25,384,21.6968
#19,146,384
#19,150,384
#19,127,384
#19,129,384
19,138,384,20.2485
#22,200,384
#22,190,384
#22,159,384
#22,157,384
22,176.5,384,37.6962
#26,244,640
#26,197,640
#26,190,640
#26,161,640
26,198,640,59.5819
#31,242,640
#31,216,640
#31,182,640
#31,181,640
31,205.25,640,50.9387
#37,400,640
#37,334,640
#37,285,640
#37,254,640
37,318.25,640,110.294
#44,649,896
#44,584,896
#44,461,896
#44,339,896
44,508.25,896,237.543
#52,379,1152
#52,326,1152
#52,319,1152
#52,301,1152
52,331.25,1152,58.0754
#62,649,1152
#62,583,1152
#62,398,1152
#62,353,1152
62,495.75,1152,247.044
#74,782,1408
#74,672,1408
#74,477,1408
#74,404,1408
74,583.75,1408,301.325
#88,790,1536
#88,777,1536
#88,477,1536
#88,441,1536
88,621.25,1536,325.627
#105,794,1792
#105,742,1792
#105,504,1792
#105,478,1792
105,629.5,1792,280.034
#126,1266,1920
#126,1085,1920
#126,750,1920
#126,620,1920
126,930.25,1920,515.19
#151,1517,2176
#151,1224,2176
