#1,236,256
#1,89,256
#1,28,256
#1,28,256
1,95.25,256,169.985
#2,50,256
#2,34,256
#2,31,256
#2,30,256
2,36.25,256,16.1478
#3,71,256
#3,63,256
#3,45,256
#3,37,256
3,54,256,27.2029
#4,92,256
#4,78,256
#4,56,256
#4,41,256
4,66.75,256,39.2779
#5,77,256
#5,69,256
#5,54,256
#5,43,256
5,60.75,256,26.3201
#6,68,256
#6,62,256
#6,58,256
#6,58,256
6,61.5,256,8.18535
#7,85,256
#7,67,256
#7,62,256
#7,64,256
7,69.5,256,18.2483
#8,80,256
#8,77,256
#8,71,256
#8,69,256
8,74.25,256,8.87412
#9,101,256
#9,75,256
#9,67,256
#9,70,256
9,78.25,256,26.884
#10,115,256
#10,103,256
#10,73,256
#10,73,256
10,91,256,36.9865
#12,138,256
#12,106,256
#12,86,256
#12,83,256
12,103.25,256,43.8492
#14,162,384
#14,117,384
#14,96,384
#14,95,384
14,117.5,384,54.3047
#16,178,384
#16,133,384
#16,123,384
#16,122,384
16,139,384,45.8476
#19,166,384
#19,157,384
#19,144,384
#19,143,384
19,152.5,384,19.105
#22,177,384
#22,162,384
#22,158,384
#22,153,384
22,162.5,384,17.9165
#26,272,640
#26,203,640
#26,188,640
#26,174,640
26,209.25,640,75.3044
#31,293,640
#31,293,640
#31,262,640
#31,218,640
31,266.5,640,61.4573
#37,485,640
#37,436,640
#37,338,640
#37,221,640
37,370,640,202.005
#44,527,896
#44,533,896
#44,347,896
#44,280,896
44,421.75,896,221.664
#52,468,1152
#52,395,1152
#52,341,1152
#52,332,1152
52,384,1152,108.305
#62,668,1152
#62,594,1152
#62,409,1152
#62,334,1152
62,501.25,1152,269.983
#74,746,1408
#74,701,1408
#74,529,1408
#74,368,1408
74,586,1408,299.329
#88,997,1536
#88,842,1536
#88,488,1536
#88,436,1536
88,690.75,1536,471.88
#105,1021,1792
#105,899,1792
#105,586,1792
#105,513,1792
105,754.75,1792,422.631
#126,1330,1920
#126,1025,1920
#126,655,1920
#126,598,1920
126,902,1920,593.075
#151,1857,2176
#151,1435,2176
#151,909,2176
#151,864,2176
151,1266.25,2176,816.636
#181,2720,2432
#181,1916,2432
#181,1207,2432
#181,1023,2432
181,1716.5,2432,1336.92
#217,3506,2816
#217,2559,2816
#217,1658,2816
#217,1344,2816
217,2266.75,2816,1686.18
#260,3262,3328
#260,2419,3328
#260,1711,3328
#260,1436,3328
260,2207,3328,1413.66
#312,4374,3840
#312,3330,3840
#312,2421,3840
#312,2136,3840
312,3065.25,3840,1749.71
#374,5272,4352
#374,3858,4352
#374,2797,4352
#374,2343,4352
374,3567.5,4352,2254.5
#448,7230,5120
#448,5594,5120
#448,4177,5120
#448,3470,5120
448,5117.75,5120,2878.98
#537,7051,6144
#537,5733,6144
#537,4015,6144
#537,3336,6144
537,5033.75,6144,2911.78
#644,10541,7168
#644,8781,7168
#644,6677,7168
#644,5646,7168
644,7911.25,7168,3785.07
#772,11089,8448
#772,9116,8448
#772,7135,8448
#772,6154,8448
772,8373.5,8448,3792.8
#926,12118,10112
#926,10525,10112
#926,8571,10112
#926,7470,10112
926,9671,10112,3573.73
#1111,20091,11648
#1111,17895,11648
#1111,15332,11648
#1111,14031,11648
1111,16837.2,11648,4674.03
#1333,23535,13952
#1333,21942,13952
#1333,19015,13952
#1333,17552,13952
1333,20511,13952,4710.21
#1599,23117,16768
#1599,20921,16768
#1599,18742,16768
#1599,17436,16768
1599,20054,16768,4325.38
#1918,30134,19968
#1918,28645,19968
#1918,26363,19968
#1918,24430,19968
1918,27393,19968,4349.81
#2301,34955,23808
#2301,33481,23808
#2301,31220,23808
#2301,29921,23808
2301,32394.2,23808,3903.11
#2761,42884,28416
#2761,41769,28416
#2761,39291,28416
#2761,37613,28416
2761,40389.2,28416,4128.1
#3313,57664,33920
#3313,56720,33920
#3313,53878,33920
#3313,52161,33920
3313,55105.8,33920,4396.52
#3975,75451,40320
#3975,74362,40320
#3975,71959,40320
#3975,70562,40320
3975,73083.5,40320,3855.14
#4770,124581,47872
#4770,124053,47872
#4770,122176,47872
#4770,123661,47872
4770,123618,47872,1788.24
#5724,95382,58368
#5724,94122,58368
#5724,92187,58368
#5724,91279,58368
5724,93242.5,58368,3212.54
#6868,134727,69120
#6868,133338,69120
#6868,132213,69120
#6868,131871,69120
6868,133037,69120,2232.76
#8241,132083,84096
#8241,141470,84096
#8241,126090,84096
#8241,124920,84096
8241,131141,84096,13106.8
#9889,198816,99456
#9889,197331,99456
#9889,196856,99456
#9889,196491,99456
9889,197374,99456,1768.96
#11866,194610,120960
#11866,193620,120960
#11866,192380,120960
#11866,191437,120960
11866,193012,120960,2409.01
#14239,272467,142976
#14239,285640,142976
#14239,278380,142976
#14239,278239,142976
14239,278682,142976,9344.92
#17086,285245,173440
#17086,283499,173440
#17086,283519,173440
#17086,283082,173440
17086,283836,173440,1663.69
#20503,450478,204672
#20503,454876,204672
#20503,450304,204672
#20503,453680,204672
20503,452334,204672,3979.84
#24603,482427,248320
#24603,469856,248320
#24603,472187,248320
#24603,456613,248320
24603,470271,248320,18388.9
#29523,688855,292992
#29523,687431,292992
#29523,685328,292992
#29523,671639,292992
29523,683313,292992,13711.8
#35427,765999,355200
#35427,762839,355200
#35427,772378,355200
#35427,751315,355200
35427,763133,355200,15278.6
#42512,811058,430592
#42512,810653,430592
#42512,829427,430592
#42512,768014,430592
42512,804788,430592,45090.1
#51014,1177970,507904
#51014,1160200,507904
#51014,1146674,507904
#51014,1088719,507904
51014,1.14339e+06,507904,66918.3
#61216,1225104,615680
#61216,1226333,615680
#61216,1207881,615680
#61216,1190952,615680
61216,1.21257e+06,615680,28911
#73459,1336585,746496
#73459,1343664,746496
#73459,1294154,746496
#73459,1295869,746496
73459,1.31757e+06,746496,45406.1
#88150,1992088,880128
#88150,1912650,880128
#88150,1906037,880128
#88150,1906101,880128
88150,1.92922e+06,880128,72793.5
#105780,2220747,1066624
#105780,2149229,1066624
#105780,2146562,1066624
#105780,2144443,1066624
105780,2.16525e+06,1066624,64177.6
#126936,3218675,1257600
#126936,3149791,1257600
#126936,3064813,1257600
#126936,3122550,1257600
126936,3.13896e+06,1257600,110629
#152323,3379839,1523840
