#1,437,256
#1,158,256
#1,57,256
#1,58,256
#1,60,256
1,154,256,293.348
#2,158,256
#2,72,256
#2,58,256
#2,58,256
#2,61,256
2,81.4,256,77.2901
#3,130,256
#3,66,256
#3,66,256
#3,64,256
#3,67,256
3,78.6,256,51.437
#4,103,256
#4,90,256
#4,71,256
#4,70,256
#4,67,256
4,80.2,256,27.9829
#5,129,256
#5,94,256
#5,77,256
#5,72,256
#5,72,256
5,88.8,256,43.3294
#6,141,256
#6,102,256
#6,82,256
#6,78,256
#6,81,256
6,96.8,256,47.3523
#7,189,256
#7,140,256
#7,143,256
#7,91,256
#7,93,256
7,131.2,256,72.8439
#8,162,256
#8,118,256
#8,94,256
#8,93,256
#8,96,256
8,112.6,256,52.7272
#9,157,256
#9,128,256
#9,131,256
#9,129,256
#9,128,256
9,134.6,256,22.5069
#10,187,256
#10,171,256
#10,121,256
#10,120,256
#10,120,256
10,143.8,256,58.3699
#11,182,256
#11,181,256
#11,151,256
#11,148,256
#11,147,256
11,161.8,256,32.2837
#12,159,256
#12,140,256
#12,133,256
#12,133,256
#12,133,256
12,139.6,256,20.1435
#13,182,384
#13,148,384
#13,139,384
#13,141,384
#13,143,384
13,150.6,384,31.965
#14,173,384
#14,157,384
#14,147,384
#14,146,384
#14,147,384
14,154,384,20.6301
#15,227,384
#15,189,384
#15,144,384
#15,147,384
#15,147,384
15,170.8,384,65.3654
#16,184,384
#16,187,384
#16,186,384
#16,177,384
#16,151,384
16,177,384,26.9221
#17,203,384
#17,204,384
#17,208,384
#17,181,384
#17,160,384
17,191.2,384,36.4725
#18,176,384
#18,200,384
#18,203,384
#18,168,384
#18,168,384
18,183,384,30.8286
#19,236,384
#19,236,384
#19,227,384
#19,176,384
#19,172,384
19,209.4,384,58.2354
#20,487,384
#20,410,384
#20,322,384
#20,263,384
#20,202,384
20,336.8,384,203.479
#21,304,384
#21,236,384
#21,192,384
#21,191,384
#21,182,384
21,221,384,91.1087
#22,245,384
#22,249,384
#22,227,384
#22,203,384
#22,189,384
22,222.6,384,46.7436
#23,573,384
#23,486,384
#23,358,384
#23,236,384
#23,211,384
23,372.8,384,280.01
#24,251,384
#24,223,384
#24,228,384
#24,204,384
#24,202,384
24,221.6,384,35.7905
#25,231,640
#25,221,640
#25,218,640
#25,216,640
#25,203,640
25,217.8,640,18.04
#26,240,640
#26,243,640
#26,229,640
#26,229,640
#26,221,640
26,232.4,640,16.0798
#27,282,640
#27,277,640
#27,228,640
#27,254,640
#27,228,640
27,253.8,640,46.1719
#28,260,640
#28,254,640
#28,255,640
#28,234,640
#28,235,640
28,247.6,640,21.7844
#29,287,640
#29,249,640
#29,247,640
#29,247,640
#29,244,640
29,254.8,640,32.358
#30,352,640
#30,292,640
#30,291,640
#30,292,640
#30,242,640
30,293.8,640,69.7699
#31,304,640
#31,298,640
#31,294,640
