#1,389,256
#1,53,256
#1,26,256
#1,28,256
#1,26,256
1,104.4,256,285.334
#2,80,256
#2,55,256
#2,47,256
#2,40,256
#2,40,256
2,52.4,256,29.7348
#3,71,256
#3,61,256
#3,35,256
#3,36,256
#3,35,256
3,47.6,256,30.7142
#4,57,256
#4,55,256
#4,40,256
#4,41,256
#4,42,256
4,47,256,14.8054
#5,62,256
#5,55,256
#5,49,256
#5,48,256
#5,47,256
5,52.2,256,11.2712
#6,95,256
#6,97,256
#6,57,256
#6,55,256
#6,56,256
6,72,256,39.2326
#7,116,256
#7,83,256
#7,60,256
#7,59,256
#7,59,256
7,75.4,256,44.5529
#8,79,256
#8,71,256
#8,74,256
#8,76,256
#8,74,256
8,74.8,256,5.27636
#9,80,256
#9,80,256
#9,72,256
#9,72,256
#9,73,256
9,75.4,256,7.54718
#10,125,256
#10,94,256
#10,80,256
#10,82,256
#10,81,256
10,92.4,256,34.1432
#11,129,256
#11,123,256
#11,101,256
#11,83,256
#11,87,256
11,104.6,256,37.129
#12,140,256
#12,120,256
#12,100,256
#12,99,256
#12,100,256
12,111.8,256,32.3085
#13,137,640
#13,110,640
#13,89,640
#13,91,640
#13,89,640
13,103.2,640,37.3181
#14,104,640
#14,116,640
#14,99,640
#14,100,640
#14,102,640
14,104.2,640,12.2898
#15,114,640
#15,119,640
#15,107,640
#15,106,640
#15,105,640
15,110.2,640,10.837
#16,117,640
#16,111,640
#16,112,640
#16,111,640
#16,107,640
16,111.6,640,6.4
#17,137,640
#17,121,640
#17,113,640
#17,113,640
#17,108,640
17,118.4,640,20.3804
#18,130,640
#18,144,640
#18,146,640
#18,139,640
#18,123,640
18,136.4,640,17.3712
#19,133,640
#19,127,640
#19,128,640
#19,130,640
#19,128,640
19,129.2,640,4.27083
#20,151,640
#20,138,640
#20,126,640
#20,125,640
#20,123,640
20,132.6,640,21.1887
#21,138,640
#21,146,640
#21,147,640
#21,148,640
#21,157,640
21,147.2,640,12.093
#22,187,640
#22,164,640
#22,141,640
#22,137,640
#22,142,640
22,154.2,640,37.8502
#23,181,640
#23,175,640
#23,169,640
#23,154,640
#23,154,640
23,166.6,640,21.9308
#24,188,640
#24,178,640
#24,172,640
#24,173,640
#24,161,640
24,174.4,640,17.5545
#25,201,640
#25,200,640
#25,179,640
#25,167,640
#25,158,640
25,181,640,34.5254
#26,197,640
#26,170,640
#26,174,640
#26,174,640
#26,175,640
26,178,640,19.308
#27,201,640
#27,194,640
#27,168,640
#27,168,640
#27,160,640
27,178.2,640,32.358
#28,252,640
#28,228,640
#28,209,640
#28,197,640
#28,188,640
28,214.8,640,45.8415
#29,214,640
#29,203,640
#29,207,640
#29,189,640
#29,198,640
29,202.2,640,16.8476
#30,275,640
#30,213,640
#30,206,640
#30,190,640
#30,183,640
30,213.4,640,65.2454
#31,197,640
#31,211,640
#31,211,640
#31,197,640
#31,190,640
31,201.2,640,16.8
#32,218,640
#32,210,640
#32,205,640
#32,206,640
#32,205,640
32,208.8,640,9.91161
#33,276,640
#33,249,640
#33,254,640
#33,214,640
#33,220,640
33,242.6,640,45.7401
#34,285,640
#34,283,640
#34,246,640
#34,220,640
#34,212,640
34,249.2,640,61.1281
#35,224,640
#35,265,640
#35,246,640
#35,211,640
#35,209,640
35,231,640,43.0256
#36,338,640
