#1,266,256
#1,90,256
#1,30,256
#1,26,256
#1,25,256
1,87.4,256,185.177
#2,56,256
#2,31,256
#2,32,256
#2,32,256
#2,33,256
2,36.8,256,19.2416
#3,44,256
#3,41,256
#3,35,256
#3,36,256
#3,36,256
3,38.4,256,6.99714
#4,51,256
#4,52,256
#4,41,256
#4,41,256
#4,38,256
4,44.6,256,11.4961
#5,90,256
#5,63,256
#5,46,256
#5,46,256
#5,46,256
5,58.2,256,34.4186
#6,69,256
#6,73,256
#6,63,256
#6,64,256
#6,61,256
6,66,256,8.76356
#7,74,256
#7,60,256
#7,56,256
#7,57,256
#7,55,256
7,60.4,256,14.0057
#8,93,256
#8,90,256
#8,59,256
#8,59,256
#8,59,256
8,72,256,31.8998
#9,95,256
#9,89,256
#9,77,256
#9,76,256
#9,75,256
9,82.4,256,16.179
#10,113,256
#10,105,256
#10,78,256
#10,79,256
#10,79,256
10,90.8,256,30.1569
#11,116,256
#11,98,256
#11,80,256
#11,82,256
#11,82,256
11,91.6,256,27.6434
#12,113,256
#12,104,256
#12,92,256
#12,89,256
#12,92,256
12,98,256,18.1989
#13,105,384
#13,114,384
#13,111,384
#13,100,384
#13,89,384
13,103.8,384,17.6816
#14,97,384
#14,103,384
#14,93,384
#14,94,384
#14,91,384
14,95.6,384,8.35225
#15,100,384
#15,97,384
#15,98,384
#15,97,384
#15,102,384
15,98.8,384,3.87814
#16,156,384
#16,160,384
#16,131,384
#16,101,384
#16,104,384
16,130.4,384,49.7449
#17,137,384
#17,131,384
#17,128,384
#17,118,384
#17,116,384
17,126,384,15.8493
#18,147,384
#18,131,384
#18,130,384
#18,126,384
#18,126,384
18,132,384,15.5435
#19,129,384
#19,122,384
#19,128,384
#19,125,384
#19,124,384
19,125.6,384,5.15364
#20,144,384
#20,136,384
#20,130,384
#20,133,384
#20,133,384
20,135.2,384,9.58332
#21,175,384
#21,166,384
#21,136,384
#21,129,384
#21,137,384
21,148.6,384,36.63
#22,275,384
#22,254,384
#22,219,384
#22,165,384
#22,153,384
22,213.2,384,95.7697
#23,206,384
#23,169,384
#23,173,384
#23,162,384
#23,148,384
23,171.6,384,38.3792
#24,184,384
#24,173,384
#24,166,384
#24,145,384
#24,146,384
24,162.8,384,30.4998
#25,224,384
#25,202,384
#25,191,384
#25,154,384
#25,154,384
25,185,384,54.9036
#26,263,640
#26,192,640
#26,160,640
#26,154,640
#26,142,640
26,182.2,640,87.31
#27,206,640
#27,191,640
#27,175,640
#27,147,640
#27,148,640
27,173.4,640,46.6236
#28,174,640
#28,174,640
#28,176,640
#28,181,640
#28,155,640
28,172,640,17.7539
#29,191,640
#29,183,640
#29,183,640
#29,156,640
#29,161,640
29,174.8,640,27.4343
#30,230,640
#30,224,640
#30,200,640
#30,180,640
#30,174,640
30,201.6,640,45.0706
#31,360,640
#31,334,640
#31,279,640
#31,200,640
#31,173,640
31,269.2,640,145.829
#32,224,640
#32,208,640
#32,196,640
#32,181,640
#32,179,640
32,197.6,640,33.8136
#33,319,640
#33,279,640
#33,213,640
#33,192,640
#33,180,640
33,236.6,640,107.097
#34,351,640
#34,340,640
#34,228,640
#34,187,640
#34,190,640
34,259.2,640,144.03
#35,272,640
#35,257,640
#35,219,640
#35,191,640
#35,192,640
35,226.2,640,66.3735
#36,239,640
#36,224,640
#36,217,640
#36,196,640
#36,195,640
36,214.2,640,33.6904
#37,425,640
#37,396,640
#37,201,640
#37,202,640
#37,209,640
37,286.6,640,203.232
#38,263,896
#38,267,896
#38,236,896
#38,215,896
#38,208,896
38,237.8,896,48.1564
#39,274,896
#39,253,896
#39,219,896
#39,214,896
#39,212,896
39,234.4,896,49.5516
#40,320,896
#40,302,896
#40,262,896
#40,231,896
#40,237,896
40,270.4,896,70.4114
#42,379,896
#42,365,896
#42,306,896
#42,277,896
#42,277,896
42,320.8,896,86.7032
#44,359,896
#44,294,896
#44,290,896
#44,246,896
#44,252,896
44,288.2,896,80.7009
#46,280,896
#46,304,896
#46,297,896
#46,285,896
#46,265,896
46,286.2,896,27.1706
#48,270,896
#48,252,896
#48,253,896
#48,255,896
#48,254,896
48,256.8,896,13.3507
#50,484,896
#50,432,896
#50,271,896
#50,273,896
#50,273,896
50,346.6,896,184.87
#52,292,1152
#52,273,1152
#52,278,1152
#52,272,1152
#52,279,1152
52,278.8,1152,14.2773
