#1,416,256
#1,26,256
#1,23,256
#1,22,256
1,121.75,256,339.783
#2,32,256
#2,27,256
#2,26,256
#2,26,256
2,27.75,256,4.97494
#3,38,256
#3,41,256
#3,42,256
#3,30,256
3,37.75,256,9.42072
#4,48,256
#4,42,256
#4,43,256
#4,37,256
4,42.5,256,7.81025
#5,53,256
#5,48,256
#5,42,256
#5,55,256
5,49.5,256,10.0499
#6,60,256
#6,54,256
#6,50,256
#6,47,256
6,52.75,256,9.73396
#7,69,256
#7,59,256
#7,54,256
#7,54,256
7,59,256,12.2474
#8,85,256
#8,72,256
#8,60,256
#8,62,256
8,69.75,256,19.8179
#9,99,256
#9,82,256
#9,80,256
#9,76,256
9,84.25,256,17.5713
#10,106,256
#10,92,256
#10,72,256
#10,72,256
10,85.5,256,28.7576
#12,101,256
#12,106,256
#12,97,256
#12,89,256
12,98.25,256,12.4399
#14,122,384
#14,111,384
#14,110,384
#14,105,384
14,112,384,12.4097
#16,123,384
#16,124,384
#16,113,384
#16,112,384
16,118,384,11.0454
#19,152,384
#19,147,384
#19,116,384
#19,120,384
19,133.75,384,31.8237
#22,140,384
#22,145,384
#22,146,384
#22,147,384
22,144.5,384,5.38516
#26,222,896
#26,173,896
#26,163,896
#26,164,896
26,180.5,896,48.5489
#31,190,896
#31,190,896
#31,179,896
#31,187,896
31,186.5,896,9
#37,233,896
#37,239,896
#37,222,896
#37,213,896
37,226.75,896,20.0187
#44,270,896
#44,256,896
#44,243,896
#44,233,896
44,250.5,896,27.8029
#52,303,1536
#52,250,1536
#52,247,1536
#52,246,1536
52,261.5,1536,48.0104
#62,311,1536
#62,295,1536
#62,297,1536
#62,296,1536
62,299.75,1536,13.0671
#74,508,1536
#74,450,1536
#74,355,1536
#74,349,1536
74,415.5,1536,133.525
#88,999,1536
#88,941,1536
#88,573,1536
#88,446,1536
88,739.75,1536,470.964
#105,532,2048
#105,494,2048
#105,496,2048
#105,482,2048
105,501,2048,37.3631
#126,1196,2048
#126,1025,2048
#126,728,2048
#126,652,2048
126,900.25,2048,440.827
#151,925,2816
#151,884,2816
#151,774,2816
#151,743,2816
151,831.5,2816,150.456
#181,1236,2816
#181,1147,2816
#181,980,2816
#181,933,2816
181,1074,2816,245.54
#217,1088,3968
#217,1077,3968
#217,1077,3968
#217,1025,3968
217,1066.75,3968,49.0383
#260,1339,3968
#260,1293,3968
#260,1254,3968
#260,1251,3968
260,1284.25,3968,71.3775
#312,2850,3968
#312,2415,3968
#312,1833,3968
#312,1698,3968
312,2199,3968,924.886
#374,2221,5760
#374,2165,5760
#374,2008,5760
#374,2000,5760
374,2098.5,5760,193.186
#448,3161,5760
#448,2803,5760
#448,2484,5760
#448,2359,5760
448,2701.75,5760,621.333
#537,2758,8448
#537,2633,8448
#537,2562,8448
#537,2532,8448
537,2621.25,8448,174.111
#644,4526,8448
#644,4137,8448
#644,3690,8448
#644,3546,8448
644,3974.75,8448,771.434
#772,4174,12416
#772,4095,12416
#772,3907,12416
#772,3807,12416
772,3995.75,12416,291.765
#926,5349,12416
#926,5246,12416
#926,4890,12416
#926,4714,12416
926,5049.75,12416,516.055
#1111,10573,12416
#1111,9972,12416
#1111,9321,12416
#1111,8566,12416
1111,9608,12416,1493.94
#1333,7988,18432
#1333,7955,18432
#1333,7427,18432
#1333,7132,18432
1333,7625.5,18432,723.133
#1599,12622,18432
#1599,11930,18432
#1599,11227,18432
#1599,10893,18432
1599,11668,18432,1331.87
#1918,10035,27392
#1918,10031,27392
#1918,9706,27392
#1918,9637,27392
1918,9852.25,27392,364.789
#2301,16556,27392
#2301,16350,27392
#2301,15495,27392
#2301,14952,27392
2301,15838.2,27392,1296.27
#2761,14417,40832
#2761,14377,40832
#2761,14159,40832
#2761,44106,40832
2761,21764.8,40832,25798.2
#3313,22512,40832
#3313,22329,40832
#3313,21636,40832
#3313,21148,40832
3313,21906.2,40832,1092.53
#3975,21405,61056
#3975,21470,61056
#3975,21354,61056
#3975,21357,61056
3975,21396.5,61056,94.0266
#4770,31556,61056
#4770,31548,61056
#4770,30720,61056
#4770,30318,61056
4770,31035.5,61056,1071.41
#5724,80804,61056
#5724,67966,61056
#5724,67178,61056
#5724,66836,61056
5724,70696,61056,11700.4
#6868,45266,91392
#6868,45422,91392
#6868,44534,91392
#6868,44330,91392
6868,44888,91392,929.903
#8241,82536,91392
#8241,81796,91392
#8241,81252,91392
#8241,94578,91392
8241,85040.5,91392,11050.6
#9889,67222,136832
#9889,67366,136832
#9889,66642,136832
#9889,66221,136832
9889,66862.8,136832,918.093
#11866,111549,136832
#11866,111264,136832
#11866,110363,136832
#11866,110094,136832
11866,110818,136832,1210.16
#14239,95816,205056
#14239,96091,205056
#14239,95551,205056
#14239,95097,205056
14239,95638.8,205056,732.899
#17086,154370,205056
#17086,154277,205056
#17086,153639,205056
#17086,153617,205056
17086,153976,205056,698.775
#20503,145393,307328
#20503,145216,307328
#20503,144863,307328
#20503,144736,307328
20503,145052,307328,527.972
#24603,220511,307328
#24603,217600,307328
#24603,217671,307328
#24603,227662,307328
24603,220861,307328,8196.73
#29523,455185,307328
#29523,455439,307328
#29523,453803,307328
#29523,453973,307328
29523,454600,307328,1440.31
#35427,322479,460800
#35427,321579,460800
#35427,321356,460800
#35427,330988,460800
35427,324100,460800,7997.32
#42512,578089,460800
#42512,577200,460800
#42512,577623,460800
#42512,581171,460800
42512,578521,460800,3124.19
#51014,446686,690944
#51014,446236,690944
#51014,446226,690944
#51014,445753,690944
51014,446225,690944,659.869
#61216,758736,690944
#61216,755049,690944
#61216,753933,690944
#61216,753598,690944
61216,755329,690944,4078.14
#73459,661860,1036160
#73459,630443,1036160
#73459,624824,1036160
#73459,624780,1036160
73459,635477,1036160,30811
#88150,999883,1036160
#88150,986244,1036160
#88150,1018152,1036160
#88150,1006757,1036160
88150,1.00276e+06,1036160,23107.3
#105780,905851,1554048
#105780,887739,1554048
#105780,887060,1554048
#105780,888797,1554048
105780,892362,1554048,15625.2
#126936,1349058,1554048
#126936,1356524,1554048
#126936,1325742,1554048
#126936,1334746,1554048
126936,1.34152e+06,1554048,24016.1
#152323,2962341,1554048
#152323,2952556,1554048
#152323,2924012,1554048
#152323,2881390,1554048
152323,2.93007e+06,1554048,62876.7
#182787,1769515,2330880
#182787,1782398,2330880
#182787,1799626,2330880
#182787,1798643,2330880
182787,1.78755e+06,2330880,24913.6
#219344,3560409,2330880
#219344,3400654,2330880
#219344,3488857,2330880
#219344,3516073,2330880
219344,3.4915e+06,2330880,116672
#263212,2493548,3496064
#263212,2468467,3496064
#263212,2483308,3496064
#263212,2475513,3496064
263212,2.48021e+06,3496064,18640.3
#315854,4332057,3496064
#315854,4288122,3496064
#315854,4318284,3496064
#315854,4348686,3496064
315854,4.32179e+06,3496064,44436.8
#379024,3807831,5243904
#379024,3522037,5243904
#379024,3500693,5243904
#379024,3490115,5243904
379024,3.58017e+06,5243904,263885
#454828,5539326,5243904
#454828,5717605,5243904
#454828,5740423,5243904
#454828,5686635,5243904
454828,5.671e+06,5243904,156761
#545793,7946002,7865600
#545793,7304793,7865600
#545793,7541224,7865600
#545793,7454749,7865600
545793,7.56169e+06,7865600,474918
#654951,10809247,7865600
#654951,11155641,7865600
#654951,12839886,7865600
#654951,10638757,7865600
654951,1.13609e+07,7865600,1.74795e+06
#785941,16619687,11798144
#785941,16301936,11798144
#785941,16218501,11798144
#785941,15963801,11798144
785941,1.6276e+07,11798144,468581
#943129,21091217,11798144
#943129,21135907,11798144
#943129,21334357,11798144
#943129,20909826,11798144
943129,2.11178e+07,11798144,301968
#1131754,36304043,11798144
#1131754,35770352,11798144
#1131754,36100846,11798144
#1131754,35720936,11798144
1131754,3.5974e+07,11798144,480138
#1358104,35286848,17697024
#1358104,35315241,17697024
#1358104,35375106,17697024
#1358104,35147454,17697024
1358104,3.52812e+07,17697024,167024
#1629724,53629640,17697024
#1629724,54374224,17697024
#1629724,54164444,17697024
#1629724,54192864,17697024
1629724,5.40903e+07,17697024,555731
#1955668,54578407,26545280
#1955668,54635518,26545280
#1955668,54032056,26545280
#1955668,54025233,26545280
1955668,5.43178e+07,26545280,579746
#2346801,77063877,26545280
#2346801,77300242,26545280
#2346801,77405535,26545280
#2346801,77656861,26545280
2346801,7.73566e+07,26545280,425928
#2816161,81143002,39817728
#2816161,81080521,39817728
#2816161,81390268,39817728
#2816161,80841120,39817728
2816161,8.11137e+07,39817728,390831
#3379393,109982805,39817728
#3379393,110103097,39817728
#3379393,110163762,39817728
#3379393,109879737,39817728
3379393,1.10032e+08,39817728,219134
#4055271,118785887,59726336
#4055271,118373555,59726336
#4055271,118504863,59726336
#4055271,118555860,59726336
4055271,1.18555e+08,59726336,297902
#4866325,156809530,59726336
#4866325,157055814,59726336
#4866325,156829509,59726336
#4866325,156458112,59726336
4866325,1.56788e+08,59726336,427477
#5839590,301704029,59726336
#5839590,302425511,59726336
#5839590,302796180,59726336
#5839590,301994039,59726336
5839590,3.0223e+08,59726336,831329
#7007508,223288451,89589248
#7007508,223247663,89589248
#7007508,225453524,89589248
#7007508,223553157,89589248
7007508,2.23886e+08,89589248,1.8255e+06
#8409009,367510955,89589248
#8409009,366559878,89589248
#8409009,367709427,89589248
#8409009,366366900,89589248
8409009,3.67037e+08,89589248,1.16339e+06
