#1,353,288
#1,88,288
#1,79,288
#1,49,288
#1,52,288
1,124.2,288,230.774
#2,124,288
#2,111,288
#2,91,288
#2,63,288
#2,63,288
2,90.4,288,49.4384
#3,136,288
#3,115,288
#3,94,288
#3,83,288
#3,79,288
3,101.4,288,42.6821
#4,142,288
#4,125,288
#4,99,288
#4,102,288
#4,101,288
4,113.8,288,33.9741
#5,142,288
#5,120,288
#5,118,288
#5,119,288
#5,120,288
5,123.8,288,18.2603
#6,218,288
#6,214,288
#6,154,288
#6,137,288
#6,138,288
6,172.2,288,72.5799
#7,211,288
#7,187,288
#7,184,288
#7,166,288
#7,168,288
7,183.2,288,32.4321
#8,295,288
#8,240,288
#8,182,288
#8,185,288
#8,183,288
8,217,288,89.5232
#9,223,288
#9,225,288
#9,202,288
#9,202,288
#9,202,288
9,210.8,288,21.5926
#10,223,288
#10,221,288
#10,222,288
#10,222,288
#10,222,288
10,222,288,1.26491
#11,305,288
#11,271,288
#11,266,288
#11,265,288
#11,267,288
11,274.8,288,30.4736
#12,293,288
#12,278,288
#12,259,288
#12,257,288
#12,260,288
12,269.4,288,28.0171
#13,280,416
#13,278,416
#13,277,416
#13,275,416
#13,277,416
13,277.4,416,3.24962
#14,313,416
#14,291,416
#14,294,416
#14,294,416
#14,293,416
14,297,416,16.1493
#15,316,416
#15,312,416
#15,310,416
#15,308,416
#15,311,416
15,311.4,416,5.3066
#16,333,416
#16,329,416
#16,330,416
#16,331,416
#16,328,416
16,330.2,416,3.44093
#17,369,416
#17,350,416
#17,343,416
#17,349,416
#17,347,416
17,351.6,416,18.0488
#18,427,416
#18,409,416
#18,381,416
#18,384,416
#18,383,416
18,396.8,416,36.4944
#19,429,416
#19,426,416
#19,405,416
#19,428,416
#19,426,416
19,422.8,416,17.951
#20,513,416
#20,506,416
#20,430,416
#20,465,416
#20,448,416
20,472.4,416,64.6542
#22,494,416
#22,487,416
#22,477,416
#22,459,416
#22,479,416
22,479.2,416,23.5423
#24,533,416
#24,552,416
#24,487,416
#24,489,416
#24,487,416
24,509.6,416,55.0723
#26,635,672
#26,601,672
#26,559,672
#26,539,672
#26,537,672
26,574.2,672,76.2564
#28,556,672
#28,550,672
#28,550,672
#28,549,672
#28,549,672
28,550.8,672,5.27636
#30,604,672
#30,601,672
#30,599,672
#30,597,672
#30,598,672
30,599.8,672,4.96387
#33,1042,672
#33,1025,672
#33,987,672
#33,983,672
#33,962,672
33,999.8,672,58.5887
#36,787,672
#36,765,672
#36,728,672
#36,728,672
#36,725,672
36,746.6,672,50.0336
#39,1157,928
#39,1183,928
#39,1168,928
#39,1153,928
#39,1113,928
39,1154.8,928,46.6888
#42,1283,928
#42,1182,928
#42,1147,928
#42,1172,928
#42,1208,928
42,1198.4,928,93.1974
#46,950,928
#46,933,928
#46,908,928
#46,894,928
#46,891,928
46,915.2,928,45.7366
#50,1038,1184
#50,998,1184
#50,975,1184
#50,964,1184
#50,964,1184
50,987.8,1184,56.0057
#55,1450,1184
#55,1425,1184
#55,1360,1184
#55,1352,1184
#55,1332,1184
55,1383.8,1184,90.9541
#60,1749,1184
#60,1704,1184
#60,1672,1184
#60,1674,1184
#60,1665,1184
60,1692.8,1184,62.2434
#66,1804,1312
#66,1686,1312
#66,1637,1312
#66,1577,1312
#66,1579,1312
66,1656.6,1312,168.127
#72,1884,1312
#72,1911,1312
#72,1830,1312
#72,1847,1312
#72,1819,1312
72,1858.2,1312,68.7651
#79,1844,1568
#79,1790,1568
#79,1755,1568
#79,1736,1568
#79,1742,1568
79,1773.4,1568,79.916
#86,2264,1568
#86,2249,1568
#86,2198,1568
#86,2129,1568
#86,2138,1568
86,2195.6,1568,110.595
#94,2981,1568
#94,2841,1568
#94,2751,1568
#94,2696,1568
#94,2671,1568
94,2788,1568,225.53
#103,2071,1824
#103,1984,1824
#103,1993,1824
#103,1967,1824
#103,1987,1824
103,2000.4,1824,72.6812
#113,4044,1824
#113,3829,1824
#113,3765,1824
#113,3757,1824
#113,3774,1824
113,3833.8,1824,216.175
#124,2919,2080
#124,2816,2080
#124,2747,2080
#124,2728,2080
#124,2705,2080
124,2783,2080,154.894
#136,3702,2080
#136,3561,2080
#136,3432,2080
#136,3483,2080
#136,3401,2080
136,3515.8,2080,215.39
#149,3833,2464
#149,3812,2464
#149,3671,2464
#149,3574,2464
#149,3518,2464
149,3681.6,2464,250.41
#163,3948,2464
#163,3922,2464
#163,3857,2464
#163,3847,2464
#163,3807,2464
163,3876.2,2464,103.006
#179,7378,2464
#179,6961,2464
#179,6671,2464
#179,6647,2464
#179,6577,2464
179,6846.8,2464,592.508
#196,5844,2848
#196,5748,2848
#196,5547,2848
#196,5389,2848
#196,5328,2848
196,5571.2,2848,398.604
#215,8660,2848
#215,8112,2848
#215,7788,2848
#215,7757,2848
#215,7631,2848
215,7989.6,2848,741.759
#236,6524,3360
#236,6433,3360
#236,6389,3360
#236,6170,3360
#236,6187,3360
236,6340.6,3360,278.874
#259,7776,3360
#259,7564,3360
#259,7243,3360
#259,7291,3360
#259,7065,3360
259,7387.8,3360,503.017
#284,7577,3872
#284,7326,3872
#284,7172,3872
#284,7104,3872
#284,7021,3872
284,7240,3872,391.965
#312,9219,3872
#312,9188,3872
#312,8789,3872
#312,8720,3872
#312,8650,3872
312,8913.2,3872,482.539
#343,7333,4512
#343,7257,4512
#343,7207,4512
#343,7055,4512
#343,7143,4512
343,7199,4512,190.276
#377,12035,4512
#377,11920,4512
#377,11569,4512
#377,11425,4512
#377,11397,4512
377,11669.2,4512,521.902
#414,9908,5280
#414,9923,5280
#414,9538,5280
#414,9537,5280
#414,9427,5280
414,9666.6,5280,414.495
#455,11804,6176
#455,11648,6176
#455,11342,6176
#455,11224,6176
#455,11207,6176
455,11445,6176,478.484
#500,18143,6176
#500,17615,6176
#500,17222,6176
#500,16986,6176
#500,16860,6176
500,17365.2,6176,932.48
#550,12664,7200
#550,12455,7200
#550,12302,7200
#550,12209,7200
#550,12178,7200
550,12361.6,7200,358.572
#605,21043,7200
#605,20890,7200
#605,20157,7200
#605,20098,7200
#605,20005,7200
605,20438.6,7200,872.87
#665,18864,8352
#665,18562,8352
#665,18236,8352
#665,17871,8352
#665,17705,8352
665,18247.6,8352,855.651
#731,27636,8352
#731,26951,8352
#731,26135,8352
#731,25783,8352
#731,25703,8352
731,26441.6,8352,1485.76
#804,30309,9760
#804,25219,9760
#804,24515,9760
#804,24411,9760
#804,24247,9760
804,25740.2,9760,4616.76
#884,20783,11424
#884,20648,11424
#884,20296,11424
#884,20304,11424
#884,20171,11424
884,20440.4,11424,466.909
#972,28456,11424
#972,28279,11424
#972,27504,11424
#972,27273,11424
#972,27192,11424
972,27740.8,11424,1049.67
#1069,25877,13344
#1069,25666,13344
#1069,25393,13344
#1069,25197,13344
#1069,25286,13344
1069,25483.8,13344,503.926
#1175,33730,13344
#1175,33562,13344
#1175,32912,13344
#1175,32562,13344
#1175,32454,13344
1175,33044,13344,1034.12
#1292,29744,15520
#1292,29491,15520
#1292,29182,15520
#1292,28919,15520
#1292,28766,15520
1292,29220.4,15520,718.987
#1421,54391,15520
#1421,53211,15520
#1421,52577,15520
#1421,52247,15520
#1421,65955,15520
1421,55676.2,15520,10382.6
#1563,44497,18080
#1563,44197,18080
#1563,43354,18080
#1563,42993,18080
#1563,42866,18080
1563,43581.4,18080,1304.46
#1719,36934,21024
#1719,36651,21024
#1719,36273,21024
#1719,36044,21024
#1719,36077,21024
1719,36395.8,21024,690.08
#1890,76951,21024
#1890,75948,21024
#1890,88915,21024
#1890,71985,21024
#1890,71801,21024
1890,77120,21024,12495.9
#2079,47691,24480
#2079,46961,24480
#2079,46421,24480
#2079,46301,24480
#2079,46021,24480
2079,46679,24480,1181.89
#2286,90495,24480
#2286,89747,24480
#2286,88881,24480
#2286,88388,24480
#2286,88308,24480
2286,89163.8,24480,1679.63
#2514,60197,28576
#2514,59401,28576
#2514,59013,28576
#2514,77271,28576
#2514,56498,28576
2514,62476,28576,15000.5
#2765,53720,33312
#2765,53218,33312
#2765,52935,33312
#2765,52663,33312
#2765,52606,33312
2765,53028.4,33312,817.274
#3041,78010,33312
#3041,77931,33312
#3041,77119,33312
#3041,77093,33312
#3041,88413,33312
3041,79713.2,33312,8734.25
#3345,67744,38816
#3345,67504,38816
#3345,66646,38816
#3345,66640,38816
#3345,69306,38816
3345,67568,38816,1952.84
#3679,68362,45216
#3679,67819,45216
#3679,67612,45216
#3679,67368,45216
#3679,67284,45216
3679,67689,45216,770.882
#4046,92741,45216
#4046,91703,45216
#4046,91250,45216
#4046,91227,45216
#4046,90725,45216
4046,91529.2,45216,1360.79
#4450,86583,52768
#4450,86255,52768
#4450,85755,52768
#4450,85911,52768
#4450,85643,52768
4450,86029.4,52768,690.5
#4895,126114,52768
#4895,124862,52768
#4895,127066,52768
#4895,124034,52768
#4895,124112,52768
4895,125238,52768,2360.99
#5384,104836,61600
#5384,116376,61600
#5384,101029,61600
#5384,101034,61600
#5384,100954,61600
5384,104846,61600,11905.9
#5922,100215,71840
#5922,99240,71840
#5922,98896,71840
#5922,98670,71840
#5922,98555,71840
5922,99115.2,71840,1195.06
#6514,150616,71840
#6514,149649,71840
#6514,149380,71840
#6514,149181,71840
#6514,151421,71840
6514,150049,71840,1688.75
#7165,116938,83744
#7165,116008,83744
#7165,115702,83744
#7165,115293,83744
