#1,573,536
#1,168,536
#1,129,536
#1,131,536
#1,116,536
1,223.4,536,351.31
#2,189,544
#2,131,544
#2,113,544
#2,105,544
#2,107,544
2,129,544,62.7375
#3,188,552
#3,131,552
#3,124,552
#3,117,552
#3,127,552
3,137.4,552,51.4214
#4,235,568
#4,179,568
#4,128,568
#4,134,568
#4,136,568
4,162.4,568,81.1576
#5,240,576
#5,155,576
#5,173,576
#5,156,576
#5,144,576
5,173.6,576,68.9417
#6,226,584
#6,172,584
#6,156,584
#6,155,584
#6,147,584
6,171.2,584,57.151
#7,272,600
#7,238,600
#7,168,600
#7,161,600
#7,169,600
7,201.6,600,89.9831
#8,398,608
#8,279,608
#8,208,608
#8,190,608
#8,190,608
8,253,608,159.158
#9,370,608
#9,298,608
#9,215,608
#9,207,608
#9,192,608
9,256.4,608,135.461
#10,549,616
#10,274,616
#10,228,616
#10,224,616
#10,210,616
10,297,616,255.644
#11,405,632
#11,270,632
#11,248,632
#11,226,632
#11,228,632
11,275.4,632,133.456
#12,471,640
#12,284,640
#12,236,640
#12,236,640
#12,246,640
12,294.6,640,179.909
#13,567,648
#13,342,648
#13,269,648
#13,244,648
#13,244,648
13,333.2,648,244.581
#14,473,664
#14,325,664
#14,262,664
#14,239,664
#14,242,664
14,308.2,664,176.061
#15,556,672
#15,317,672
#15,281,672
#15,284,672
#15,277,672
15,343,672,214.897
#16,577,680
#16,352,680
#16,283,680
#16,286,680
#16,266,680
16,352.8,680,231.75
#17,624,680
#17,375,680
#17,320,680
#17,294,680
#17,315,680
17,385.6,680,244.336
#18,701,696
#18,420,696
#18,315,696
#18,319,696
#18,312,696
18,413.4,696,298.842
#19,655,704
#19,447,704
#19,338,704
#19,339,704
#19,303,704
19,416.4,704,257.47
#20,797,712
#20,521,712
#20,386,712
#20,363,712
#20,361,712
20,485.6,712,333.106
#21,729,728
#21,401,728
#21,342,728
#21,327,728
#21,339,728
21,427.6,728,305.741
#22,718,736
#22,441,736
#22,372,736
#22,368,736
#22,342,736
22,448.2,736,277.648
#23,775,744
#23,443,744
#23,372,744
#23,370,744
#23,362,744
23,464.4,744,316.057
#24,913,760
#24,467,760
#24,400,760
#24,398,760
#24,407,760
24,517,760,399.265
#25,818,760
#25,526,760
#25,426,760
#25,432,760
#25,396,760
25,519.6,760,310.864
#26,751,768
#26,462,768
#26,424,768
#26,392,768
#26,367,768
26,479.2,768,279.157
#27,839,776
