#1,772,536
#1,247,536
#1,191,536
#1,165,536
#1,141,536
1,303.2,536,474.071
#2,276,544
#2,185,544
#2,164,544
#2,164,544
#2,163,544
2,190.4,544,87.1835
#3,360,552
#3,229,552
#3,204,552
#3,193,552
#3,179,552
3,233,552,131.155
#4,385,568
#4,275,568
#4,270,568
#4,201,568
#4,199,568
4,266,568,135.564
#5,362,576
#5,251,576
#5,246,576
#5,246,576
#5,241,576
5,269.2,576,93.0153
#6,382,584
#6,257,584
#6,271,584
#6,275,584
#6,275,584
6,292,584,90.9681
#7,366,600
#7,287,600
#7,243,600
#7,243,600
#7,248,600
7,277.4,600,94.544
#8,571,608
#8,362,608
#8,294,608
#8,301,608
#8,301,608
8,365.8,608,211.045
#9,466,608
#9,340,608
#9,280,608
#9,305,608
#9,281,608
9,334.4,608,138.637
#10,635,616
#10,347,616
#10,338,616
#10,316,616
#10,304,616
10,388,616,248.886
#11,848,632
#11,448,632
#11,356,632
#11,372,632
#11,340,632
11,472.8,632,382.444
#12,632,640
#12,432,640
#12,330,640
#12,347,640
#12,318,640
12,411.8,640,234.239
#13,739,648
#13,401,648
#13,346,648
#13,346,648
#13,368,648
13,440,648,301.699
#14,602,664
#14,424,664
#14,393,664
#14,370,664
#14,370,664
14,431.8,664,174.752
#15,929,672
#15,631,672
#15,490,672
#15,411,672
#15,425,672
15,577.2,672,384.758
#16,1019,680
#16,576,680
#16,465,680
#16,448,680
#16,419,680
16,585.4,680,446.463
#17,971,680
#17,563,680
#17,484,680
#17,435,680
#17,423,680
17,575.2,680,407.867
#18,986,696
#18,566,696
#18,441,696
#18,434,696
#18,433,696
18,572,696,426.106
#19,885,704
#19,594,704
#19,486,704
#19,485,704
#19,470,704
19,584,704,313.818
#20,1103,712
#20,534,712
#20,495,712
#20,495,712
#20,476,712
20,620.6,712,483.875
#21,999,728
#21,654,728
#21,592,728
#21,537,728
#21,475,728
21,651.4,728,367.222
#22,1086,736
#22,701,736
#22,570,736
#22,544,736
#22,509,736
22,682,736,424.353
#23,1336,744
#23,717,744
#23,628,744
#23,594,744
#23,559,744
23,766.8,744,578.809
#24,2046,760
#24,740,760
#24,553,760
#24,531,760
#24,532,760
24,880.4,760,1176.09
#25,1812,760
#25,1069,760
#25,812,760
#25,707,760
#25,665,760
25,1013,760,846.961
#26,1191,768
#26,660,768
#26,588,768
#26,543,768
#26,571,768
26,710.6,768,486.583
#27,1697,776
#27,968,776
#27,767,776
#27,685,776
#27,664,776
27,956.2,776,771.311
#28,1534,792
#28,923,792
#28,721,792
#28,677,792
#28,653,792
