#1,363,536
#1,155,536
#1,79,536
#1,41,536
#1,38,536
1,135.2,536,242.924
#2,315,544
#2,65,544
#2,45,544
#2,43,544
#2,45,544
2,102.6,544,213.007
#3,300,552
#3,69,552
#3,55,552
#3,55,552
#3,55,552
3,106.8,552,193.504
#4,145,568
#4,99,568
#4,60,568
#4,60,568
#4,57,568
4,84.2,568,68.2747
#5,120,576
#5,100,576
#5,63,576
#5,67,576
#5,68,576
5,83.6,576,45.0529
#6,158,584
#6,124,584
#6,74,584
#6,72,584
#6,73,584
6,100.2,584,70.0217
#7,135,600
#7,104,600
#7,80,600
#7,80,600
#7,80,600
7,95.8,600,43.3848
#8,168,608
#8,152,608
#8,89,608
#8,259,608
#8,129,608
8,159.4,608,112.886
#9,669,608
#9,263,608
#9,190,608
#9,100,608
#9,102,608
9,264.8,608,422.032
#10,801,616
#10,264,616
#10,197,616
#10,138,616
#10,115,616
10,303,616,508.59
#11,331,632
#11,231,632
#11,131,632
#11,129,632
#11,131,632
11,190.6,632,160.607
#12,301,640
#12,257,640
#12,163,640
#12,152,640
#12,153,640
12,205.2,640,123.925
#13,300,648
#13,197,648
#13,143,648
#13,142,648
#13,142,648
13,184.8,648,122.738
#14,212,664
#14,251,664
#14,186,664
#14,175,664
#14,174,664
14,199.6,664,58.2491
#15,321,672
#15,291,672
#15,207,672
#15,174,672
#15,179,672
15,234.4,672,120.569
#16,355,680
#16,361,680
#16,231,680
#16,161,680
#16,160,680
16,253.6,680,178.131
#17,1030,680
#17,385,680
#17,285,680
#17,187,680
#17,172,680
17,411.8,680,636.872
#18,466,696
#18,338,696
#18,243,696
#18,187,696
#18,189,696
18,284.6,696,211.949
#19,439,704
#19,369,704
#19,237,704
#19,226,704
#19,229,704
19,300,704,175.654
#20,476,712
#20,305,712
#20,187,712
#20,184,712
#20,188,712
20,268,712,227.42
#21,554,728
#21,369,728
#21,232,728
#21,214,728
#21,233,728
21,320.4,728,258.774
#22,557,736
#22,418,736
#22,307,736
#22,287,736
#22,304,736
22,374.6,736,204.707
#23,701,744
#23,552,744
#23,422,744
#23,435,744
#23,377,744
23,497.4,744,234.11
#24,532,760
#24,468,760
#24,351,760
#24,338,760
#24,314,760
24,400.6,760,168.967
#25,618,760
#25,571,760
#25,331,760
#25,331,760
#25,415,760
25,453.2,760,240.601
#26,825,768
#26,774,768
#26,602,768
#26,563,768
#26,451,768
26,643,768,276.014
#27,714,776
#27,590,776
#27,432,776
#27,437,776
#27,372,776
27,509,776,250.548
#28,802,792
#28,604,792
#28,334,792
#28,380,792
#28,461,792
28,516.2,792,339.629
#29,762,800
#29,430,800
#29,301,800
#29,302,800
#29,295,800
29,418,800,358.613
#30,606,808
#30,450,808
#30,295,808
#30,293,808
#30,278,808
30,384.4,808,254.68
#31,916,824
#31,484,824
#31,396,824
#31,350,824
#31,352,824
31,499.6,824,427.58
#32,718,832
#32,528,832
#32,358,832
#32,335,832
#32,294,832
32,446.6,832,314.802
#33,700,832
#33,490,832
#33,355,832
#33,314,832
#33,313,832
33,434.4,832,295.531
#34,754,840
#34,678,840
#34,375,840
#34,347,840
#34,311,840
34,493,840,369.551
#35,814,856
#35,540,856
#35,321,856
#35,321,856
#35,322,856
35,463.6,856,389.191
#36,804,864
#36,490,864
#36,416,864
#36,381,864
#36,379,864
36,494,864,320.242
#37,869,872
#37,594,872
#37,403,872
#37,345,872
#37,372,872
37,516.6,872,393.382
#38,911,888
#38,638,888
#38,410,888
#38,398,888
#38,378,888
38,547,888,410.178
#39,900,896
#39,752,896
#39,520,896
#39,439,896
#39,439,896
39,610,896,369.698
#40,971,904
#40,631,904
#40,396,904
#40,409,904
#40,409,904
40,563.2,904,443.99
#41,1098,904
#41,587,904
#41,475,904
#41,430,904
#41,398,904
41,597.6,904,516.506
#42,900,920
#42,530,920
#42,404,920
#42,375,920
#42,376,920
42,517,920,399.672
#43,979,928
#43,619,928
#43,416,928
#43,391,928
#43,389,928
43,558.8,928,453.936
#44,998,936
#44,709,936
#44,447,936
#44,426,936
#44,422,936
44,600.4,936,452.242
#45,1205,952
#45,703,952
#45,494,952
#45,483,952
#45,464,952
45,669.8,952,562.633
#46,1024,960
#46,667,960
#46,503,960
#46,450,960
#46,445,960
46,617.8,960,436.912
#47,1174,968
#47,666,968
#47,516,968
#47,494,968
#47,486,968
47,667.2,968,523.481
#48,1025,984
#48,749,984
#48,462,984
#48,441,984
#48,424,984
48,620.2,984,469.967
#49,1058,984
#49,678,984
#49,501,984
#49,496,984
#49,483,984
49,643.2,984,438.929
#50,1108,992
#50,706,992
#50,537,992
#50,427,992
#50,426,992
50,640.8,992,510.02
#51,1255,1000
#51,940,1000
#51,556,1000
#51,510,1000
#51,509,1000
51,754,1000,596.229
#52,1188,1016
#52,807,1016
#52,576,1016
#52,548,1016
#52,535,1016
52,730.8,1016,498.441
#53,1180,1024
#53,830,1024
#53,572,1024
#53,463,1024
#53,451,1024
53,699.2,1024,552.703
#54,1146,1032
#54,729,1032
#54,494,1032
#54,462,1032
#54,520,1032
54,670.2,1032,511.31
#55,1013,1048
#55,842,1048
#55,514,1048
#55,530,1048
#55,511,1048
55,682,1048,415.432
#56,1137,1056
#56,586,1056
#56,494,1056
#56,479,1056
#56,479,1056
56,635,1056,508.298
#57,1468,1056
#57,873,1056
#57,602,1056
#57,573,1056
