#1,411,32
#1,76,32
#1,30,32
#1,31,32
#1,31,32
1,115.8,32,297.282
#2,68,32
#2,37,32
#2,35,32
#2,36,32
#2,35,32
2,42.2,32,25.8426
#3,55,48
#3,48,48
#3,44,48
#3,44,48
#3,42,48
3,46.6,48,9.26067
#4,65,48
#4,52,48
#4,68,48
#4,52,48
#4,53,48
4,58,48,14.0285
#5,68,64
#5,66,64
#5,59,64
#5,57,64
#5,58,64
5,61.6,64,8.99778
#6,82,64
#6,66,64
#6,66,64
#6,67,64
#6,69,64
6,70,64,12.1984
#7,86,80
#7,83,80
#7,78,80
#7,74,80
#7,74,80
7,79,80,9.63328
#8,95,80
#8,95,80
#8,90,80
#8,89,80
#8,114,80
8,96.6,80,18.0931
#9,111,96
#9,95,96
#9,97,96
#9,97,96
#9,96,96
9,99.2,96,11.8929
#10,105,96
#10,101,96
#10,101,96
#10,102,96
#10,101,96
10,102,96,3.09839
#11,122,112
#11,113,112
#11,105,112
#11,107,112
#11,109,112
11,111.2,112,12.0266
#12,213,112
#12,145,112
#12,117,112
#12,134,112
#12,117,112
12,145.2,112,71.065
#13,140,128
#13,122,128
#13,125,128
#13,126,128
#13,124,128
13,127.4,128,12.8748
#14,177,128
#14,164,128
#14,133,128
#14,137,128
#14,136,128
14,149.4,128,35.5213
#15,245,256
#15,209,256
#15,138,256
#15,138,256
#15,165,256
15,179,256,83.9714
#16,256,256
#16,181,256
#16,146,256
#16,146,256
#16,152,256
16,176.2,256,83.9085
#17,242,256
#17,178,256
#17,154,256
#17,165,256
#17,155,256
17,178.8,256,65.5243
#18,299,256
#18,210,256
#18,187,256
#18,173,256
#18,165,256
18,206.8,256,97.13
#19,289,256
#19,235,256
#19,182,256
#19,166,256
#19,173,256
19,209,256,93.5949
#20,256,256
#20,207,256
#20,179,256
#20,183,256
#20,181,256
20,201.2,256,58.4383
#21,324,256
#21,235,256
#21,189,256
#21,184,256
#21,185,256
21,223.4,256,107.574
#22,349,256
#22,253,256
#22,211,256
#22,218,256
#22,200,256
22,246.2,256,108.749
#23,359,256
#23,244,256
#23,213,256
#23,197,256
#23,203,256
23,243.2,256,120.242
#24,379,256
#24,302,256
#24,214,256
#24,219,256
#24,221,256
24,267,256,129.609
#25,308,512
#25,263,512
#25,212,512
#25,213,512
#25,224,512
25,244,512,73.9838
#26,374,512
#26,251,512
#26,214,512
#26,219,512
#26,216,512
26,254.8,512,122.229
#27,352,512
#27,269,512
#27,263,512
#27,250,512
#27,238,512
27,274.4,512,80.5044
#28,342,512
#28,262,512
#28,245,512
#28,248,512
#28,233,512
28,266,512,78.21
#29,325,512
#29,312,512
#29,260,512
#29,259,512
#29,255,512
29,282.2,512,59.9386
#30,422,512
#30,320,512
#30,265,512
#30,249,512
#30,249,512
30,301,512,131.776
#31,396,512
#31,302,512
#31,292,512
#31,305,512
#31,282,512
31,315.4,512,82.2056
#32,364,512
#32,310,512
#32,321,512
#32,303,512
#32,295,512
32,318.6,512,48.5073
#33,454,512
#33,339,512
#33,299,512
#33,289,512
#33,275,512
33,331.2,512,129.975
#34,383,512
#34,335,512
#34,293,512
#34,310,512
#34,278,512
34,319.8,512,73.6847
#35,425,512
#35,300,512
#35,287,512
#35,305,512
#35,288,512
35,321,512,104.911
#36,422,512
#36,331,512
#36,319,512
#36,326,512
#36,309,512
36,341.4,512,81.9424
#37,463,512
#37,400,512
#37,332,512
#37,309,512
#37,300,512
37,360.8,512,123.906
#38,438,512
#38,362,512
#38,375,512
#38,341,512
#38,342,512
38,371.6,512,71.1348
#39,508,512
#39,416,512
#39,345,512
#39,345,512
#39,325,512
39,387.8,512,135.206
#40,555,512
#40,437,512
#40,391,512
#40,388,512
#40,355,512
40,425.2,512,139.911
#42,512,512
#42,448,512
#42,367,512
