#1,388,256
#1,86,256
#1,28,256
#1,30,256
1,133,256,298.107
#2,68,256
#2,40,256
#2,37,256
#2,39,256
2,46,256,25.4951
#3,81,256
#3,52,256
#3,46,256
#3,47,256
3,56.5,256,28.6531
#4,80,256
#4,65,256
#4,63,256
#4,57,256
4,66.25,256,16.9337
#5,110,256
#5,62,256
#5,63,256
#5,65,256
5,75,256,40.4722
#6,83,256
#6,82,256
#6,86,256
#6,76,256
6,81.75,256,7.26292
#7,87,256
#7,96,256
#7,83,256
#7,90,256
7,89,256,9.48683
#8,107,256
#8,111,256
#8,92,256
#8,92,256
8,100.5,256,17.2337
#9,106,256
#9,111,256
#9,101,256
#9,104,256
9,105.5,256,7.28011
#10,160,256
#10,136,256
#10,110,256
#10,111,256
10,129.25,256,41.1673
#12,144,256
#12,144,256
#12,129,256
#12,125,256
12,135.5,256,17.2337
#14,199,384
#14,142,384
#14,185,384
#14,136,384
14,165.5,384,54.0833
#16,189,384
#16,169,384
#16,141,384
#16,143,384
16,160.5,384,39.6358
#19,233,384
#19,198,384
#19,218,384
#19,189,384
19,209.5,384,34.3074
#22,286,384
#22,232,384
#22,215,384
#22,200,384
22,233.25,384,64.9827
#26,291,640
#26,227,640
#26,242,640
#26,211,640
26,242.75,640,59.8728
#31,323,640
#31,251,640
#31,249,640
#31,266,640
31,272.25,640,60.0562
#37,474,640
#37,422,640
#37,373,640
#37,326,640
37,398.75,640,110.267
#44,375,896
#44,348,896
#44,349,896
#44,326,896
44,349.5,896,34.7131
#52,469,1152
#52,433,1152
#52,377,1152
#52,396,1152
52,418.75,1152,70.6311
#62,748,1152
#62,666,1152
#62,520,1152
#62,508,1152
62,610.5,1152,201.7
#74,831,1408
#74,675,1408
#74,584,1408
#74,573,1408
74,665.75,1408,206.588
#88,915,1536
#88,727,1536
#88,680,1536
#88,653,1536
88,743.75,1536,204.711
#105,1049,1792
#105,930,1792
#105,820,1792
#105,808,1792
105,901.75,1792,194.815
#126,1258,1920
#126,1108,1920
#126,984,1920
#126,937,1920
126,1071.75,1920,248.718
#151,1458,2176
#151,1314,2176
#151,1166,2176
#151,1153,2176
151,1272.75,2176,248.505
#181,1760,2432
#181,1609,2432
#181,1423,2432
#181,1385,2432
181,1544.25,2432,301.335
#217,2406,2816
#217,2073,2816
#217,1741,2816
#217,1695,2816
217,1978.75,2816,573.118
#260,2591,3328
#260,2400,3328
#260,2097,3328
#260,2045,3328
260,2283.25,3328,446.982
#312,3187,3840
#312,2882,3840
#312,2413,3840
#312,2385,3840
312,2716.75,3840,671.39
#374,4011,4352
#374,3592,4352
#374,3147,4352
#374,2989,4352
374,3434.75,4352,798.927
#448,4559,5120
#448,4078,5120
#448,3601,5120
#448,3553,5120
448,3947.75,5120,816.489
#537,5812,6016
#537,5041,6016
#537,4334,6016
#537,4142,6016
537,4832.25,6016,1314.6
#644,6906,7040
#644,6135,7040
#644,5427,7040
#644,5212,7040
644,5920,7040,1327.68
#772,8145,8320
#772,7083,8320
#772,6398,8320
#772,6227,8320
772,6963.25,8320,1507.46
#926,9836,9856
#926,8701,9856
#926,7882,9856
#926,7584,9856
926,8500.75,9856,1745.36
#1111,12116,11648
#1111,10792,11648
#1111,9475,11648
#1111,9196,11648
1111,10394.8,11648,2324.53
#1333,14475,13824
#1333,13023,13824
#1333,11749,13824
#1333,11146,13824
1333,12598.2,13824,2555.95
#1599,18353,16512
#1599,16408,16512
#1599,14679,16512
#1599,13780,16512
1599,15805,16512,3496.34
#1918,19527,19712
#1918,17687,19712
#1918,16488,19712
#1918,15610,19712
1918,17328,19712,2936.26
#2301,25471,23424
#2301,23038,23424
#2301,21173,23424
#2301,20163,23424
2301,22461.2,23424,4041.38
#2761,29340,28032
#2761,27317,28032
#2761,25605,28032
#2761,24395,28032
2761,26664.2,28032,3722.53
#3313,35029,33408
#3313,32940,33408
#3313,30332,33408
#3313,29046,33408
3313,31836.8,33408,4632.51
#3975,41087,39936
#3975,38297,39936
#3975,35795,39936
#3975,34544,39936
3975,37430.8,39936,5012.74
#4770,55495,47872
#4770,52905,47872
#4770,50393,47872
#4770,48903,47872
4770,51924,47872,5018.45
#5724,64759,57344
#5724,61686,57344
#5724,59449,57344
#5724,57965,57344
5724,60964.8,57344,5119.82
#6868,79502,68608
#6868,77133,68608
#6868,74049,68608
#6868,73135,68608
6868,75954.8,68608,5055.11
#8241,109515,82176
#8241,96220,82176
#8241,93877,82176
#8241,92386,82176
8241,97999.5,82176,13575
#9889,133580,98432
#9889,117040,98432
#9889,115416,98432
#9889,113456,98432
9889,119873,98432,16029.7
#11866,140190,118016
#11866,139090,118016
#11866,137089,118016
#11866,135476,118016
11866,137961,118016,3630.25
#14239,176895,141440
#14239,175259,141440
#14239,173849,141440
#14239,182927,141440
14239,177232,141440,6919.83
#17086,211851,169600
#17086,209664,169600
#17086,208835,169600
#17086,207084,169600
17086,209358,169600,3428.31
#20503,258780,203392
#20503,257828,203392
#20503,256476,203392
#20503,255756,203392
20503,257210,203392,2345.14
#24603,328214,243840
#24603,339892,243840
#24603,316134,243840
#24603,316541,243840
24603,325195,243840,19547.6
#29523,382671,292480
#29523,381752,292480
#29523,381318,292480
#29523,406015,292480
29523,387939,292480,20895.2
#35427,482868,350848
#35427,481766,350848
#35427,481159,350848
#35427,483040,350848
35427,482208,350848,1556.79
#42512,605962,420864
#42512,581987,420864
#42512,582860,420864
#42512,580870,420864
42512,587920,420864,20881.1
#51014,734754,504960
#51014,730569,504960
