#1,450,256
#1,29,256
#1,64,256
#1,46,256
1,147.25,256,350.461
#2,60,256
#2,41,256
#2,35,256
#2,37,256
2,43.25,256,19.8179
#3,70,256
#3,53,256
#3,44,256
#3,45,256
3,53,256,20.8327
#4,55,256
#4,54,256
#4,54,256
#4,52,256
4,53.75,256,2.17945
#5,63,256
#5,61,256
#5,63,256
#5,64,256
5,62.75,256,2.17945
#6,71,256
#6,71,256
#6,71,256
#6,70,256
6,70.75,256,0.866025
#7,81,256
#7,79,256
#7,78,256
#7,80,256
7,79.5,256,2.23607
#8,88,256
#8,88,256
#8,106,256
#8,94,256
8,94,256,14.6969
#9,98,256
#9,97,256
#9,95,256
#9,95,256
9,96.25,256,2.59808
#10,104,256
#10,105,256
#10,106,256
#10,108,256
10,105.75,256,2.95804
#12,137,256
#12,126,256
#12,121,256
#12,125,256
12,127.25,256,11.8638
#14,158,384
#14,128,384
#14,131,384
#14,131,384
14,137,384,24.3721
#16,172,384
#16,176,384
#16,139,384
#16,136,384
16,155.75,384,36.6708
#19,182,384
#19,165,384
#19,165,384
#19,165,384
19,169.25,384,14.7224
#22,219,384
#22,208,384
#22,224,384
#22,215,384
22,216.5,384,11.7047
#26,272,640
#26,209,640
#26,218,640
#26,213,640
26,228,640,51.2055
#31,337,640
#31,282,640
#31,251,640
#31,246,640
31,279,640,72.4293
#37,401,640
#37,361,640
#37,346,640
#37,305,640
37,353.25,640,68.7077
#44,513,896
#44,448,896
#44,390,896
#44,386,896
44,434.25,896,103.328
#52,443,1152
#52,439,1152
#52,421,1152
#52,400,1152
52,425.75,1152,34.0404
#62,548,1152
#62,515,1152
#62,487,1152
#62,507,1152
62,514.25,1152,43.9858
#74,628,1408
#74,610,1408
#74,577,1408
#74,545,1408
74,590,1408,63.5453
#88,989,1536
#88,966,1536
#88,714,1536
#88,683,1536
88,838,1536,280.332
#105,1068,1792
#105,952,1792
#105,878,1792
#105,878,1792
105,944,1792,155.409
#126,1141,1920
#126,1064,1920
#126,965,1920
#126,954,1920
126,1031,1920,153.212
#151,1377,2176
#151,1200,2176
#151,1124,2176
#151,1140,2176
151,1210.25,2176,200.711
#181,1906,2432
#181,1754,2432
#181,1530,2432
#181,1474,2432
181,1666,2432,347.425
#217,2298,2816
#217,2030,2816
#217,1677,2816
#217,1659,2816
217,1916,2816,531.121
#260,2371,3328
#260,2178,3328
#260,1930,3328
#260,1937,3328
260,2104,3328,367.328
#312,2949,3840
#312,2788,3840
#312,2405,3840
#312,2347,3840
312,2622.25,3840,507.148
#374,4399,4352
#374,3625,4352
#374,3101,4352
#374,2976,4352
374,3525.25,4352,1120.29
#448,4109,5120
#448,3658,5120
#448,3375,5120
#448,3340,5120
448,3620.5,5120,615.621
#537,5434,6016
#537,4863,6016
#537,4257,6016
#537,4188,6016
537,4685.5,6016,1011.37
#644,7218,7040
#644,6221,7040
#644,5478,7040
#644,5249,7040
644,6041.5,7040,1536.87
#772,7999,8320
#772,7007,8320
#772,6172,8320
#772,5964,8320
772,6785.5,8320,1604.02
#926,9188,9856
#926,7985,9856
#926,7388,9856
#926,7136,9856
926,7924.25,9856,1584.19
#1111,10887,11648
#1111,9742,11648
#1111,8969,11648
#1111,8732,11648
1111,9582.5,11648,1681.34
#1333,12881,13824
#1333,11560,13824
#1333,10530,13824
#1333,10254,13824
1333,11306.2,13824,2062.53
#1599,16398,16512
#1599,14703,16512
#1599,13454,16512
#1599,12895,16512
1599,14362.5,16512,2690.38
#1918,17964,19712
#1918,16487,19712
#1918,15628,19712
#1918,15149,19712
1918,16307,19712,2140.11
#2301,23355,23424
#2301,21508,23424
#2301,33099,23424
#2301,19833,23424
2301,24448.8,23424,10294.5
#2761,32964,28032
#2761,26140,28032
#2761,24171,28032
#2761,23321,28032
2761,26649,28032,7573.27
#3313,36153,33408
#3313,33482,33408
#3313,31374,33408
#3313,30021,33408
3313,32757.5,33408,4632.15
#3975,43240,39936
#3975,40350,39936
#3975,37858,39936
#3975,49073,39936
3975,42630.2,39936,8357.91
#4770,52412,47872
#4770,49898,47872
#4770,47531,47872
#4770,45877,47872
4770,48929.5,47872,4933.49
#5724,65945,57344
#5724,63570,57344
#5724,60704,57344
#5724,72704,57344
5724,65730.8,57344,8866.18
#6868,79246,68608
#6868,76663,68608
#6868,74086,68608
#6868,71838,68608
6868,75458.2,68608,5548.67
#8241,97754,82176
#8241,96161,82176
#8241,93631,82176
#8241,92410,82176
8241,94989,82176,4185
#9889,120682,98432
#9889,115027,98432
#9889,112915,98432
#9889,111698,98432
9889,115080,98432,6892.78
#11866,142936,118016
#11866,141594,118016
#11866,139727,118016
#11866,137583,118016
11866,140460,118016,4028.77
#14239,175355,141440
#14239,174215,141440
#14239,172359,141440
#14239,170753,141440
14239,173170,141440,3516.51
#17086,208499,169600
#17086,208460,169600
#17086,207379,169600
#17086,204358,169600
17086,207174,169600,3373.62
#20503,257616,203392
#20503,256029,203392
#20503,274654,203392
#20503,262186,203392
20503,262621,203392,14611.2
#24603,316923,243840
#24603,315440,243840
#24603,315595,243840
#24603,315002,243840
24603,315740,243840,1433.58
#29523,404781,292480
#29523,400301,292480
#29523,401695,292480
#29523,387285,292480
29523,398516,292480,13367
#35427,495761,350848
#35427,525945,350848
#35427,491128,350848
#35427,490392,350848
35427,500806,350848,29317.9
#42512,613143,420864
#42512,614380,420864
#42512,621066,420864
#42512,597995,420864
42512,611646,420864,16876.1
#51014,734198,504960
#51014,733814,504960
#51014,733546,504960
#51014,736161,504960
51014,734430,504960,2052.1
#61216,920421,605824
#61216,921043,605824
#61216,921347,605824
#61216,921887,605824
61216,921174,605824,1059.47
#73459,1099047,726784
#73459,1094711,726784
#73459,1096082,726784
#73459,1095785,726784
73459,1.09641e+06,726784,3215.36
#88150,1328915,871936
#88150,1333236,871936
#88150,1328440,871936
#88150,1325428,871936
88150,1.329e+06,871936,5569.88
#105780,1611947,1046272
#105780,1608444,1046272
#105780,1609503,1046272
#105780,1609019,1046272
105780,1.60973e+06,1046272,2669.44
#126936,1933725,1255424
#126936,1903808,1255424
#126936,1896575,1255424
#126936,1896131,1255424
126936,1.90756e+06,1255424,30821.7
#152323,2340270,1506304
#152323,2311653,1506304
#152323,2397356,1506304
#152323,2370277,1506304
152323,2.35489e+06,1506304,64213
#182787,2912262,1807360
#182787,2806835,1807360
#182787,2791130,1807360
#182787,2844463,1807360
182787,2.83867e+06,1807360,93396.3
#219344,3466984,2168704
#219344,3392313,2168704
#219344,3440772,2168704
#219344,3431243,2168704
219344,3.43283e+06,2168704,53607.1
#263212,4384008,2602368
#263212,4110377,2602368
#263212,4119682,2602368
#263212,4141538,2602368
263212,4.1889e+06,2602368,226423
#315854,5342500,3122688
#315854,5511489,3122688
#315854,5118731,3122688
#315854,4982500,3122688
315854,5.2388e+06,3122688,406472
#379024,6498016,3747072
#379024,6096574,3747072
#379024,6059550,3747072
#379024,6052044,3747072
379024,6.17655e+06,3747072,372730
#454828,8131871,4496256
#454828,7409703,4496256
#454828,7500448,4496256
#454828,7383950,4496256
454828,7.60649e+06,4496256,612796
#545793,10161935,5395456
#545793,9397699,5395456
#545793,9506552,5395456
#545793,9758799,5395456
545793,9.70625e+06,5395456,587787
#654951,13241816,6474368
#654951,12366313,6474368
#654951,12445893,6474368
#654951,12688601,6474368
654951,1.26857e+07,6474368,684682
#785941,19185240,7769088
#785941,18089826,7769088
#785941,18288344,7769088
