#1,254,256
#1,65,256
#1,31,256
#1,31,256
#1,30,256
1,82.2,256,173.848
#2,51,256
#2,44,256
#2,43,256
#2,41,256
#2,41,256
2,44,256,7.37564
#3,77,256
#3,52,256
#3,47,256
#3,49,256
#3,48,256
3,54.6,256,22.6486
#4,62,256
#4,59,256
#4,60,256
#4,60,256
#4,60,256
4,60.2,256,1.95959
#5,107,256
#5,78,256
#5,67,256
#5,66,256
#5,67,256
5,77,256,31.2666
#6,117,256
#6,86,256
#6,79,256
#6,78,256
#6,78,256
6,87.6,256,30.0027
#7,121,256
#7,86,256
#7,87,256
#7,84,256
#7,83,256
7,92.2,256,28.9386
#8,132,256
#8,97,256
#8,96,256
#8,99,256
#8,103,256
8,105.4,256,27.0289
#9,164,256
#9,110,256
#9,109,256
#9,108,256
#9,104,256
9,119,256,45.1841
#10,145,256
#10,127,256
#10,117,256
#10,118,256
#10,117,256
10,124.8,256,21.5555
#11,167,256
#11,143,256
#11,144,256
#11,133,256
#11,140,256
11,145.4,256,22.9295
#12,153,256
#12,142,256
#12,135,256
#12,135,256
#12,131,256
12,139.2,256,15.5126
#13,408,384
#13,332,384
#13,291,384
#13,324,384
#13,263,384
13,323.6,384,97.6901
#14,267,384
#14,261,384
#14,263,384
#14,265,384
#14,261,384
14,263.4,384,4.66476
#15,132,384
#15,136,384
#15,116,384
#15,116,384
#15,116,384
15,123.2,384,17.8168
#16,174,384
#16,144,384
#16,131,384
#16,131,384
#16,129,384
16,141.8,384,33.927
#17,230,384
#17,176,384
#17,150,384
#17,150,384
#17,151,384
17,171.4,384,61.8851
#18,185,384
#18,183,384
#18,176,384
#18,163,384
#18,162,384
18,173.8,384,19.4072
#19,168,384
#19,180,384
#19,176,384
#19,163,384
#19,163,384
19,170,384,13.7986
#20,225,384
#20,203,384
#20,168,384
#20,165,384
#20,168,384
20,185.8,384,48.1564
#21,197,384
#21,196,384
#21,191,384
#21,184,384
#21,173,384
21,188.2,384,17.7719
#22,181,384
#22,187,384
#22,184,384
#22,175,384
#22,171,384
22,179.6,384,11.703
#23,240,384
#23,211,384
#23,203,384
#23,202,384
#23,182,384
23,207.6,384,37.6213
#24,298,384
#24,261,384
#24,248,384
#24,234,384
#24,218,384
24,251.8,384,54.3529
#25,481,640
#25,508,640
#25,452,640
#25,422,640
#25,508,640
25,474.2,640,66.6261
#26,488,640
#26,429,640
#26,413,640
#26,396,640
#26,468,640
26,438.8,640,68.5087
#27,499,640
#27,460,640
#27,446,640
#27,444,640
#27,511,640
27,472,640,55.5266
#28,620,640
#28,449,640
#28,453,640
#28,452,640
#28,446,640
28,484,640,136.088
#29,284,640
#29,251,640
#29,227,640
#29,228,640
#29,220,640
29,242,640,46.9042
#30,283,640
#30,239,640
#30,229,640
#30,242,640
#30,215,640
30,241.6,640,45.4946
#31,312,640
#31,298,640
#31,258,640
#31,248,640
#31,246,640
31,272.4,640,54.5762
#32,279,640
#32,278,640
#32,243,640
#32,226,640
#32,237,640
32,252.6,640,43.6825
#33,275,640
#33,255,640
#33,256,640
#33,250,640
#33,263,640
33,259.8,640,17.3159
#34,326,640
#34,323,640
#34,320,640
#34,293,640
#34,273,640
34,307,640,41.357
#35,307,640
#35,314,640
#35,294,640
#35,276,640
#35,269,640
35,292,640,34.6179
#36,372,640
#36,344,640
#36,304,640
#36,280,640
#36,276,640
36,315.2,640,74.6019
#37,3856,1152
#37,815,1152
#37,755,1152
#37,786,1152
#37,636,1152
37,1369.6,1152,2489.38
#38,823,1152
#38,794,1152
#38,686,1152
#38,697,1152
#38,725,1152
38,745,1152,108.333
#39,848,1152
#39,813,1152
#39,786,1152
#39,660,1152
#39,716,1152
39,764.6,1152,135.821
#40,893,1152
#40,777,1152
#40,745,1152
#40,762,1152
#40,674,1152
40,770.2,1152,141.655
#42,785,1152
#42,773,1152
#42,673,1152
#42,709,1152
#42,727,1152
42,733.4,1152,82.5358
#44,320,896
#44,313,896
#44,310,896
#44,292,896
#44,293,896
44,305.6,896,22.3643
#46,388,896
#46,380,896
#46,338,896
#46,332,896
#46,325,896
46,352.6,896,52.1782
#48,369,896
#48,320,896
#48,317,896
#48,316,896
#48,308,896
48,326,896,43.7264
#50,1014,1280
#50,852,1280
#50,840,1280
#50,829,1280
#50,823,1280
50,871.6,1280,143.77
#52,892,1280
#52,868,1280
#52,810,1280
#52,798,1280
#52,813,1280
52,836.2,1280,73.8041
#54,937,1280
#54,860,1280
#54,827,1280
#54,832,1280
#54,795,1280
54,850.2,1280,96.1116
#56,970,1280
#56,879,1280
#56,851,1280
#56,861,1280
#56,825,1280
56,877.2,1280,99.1516
#58,431,1152
#58,417,1152
#58,394,1152
#58,391,1152
#58,376,1152
58,401.8,1152,39.2612
#60,497,1152
#60,445,1152
#60,428,1152
#60,500,1152
#60,419,1152
60,457.8,1152,68.5554
#63,1066,1536
#63,1027,1536
#63,936,1536
#63,866,1536
#63,905,1536
63,960,1536,150.099
#66,1043,1536
#66,1029,1536
#66,972,1536
#66,967,1536
#66,966,1536
66,995.4,1536,67.0116
#69,1201,1536
#69,1114,1536
#69,1007,1536
#69,997,1536
#69,1002,1536
69,1064.2,1536,162.113
#72,520,1280
#72,491,1280
#72,484,1280
#72,481,1280
#72,485,1280
72,492.2,1280,28.5489
#75,1295,1664
#75,1305,1664
#75,1128,1664
#75,1140,1664
#75,1108,1664
75,1195.2,1664,172.471
#78,1356,1664
#78,1261,1664
#78,1214,1664
#78,1216,1664
#78,1196,1664
78,1248.6,1664,115.638
#81,1375,1664
#81,1354,1664
#81,1221,1664
#81,1165,1664
#81,1171,1664
81,1257.2,1664,179.975
#85,1679,1920
#85,1582,1920
#85,1342,1920
#85,1314,1920
#85,1245,1920
85,1432.4,1920,335.263
#89,1349,1920
#89,1306,1920
#89,1264,1920
#89,1262,1920
#89,1238,1920
89,1283.8,1920,78.5305
#93,1529,1920
#93,1492,1920
#93,1272,1920
#93,1293,1920
#93,1273,1920
93,1371.8,1920,228.194
#97,1384,1920
#97,1306,1920
#97,1268,1920
#97,1263,1920
#97,1258,1920
97,1295.8,1920,94.4915
#101,1559,2048
#101,1488,2048
#101,1422,2048
#101,1423,2048
#101,1421,2048
101,1462.6,2048,109.125
#106,1493,2048
#106,1487,2048
#106,1422,2048
#106,1424,2048
#106,1375,2048
106,1440.2,2048,88.6467
#111,1631,2048
#111,1588,2048
#111,1507,2048
#111,1478,2048
#111,1447,2048
111,1530.2,2048,137.657
#116,1673,2176
#116,1607,2176
#116,1535,2176
#116,1519,2176
#116,1485,2176
116,1563.8,2176,135.164
#121,1761,2176
#121,1741,2176
