#1,361,256
#1,64,256
#1,33,256
#1,33,256
1,122.75,256,276.269
#2,83,256
#2,47,256
#2,39,256
#2,45,256
2,53.5,256,34.5688
#3,58,256
#3,60,256
#3,52,256
#3,52,256
3,55.5,256,7.14143
#4,65,256
#4,59,256
#4,63,256
#4,61,256
4,62,256,4.47214
#5,68,256
#5,70,256
#5,72,256
#5,70,256
5,70,256,2.82843
#6,79,256
#6,78,256
#6,78,256
#6,77,256
6,78,256,1.41421
#7,87,256
#7,121,256
#7,86,256
#7,87,256
7,95.25,256,29.7447
#8,124,256
#8,108,256
#8,114,256
#8,110,256
8,114,256,12.3288
#9,125,256
#9,129,256
#9,110,256
#9,114,256
9,119.5,256,15.5242
#10,135,256
#10,122,256
#10,127,256
#10,126,256
10,127.5,256,9.43398
#12,170,256
#12,135,256
#12,140,256
#12,146,256
12,147.75,256,26.8468
#14,173,384
#14,137,384
#14,129,384
#14,129,384
14,142,384,36.3868
#16,220,384
#16,192,384
#16,166,384
#16,147,384
16,181.25,384,54.9795
#19,235,384
#19,207,384
#19,217,384
#19,194,384
19,213.25,384,29.9458
#22,239,384
#22,245,384
#22,237,384
#22,236,384
22,239.25,384,6.98212
#26,293,640
#26,229,640
#26,222,640
#26,219,640
26,240.75,640,60.768
#31,355,640
#31,298,640
#31,285,640
#31,279,640
31,304.25,640,60.1893
#37,392,640
#37,397,640
#37,331,640
#37,348,640
37,367,640,56.4092
#44,443,896
#44,400,896
#44,367,896
#44,353,896
44,390.75,896,69.3163
#52,526,1152
#52,449,1152
#52,423,1152
#52,423,1152
52,455.25,1152,84.4082
#62,691,1152
#62,610,1152
#62,558,1152
#62,492,1152
62,587.75,1152,145.632
#74,791,1408
#74,664,1408
#74,570,1408
#74,569,1408
74,648.5,1408,181.739
#88,953,1536
#88,809,1536
#88,748,1536
#88,750,1536
88,815,1536,166.715
#105,1013,1792
#105,1003,1792
#105,877,1792
#105,826,1792
105,929.75,1792,160.757
#126,1304,1920
#126,1257,1920
#126,1033,1920
#126,1036,1920
126,1157.5,1920,248.244
#151,1631,2176
#151,1537,2176
#151,1234,2176
#151,1179,2176
151,1395.25,2176,385.275
#181,1737,2560
#181,1680,2560
#181,1446,2560
#181,1422,2560
181,1571.25,2560,277.962
#217,2191,2944
#217,2018,2944
#217,1734,2944
#217,1690,2944
217,1908.25,2944,412.297
#260,2434,3328
#260,2223,3328
#260,1925,3328
#260,1956,3328
260,2134.5,3328,416.275
#312,3227,3840
#312,2970,3840
#312,2635,3840
#312,2508,3840
312,2835,3840,564.64
#374,4571,4480
#374,3911,4480
#374,3182,4480
#374,3018,4480
374,3670.5,4480,1238.2
#448,4907,5248
#448,4233,5248
#448,3629,5248
#448,3550,5248
448,4079.75,5248,1091.62
#537,5654,6144
#537,5090,6144
#537,4388,6144
#537,4204,6144
537,4834,6144,1154.88
#644,6822,7296
#644,5964,7296
#644,5311,7296
#644,5200,7296
644,5824.25,7296,1291.57
#772,7857,8576
#772,6923,8576
#772,6415,8576
#772,6281,8576
772,6869,8576,1237.3
#926,9447,10112
#926,8456,10112
#926,7910,10112
#926,7636,10112
926,8362.25,10112,1384.72
#1111,24371,12032
#1111,10753,12032
#1111,10078,12032
#1111,9750,12032
1111,13738,12032,12299.2
#1333,14018,14208
#1333,12678,14208
#1333,11763,14208
#1333,11361,14208
1333,12455,14208,2041.67
#1599,18035,16896
#1599,16198,16896
#1599,14925,16896
#1599,14215,16896
1599,15843.2,16896,2902.41
#1918,20136,20224
#1918,18594,20224
#1918,17253,20224
#1918,16563,20224
1918,18136.5,20224,2731.99
#2301,24366,24064
#2301,22336,24064
#2301,20969,24064
#2301,20109,24064
2301,21945,24064,3215.21
#2761,30415,28800
#2761,28251,28800
#2761,26356,28800
#2761,25415,28800
2761,27609.2,28800,3830.07
#3313,37153,34304
#3313,34714,34304
#3313,32885,34304
#3313,31405,34304
3313,34039.2,34304,4292.12
#3975,43471,41088
#3975,40900,41088
#3975,38692,41088
#3975,37514,41088
3975,40144.2,41088,4545.95
#4770,66802,49152
#4770,56450,49152
#4770,49931,49152
#4770,48449,49152
4770,55408,49152,14468.4
#5724,66647,58880
#5724,63644,58880
#5724,61333,58880
#5724,60040,58880
5724,62916,58880,5022.71
#6868,80277,70528
#6868,78361,70528
#6868,75470,70528
#6868,73925,70528
6868,77008.2,70528,4938.35
#8241,107421,84480
#8241,94660,84480
#8241,92165,84480
#8241,90284,84480
8241,96132.5,84480,13399.4
#9889,114526,101120
#9889,112522,101120
#9889,110849,101120
#9889,109107,101120
9889,111751,101120,4012.41
#11866,140383,121216
#11866,136267,121216
#11866,134775,121216
#11866,133303,121216
11866,136182,121216,5284.31
#14239,173290,145408
#14239,173451,145408
#14239,170874,145408
#14239,169514,145408
14239,171782,145408,3320.83
#17086,206552,174336
#17086,205385,174336
#17086,204775,174336
#17086,202799,174336
17086,204878,174336,2718.86
#20503,251348,209024
#20503,248948,209024
#20503,248299,209024
#20503,247610,209024
20503,249051,209024,2815.81
#24603,304117,250624
#24603,303330,250624
#24603,321111,250624
#24603,310196,250624
24603,309688,250624,14219.8
#29523,394414,300672
#29523,404227,300672
#29523,381958,300672
#29523,382345,300672
29523,390736,300672,18520.2
#35427,483924,360576
#35427,482424,360576
#35427,482823,360576
#35427,482682,360576
35427,482963,360576,1145.69
#42512,576931,432512
#42512,599931,432512
#42512,590675,432512
#42512,589862,432512
42512,589350,432512,16377
#51014,713929,518912
#51014,716109,518912
#51014,714727,518912
#51014,714665,518912
51014,714858,518912,1575.58
#61216,895314,622592
#61216,873082,622592
#61216,873327,622592
#61216,872605,622592
61216,878582,622592,19327.4
#73459,1051932,747008
#73459,1049351,747008
#73459,1051342,747008
#73459,1050342,747008
73459,1.05074e+06,747008,1967.48
#88150,1291176,896256
#88150,1294479,896256
#88150,1293408,896256
#88150,1292351,896256
88150,1.29285e+06,896256,2452.8
#105780,1559346,1075328
#105780,1528135,1075328
#105780,1553073,1075328
#105780,1547560,1075328
105780,1.54703e+06,1075328,23356
#126936,1915672,1290240
#126936,1859450,1290240
#126936,1842314,1290240
#126936,1838707,1290240
126936,1.86404e+06,1290240,61649.9
#152323,2310603,1548160
#152323,2247998,1548160
#152323,2220763,1548160
#152323,2215397,1548160
152323,2.24869e+06,1548160,75644.2
#182787,2800576,1857536
#182787,2716475,1857536
#182787,2677792,1857536
#182787,2656963,1857536
182787,2.71295e+06,1857536,109824
#219344,3423015,2228992
#219344,3303871,2228992
#219344,3231641,2228992
#219344,3220903,2228992
219344,3.29486e+06,2228992,161156
#263212,4428870,2674560
#263212,4082865,2674560
#263212,3918514,2674560
#263212,3894322,2674560
263212,4.08114e+06,2674560,426928
#315854,5411543,3209344
#315854,4953181,3209344
#315854,4756083,3209344
#315854,4724498,3209344
315854,4.96133e+06,3209344,548611
#379024,6559321,3851136
#379024,5988593,3851136
#379024,5786209,3851136
#379024,5738436,3851136
379024,6.01814e+06,3851136,652515
#454828,7894001,4621184
#454828,7111895,4621184
#454828,7094631,4621184
#454828,7036172,4621184
454828,7.28417e+06,4621184,706400
#545793,9631398,5545216
#545793,8728786,5545216
#545793,8726476,5545216
#545793,8708645,5545216
545793,8.94883e+06,5545216,788320
#654951,13144570,6654208
#654951,12003058,6654208
#654951,11938693,6654208
#654951,11880818,6654208
654951,1.22418e+07,6654208,1.04603e+06
#785941,19768526,7984896
#785941,18924545,7984896
#785941,19034331,7984896
#785941,20245191,7984896
785941,1.94931e+07,7984896,1.08408e+06
#943129,30220554,9581696
#943129,29416355,9581696
