#1,296,256
#1,60,256
#1,37,256
#1,28,256
#1,28,256
#1,29,256
#1,30,256
#1,28,256
#1,30,256
#1,27,256
1,59.3,256,158.924
#2,57,256
#2,34,256
#2,38,256
#2,34,256
#2,35,256
#2,35,256
#2,37,256
#2,38,256
#2,37,256
#2,38,256
2,38.3,256,12.839
#3,56,256
#3,48,256
#3,45,256
#3,44,256
#3,43,256
#3,41,256
#3,43,256
#3,50,256
#3,44,256
#3,42,256
3,45.6,256,8.63481
#4,52,256
#4,51,256
#4,53,256
#4,50,256
#4,52,256
#4,51,256
#4,52,256
#4,51,256
#4,51,256
#4,51,256
4,51.4,256,1.6
#5,59,256
#5,63,256
#5,62,256
#5,62,256
#5,58,256
#5,58,256
#5,58,256
#5,57,256
#5,63,256
#5,60,256
5,60,256,4.38178
#6,67,256
#6,68,256
#6,69,256
#6,68,256
#6,67,256
#6,69,256
#6,66,256
#6,67,256
#6,65,256
#6,71,256
6,67.7,256,3.2311
#7,77,256
#7,76,256
#7,77,256
#7,76,256
#7,77,256
#7,74,256
#7,77,256
#7,79,256
#7,77,256
#7,75,256
7,76.5,256,2.56905
#8,95,256
#8,87,256
#8,91,256
#8,86,256
#8,87,256
#8,85,256
#8,83,256
#8,85,256
#8,84,256
#8,81,256
8,86.4,256,7.65245
#10,111,256
#10,108,256
#10,116,256
#10,149,256
#10,113,256
#10,107,256
#10,111,256
#10,103,256
#10,103,256
#10,109,256
10,113,256,25.219
#12,133,256
#12,143,256
#12,131,256
#12,142,256
#12,131,256
#12,126,256
#12,125,256
#12,128,256
#12,128,256
#12,124,256
12,131.1,256,12.6
#15,203,384
#15,147,384
#15,300,384
#15,262,384
#15,215,384
#15,164,384
#15,163,384
#15,170,384
#15,173,384
#15,171,384
15,196.8,384,93.6367
#18,184,384
#18,163,384
#18,159,384
#18,164,384
#18,165,384
#18,160,384
#18,147,384
#18,171,384
#18,153,384
#18,151,384
18,161.7,384,20.1802
#22,203,384
#22,202,384
#22,181,384
#22,184,384
#22,179,384
#22,189,384
#22,196,384
#22,177,384
#22,174,384
#22,169,384
22,185.4,384,22.2926
#27,284,640
#27,231,640
#27,230,640
#27,218,640
#27,211,640
#27,219,640
#27,214,640
#27,214,640
#27,213,640
#27,210,640
27,224.4,640,42.097
#33,279,640
#33,264,640
#33,248,640
#33,251,640
#33,245,640
#33,255,640
#33,245,640
#33,249,640
#33,247,640
#33,245,640
33,252.8,640,20.7229
#41,359,896
#41,294,896
#41,282,896
#41,287,896
#41,285,896
#41,285,896
#41,286,896
#41,288,896
#41,285,896
#41,287,896
41,293.8,896,43.8616
#51,510,896
#51,438,896
#51,407,896
#51,406,896
#51,399,896
#51,400,896
#51,401,896
#51,397,896
#51,402,896
#51,400,896
51,416,896,66.5853
#63,581,1152
#63,539,1152
#63,512,1152
#63,496,1152
#63,503,1152
#63,461,1152
#63,472,1152
#63,452,1152
#63,471,1152
#63,460,1152
63,494.7,1152,77.5115
#78,755,1536
#78,732,1536
#78,613,1536
#78,587,1536
#78,584,1536
#78,562,1536
#78,565,1536
#78,578,1536
#78,560,1536
#78,577,1536
78,611.3,1536,135.718
#97,777,1664
#97,776,1664
#97,710,1664
#97,658,1664
#97,656,1664
#97,663,1664
#97,673,1664
#97,673,1664
#97,679,1664
#97,659,1664
97,692.4,1664,89.1659
#121,1636,1920
#121,13997,1920
#121,1536,1920
#121,1454,1920
#121,1439,1920
#121,1425,1920
#121,1475,1920
#121,1517,1920
#121,1461,1920
#121,1478,1920
121,2741.8,1920,7504.36
#151,2021,2176
#151,1909,2176
#151,1841,2176
#151,1930,2176
#151,1853,2176
#151,1844,2176
#151,1890,2176
#151,1916,2176
#151,1859,2176
#151,1813,2176
151,1887.6,2176,114.046
#188,2783,2560
#188,2558,2560
#188,2329,2560
#188,2287,2560
#188,2249,2560
#188,2272,2560
#188,2265,2560
#188,2274,2560
#188,2237,2560
#188,2250,2560
188,2350.4,2560,338.949
#235,2985,3072
#235,2856,3072
#235,2698,3072
#235,2683,3072
#235,2726,3072
#235,2648,3072
#235,2710,3072
#235,2797,3072
#235,2795,3072
#235,2729,3072
235,2762.7,3072,188.993
#293,3908,3584
#293,3626,3584
#293,3326,3584
#293,3142,3584
#293,3047,3584
#293,3180,3584
#293,3129,3584
#293,3229,3584
#293,3186,3584
#293,3318,3584
293,3309.1,3584,500.705
#366,4657,4352
#366,4161,4352
#366,4259,4352
#366,3972,4352
#366,4115,4352
#366,4178,4352
#366,3750,4352
#366,4005,4352
#366,4006,4352
#366,4151,4352
366,4125.4,4352,446.522
#457,5242,5248
#457,4955,5248
#457,4538,5248
#457,4803,5248
#457,4382,5248
#457,4501,5248
#457,4369,5248
#457,4548,5248
#457,4482,5248
#457,4357,5248
457,4617.7,5248,553.705
#571,6598,6400
#571,5904,6400
#571,5550,6400
#571,5406,6400
#571,5202,6400
#571,5388,6400
#571,5255,6400
#571,4998,6400
#571,5451,6400
#571,5359,6400
571,5511.1,6400,851.958
#713,7878,7808
#713,7013,7808
#713,6585,7808
#713,6647,7808
#713,6269,7808
#713,6479,7808
#713,6285,7808
#713,6203,7808
#713,6249,7808
#713,6183,7808
713,6579.1,7808,996.001
#891,10137,9472
#891,8934,9472
#891,7977,9472
#891,7943,9472
#891,7589,9472
#891,7887,9472
#891,7667,9472
#891,7513,9472
#891,7725,9472
#891,7869,9472
891,8124.1,9472,1537.72
#1113,13360,11648
#1113,12440,11648
#1113,11070,11648
#1113,10197,11648
#1113,10284,11648
#1113,10268,11648
#1113,10135,11648
#1113,9965,11648
#1113,9957,11648
#1113,9899,11648
1113,10757.5,11648,2269.17
#1391,13976,14464
#1391,12730,14464
#1391,11709,14464
#1391,23968,14464
#1391,11918,14464
#1391,11373,14464
#1391,11633,14464
#1391,11578,14464
#1391,11265,14464
#1391,11296,14464
1391,13144.6,14464,7386.54
#1738,19129,17920
#1738,17258,17920
#1738,16185,17920
#1738,15410,17920
#1738,15277,17920
#1738,15129,17920
#1738,15302,17920
#1738,14918,17920
#1738,14829,17920
#1738,14838,17920
1738,15827.5,17920,2616.77
#2172,23861,22144
#2172,21545,22144
#2172,21110,22144
#2172,20172,22144
#2172,19291,22144
#2172,19152,22144
#2172,19170,22144
#2172,19145,22144
#2172,18576,22144
#2172,18756,22144
2172,20077.8,22144,3144.04
#2715,30371,27520
#2715,28180,27520
#2715,27443,27520
