#1,211,256
#1,56,256
#1,48,256
#1,45,256
#1,27,256
1,77.4,256,134.941
#2,73,256
#2,50,256
#2,35,256
#2,37,256
#2,36,256
2,46.2,256,28.9386
#3,74,256
#3,65,256
#3,49,256
#3,44,256
#3,43,256
3,55,256,24.6901
#4,89,256
#4,57,256
#4,56,256
#4,55,256
#4,56,256
4,62.6,256,26.4303
#5,104,256
#5,107,256
#5,77,256
#5,68,256
#5,75,256
5,86.2,256,32.1347
#6,144,256
#6,79,256
#6,79,256
#6,80,256
#6,77,256
6,91.8,256,52.2364
#7,132,256
#7,90,256
#7,88,256
#7,90,256
#7,89,256
7,97.8,256,34.2321
#8,140,256
#8,103,256
#8,103,256
#8,100,256
#8,101,256
8,109.4,256,30.6881
#9,156,256
#9,129,256
#9,128,256
#9,129,256
#9,129,256
9,134.2,256,21.8138
#10,336,256
#10,230,256
#10,141,256
#10,129,256
#10,127,256
10,192.6,256,162.415
#11,244,256
#11,163,256
#11,155,256
#11,165,256
#11,177,256
11,180.8,256,64.7506
#12,250,256
#12,172,256
#12,163,256
#12,168,256
#12,169,256
12,184.4,256,65.8556
#13,667,384
#13,646,384
#13,444,384
#13,442,384
#13,422,384
13,524.2,384,216.999
#14,551,384
#14,511,384
#14,404,384
#14,416,384
#14,492,384
14,474.8,384,112.722
#15,319,384
#15,226,384
#15,207,384
#15,219,384
#15,183,384
15,230.8,384,92.9206
#16,329,384
#16,243,384
#16,216,384
#16,216,384
#16,207,384
16,242.2,384,90.0968
#17,337,384
#17,288,384
#17,268,384
#17,276,384
#17,257,384
17,285.2,384,55.6187
#18,373,384
#18,332,384
#18,279,384
#18,257,384
#18,276,384
18,303.4,384,85.6093
#19,413,384
#19,346,384
#19,333,384
#19,280,384
#19,298,384
19,334,384,92.0782
#20,392,384
#20,342,384
#20,294,384
#20,304,384
#20,329,384
20,332.2,384,68.9162
#21,468,384
#21,446,384
#21,404,384
#21,353,384
#21,371,384
21,408.4,384,86.963
#22,399,384
#22,407,384
#22,330,384
#22,322,384
#22,312,384
22,354,384,80.9839
#23,467,384
#23,446,384
#23,406,384
#23,395,384
#23,347,384
23,412.2,384,83.5742
#24,529,384
#24,458,384
#24,440,384
#24,376,384
#24,422,384
24,445,384,100.16
#25,1097,640
#25,1026,640
#25,882,640
#25,841,640
#25,734,640
25,916,640,260.409
#26,1109,640
#26,950,640
#26,830,640
#26,821,640
#26,740,640
26,890,640,256.783
#27,1200,640
#27,895,640
#27,849,640
#27,921,640
#27,846,640
27,942.2,640,263.938
#28,1162,640
#28,1030,640
#28,841,640
#28,804,640
#28,838,640
28,935,640,277.07
#29,590,640
#29,572,640
#29,478,640
#29,491,640
#29,461,640
29,518.4,640,104.603
#30,599,640
#30,541,640
#30,523,640
#30,471,640
#30,453,640
30,517.4,640,104.105
#31,665,640
#31,571,640
#31,559,640
#31,506,640
#31,519,640
31,564,640,111.943
#32,651,640
#32,553,640
#32,500,640
#32,520,640
#32,492,640
32,543.2,640,115.733
#33,811,640
#33,738,640
#33,661,640
#33,603,640
#33,560,640
33,674.6,640,181.26
#34,717,640
#34,620,640
#34,545,640
#34,563,640
#34,565,640
34,602,640,125.501
#35,1000,640
#35,828,640
#35,666,640
#35,613,640
#35,572,640
35,735.8,640,316.335
#36,711,640
#36,649,640
#36,622,640
#36,555,640
#36,526,640
36,612.6,640,132.403
#37,4335,896
#37,1768,896
#37,1454,896
#37,1390,896
#37,1418,896
37,2073,896,2278.31
#38,1934,896
#38,1653,896
#38,1504,896
#38,1392,896
#38,1272,896
38,1551,896,458.191
#39,1594,896
#39,1525,896
#39,1430,896
#39,1339,896
#39,1392,896
39,1456,896,183.883
#40,1868,896
#40,1757,896
#40,1493,896
#40,1335,896
#40,1296,896
40,1549.8,896,454.28
#42,1777,896
#42,1689,896
#42,1414,896
#42,1452,896
#42,1366,896
42,1539.6,896,325.288
#44,961,896
#44,927,896
#44,775,896
#44,805,896
#44,707,896
44,835,896,190.208
#46,893,896
#46,956,896
#46,789,896
#46,832,896
#46,795,896
46,853,896,126.838
#48,1058,896
#48,1011,896
#48,932,896
#48,865,896
#48,891,896
48,951.4,896,145.342
#50,2302,1152
#50,2226,1152
#50,14779,1152
#50,1782,1152
#50,1735,1152
50,4564.8,1152,10224.4
#52,2510,1152
#52,2151,1152
#52,1962,1152
#52,1888,1152
#52,1880,1152
52,2078.2,1152,473.888
#54,2490,1152
#54,2424,1152
#54,1999,1152
#54,1906,1152
#54,1924,1152
54,2148.6,1152,509.179
#56,2367,1152
#56,2255,1152
#56,1937,1152
#56,1865,1152
#56,1830,1152
56,2050.8,1152,436.261
#58,1256,1152
#58,1225,1152
#58,1059,1152
#58,998,1152
#58,1034,1152
58,1114.4,1152,210.457
#60,1493,1152
#60,1335,1152
