#initial-fullness final-fullness X (X+1)/2 (X^2+1)/2 no-tombstones-found-mean no-tombstones-found-sigma no-tombstones-notfound-mean no-tombstones-notfound-sigma no-tombstones-findempty-mean no-tombstones-findempty-sigma graveyard-found-mean graveyard-found-sigma graveyard-notfound-mean graveyard-notfound-sigma graveyard-findempty-mean graveyard-findempty-sigma
0.9 0.925 13.3333 7.16667 89.3889 6.97533 0.0921708 5.58121 0.0809302 84.6024 2.60546 10.6866 0.209523 8.81225 0.186728 21.6712 0.221527
0.91 0.9325 14.8148 7.90741 110.239 7.72838 0.125356 6.29044 0.112279 105.561 3.86351 11.9181 0.256431 9.98912 0.23064 24.5777 0.25462
0.92 0.94 16.6667 8.83333 139.389 8.66141 0.138291 7.17369 0.12563 133.678 4.95106 13.2296 0.267903 11.2612 0.242924 28.8709 0.334407
0.93 0.9475 19.0476 10.0238 181.906 9.85439 0.179229 8.31076 0.163109 175.932 6.20324 15.2817 0.342908 13.2359 0.315259 33.0216 0.383311
0.94 0.955 22.2222 11.6111 247.414 11.4571 0.236819 9.8462 0.218272 239.257 9.77128 17.575 0.527107 15.4745 0.490664 40.8098 0.592744
0.95 0.9625 26.6667 13.8333 356.056 13.6828 0.336312 11.9889 0.312411 346.556 18.3518 20.7867 0.643229 18.6125 0.604233 51.9654 0.701559
0.96 0.97 33.3333 17.1667 556.056 16.972 0.502602 15.1777 0.47358 538.279 32.652 25.569 1.06901 23.301 1.0233 68.1773 1.3123
0.97 0.9775 44.4444 22.7222 988.154 22.5845 0.899317 20.6633 0.864528 953.341 87.1655 34.1757 2.1281 31.7715 2.05316 93.6668 1.75588
0.98 0.985 66.6667 33.8333 2222.72 33.3465 2.17013 31.2327 2.11604 2127.9 342.456 49.4848 4.21561 46.9089 4.12235 151.747 3.19731
0.99 0.9925 133.333 67.1667 8889.39 62.9392 6.2633 60.5498 6.18972 7646.46 1565.28 90.2699 10.6541 87.4612 10.5392 332.901 16.5911
