#insert_number found notfound insert
0 1 1 1
4975 1.00241 1.0025 1.00502
9950 1.00472 1.00502 1.0101
14925 1.00757 1.00758 1.01527
19900 1.0103 1.01016 1.02054
24875 1.0127 1.01275 1.02587
29850 1.01521 1.01538 1.03129
34825 1.01777 1.01803 1.03677
39800 1.02045 1.02071 1.04233
44775 1.02372 1.02345 1.04799
49750 1.02665 1.0262 1.05373
54725 1.0292 1.02896 1.05953
59700 1.03178 1.03175 1.0654
64675 1.03476 1.03459 1.0715
69650 1.03753 1.03744 1.07758
74625 1.0407 1.04035 1.08387
79600 1.04334 1.04325 1.09021
84575 1.04575 1.04616 1.09661
89550 1.04904 1.04917 1.10318
94525 1.05212 1.05219 1.10985
99500 1.05515 1.05524 1.11665
104475 1.0582 1.05832 1.12349
109450 1.06136 1.06144 1.13047
114425 1.0647 1.06462 1.13765
119400 1.06825 1.06785 1.14498
124375 1.07056 1.07096 1.15225
129350 1.07387 1.07423 1.15976
134325 1.07742 1.07756 1.16747
139300 1.08092 1.08092 1.1752
144275 1.08459 1.08434 1.18308
149250 1.08852 1.08784 1.1912
154225 1.0921 1.09132 1.19937
159200 1.0956 1.09482 1.2077
164175 1.09896 1.09834 1.21606
169150 1.10245 1.1019 1.22455
174125 1.10599 1.10552 1.23328
179100 1.10964 1.10919 1.24212
184075 1.11334 1.1129 1.25123
189050 1.11712 1.11667 1.26051
194025 1.12098 1.12049 1.2699
199000 1.12482 1.12434 1.27945
203975 1.12837 1.12817 1.28913
208950 1.1321 1.13208 1.29911
213925 1.13593 1.13604 1.30916
218900 1.14027 1.14016 1.31968
223875 1.14433 1.14425 1.33026
228850 1.14873 1.14846 1.34108
233825 1.15293 1.15267 1.35208
238800 1.157 1.15689 1.36343
243775 1.16107 1.16115 1.37462
248750 1.16539 1.16552 1.38641
253725 1.1691 1.16977 1.39796
258700 1.17351 1.17424 1.41024
263675 1.1779 1.17874 1.42254
268650 1.18282 1.18344 1.43534
273625 1.18741 1.18809 1.44807
278600 1.19234 1.19289 1.46141
283575 1.19732 1.19774 1.47504
288550 1.20215 1.20261 1.48876
293525 1.20686 1.20748 1.50253
298500 1.21213 1.21257 1.517
303475 1.21744 1.21773 1.53153
308450 1.2224 1.22282 1.54647
313425 1.22761 1.22805 1.56116
318400 1.23299 1.23338 1.57697
323375 1.23843 1.23879 1.59278
328350 1.24414 1.24434 1.60896
333325 1.24986 1.24995 1.62579
338300 1.25507 1.25544 1.64269
343275 1.26113 1.26128 1.66044
348250 1.26653 1.26694 1.67768
353225 1.27227 1.27279 1.69526
358200 1.2785 1.27886 1.71371
363175 1.28461 1.28495 1.73323
368150 1.29072 1.2911 1.7525
373125 1.29698 1.29737 1.77232
378100 1.30326 1.30371 1.79324
383075 1.31036 1.31043 1.81432
388050 1.31698 1.31703 1.83591
393025 1.32332 1.32359 1.8577
398000 1.33025 1.33044 1.88027
402975 1.33738 1.33744 1.90347
407950 1.34436 1.34446 1.92753
412925 1.35124 1.3515 1.95171
417900 1.35872 1.35886 1.97755
422875 1.36631 1.36634 2.0036
427850 1.37387 1.37388 2.0297
432825 1.38137 1.38148 2.05707
437800 1.38914 1.38927 2.08441
442775 1.3975 1.39739 2.11427
447750 1.40527 1.40533 2.14278
452725 1.41381 1.41371 2.17214
457700 1.42206 1.42203 2.20206
462675 1.43039 1.43047 2.23331
467650 1.43856 1.43892 2.26571
472625 1.44809 1.44809 2.29949
477600 1.45706 1.45709 2.33339
482575 1.46628 1.4663 2.37191
487550 1.47574 1.47572 2.40788
492525 1.48495 1.48511 2.44524
497500 1.49468 1.49485 2.48483
502475 1.50529 1.50513 2.52644
