#Graveyard-factor found-mean found-sigma notfound-mean notfound-sigma findempty-mean findempty-sigma
3.07692 98.5746 12.1737 94.9285 11.9406 66.4633 0.697796
2.85714 82.1222 8.93002 78.8139 8.75366 75.3745 0.800089
2.66667 71.5519 7.32724 68.4707 7.18204 85.2006 0.991039
2.5 64.2663 6.18647 61.3478 6.06005 95.9649 1.47477
2.22222 55.1264 4.97526 52.4149 4.86778 121.399 1.95376
2 49.4848 4.21561 46.9089 4.12235 151.747 3.19731
1.66667 43.0105 3.27289 40.5998 3.19843 239.352 9.53711
1.42857 39.4261 2.82052 37.1107 2.75594 377.629 26.8219
1.25 37.2413 2.56992 34.9841 2.50932 596.41 73.0225
1.11111 35.9166 2.41449 33.6934 2.3563 906.488 117.513
1 35.1382 2.30322 32.9388 2.2486 1251.48 193.274
0.909091 34.6672 2.24605 32.4802 2.19136 1541.91 305.997
0.833333 34.4029 2.19472 32.2243 2.1406 1707.09 322.721
0.769231 34.2172 2.18092 32.0451 2.12591 1840.19 338.433
